MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	1.66E-07	1.53E-03	5.96E-04	1.84E-04	6.22E-03	5.23E-03	3.01E-02	6.04E-03
1:Del:C:1	1.69E-04	4.32E-04	9.91E-04	0.00E+00	4.03E-03	2.56E-03	1.10E-02	8.39E-03
1:Del:C:2	5.86E-05	1.05E-04	7.42E-05	4.16E-05	5.72E-04	5.30E-04	2.73E-03	4.04E-04
1:Del:C:3	4.83E-04	1.15E-04	2.58E-04	5.29E-04	9.13E-04	1.40E-03	4.22E-03	2.55E-03
1:Del:C:4	1.43E-04	0.00E+00	2.98E-04	8.79E-04	1.42E-03	4.02E-04	5.13E-03	1.52E-03
1:Del:C:5	7.67E-04	0.00E+00	2.35E-04	1.15E-03	2.15E-04	5.59E-04	1.55E-03	6.48E-03
1:Del:T:0	3.57E-04	7.87E-04	9.37E-04	1.68E-03	2.99E-03	3.55E-03	1.61E-02	8.56E-03
1:Del:T:1	0.00E+00	2.72E-05	3.24E-04	3.34E-04	2.09E-03	1.17E-03	5.44E-03	4.53E-03
1:Del:T:2	1.79E-04	6.13E-04	8.21E-05	1.41E-03	2.72E-03	1.38E-03	1.41E-02	1.04E-02
1:Del:T:3	9.38E-04	5.25E-04	5.89E-04	1.90E-03	3.42E-03	6.06E-04	1.68E-02	4.24E-03
1:Del:T:4	1.12E-03	1.26E-04	8.32E-04	2.44E-03	4.19E-03	0.00E+00	2.13E-02	6.94E-03
1:Del:T:5	1.36E-07	8.06E-08	1.38E-07	3.52E-03	3.11E-07	1.03E-03	4.43E-03	9.30E-02
1:Ins:C:0	3.28E-08	5.60E-06	1.73E-07	6.66E-08	3.91E-08	3.73E-04	4.57E-04	5.60E-07
1:Ins:C:1	1.98E-08	6.29E-05	5.66E-06	3.39E-08	3.38E-08	4.19E-04	7.37E-04	1.16E-04
1:Ins:C:2	8.60E-05	1.57E-05	2.21E-07	1.92E-04	8.69E-05	3.85E-04	8.60E-04	7.74E-04
1:Ins:C:3	4.13E-08	4.55E-05	3.82E-08	3.29E-05	6.11E-08	4.40E-08	5.97E-05	1.62E-04
1:Ins:C:4	3.51E-04	1.71E-04	2.81E-04	1.10E-04	7.91E-05	4.72E-04	9.76E-04	3.13E-03
1:Ins:C:5	2.64E-03	1.50E-04	0.00E+00	1.33E-03	3.74E-04	0.00E+00	2.87E-03	6.84E-03
1:Ins:T:0	2.07E-04	2.43E-04	1.60E-04	0.00E+00	1.74E-03	9.24E-04	5.58E-03	1.24E-03
1:Ins:T:1	1.68E-04	1.80E-04	1.05E-08	0.00E+00	1.96E-03	8.74E-04	6.19E-03	1.21E-03
1:Ins:T:2	0.00E+00	6.69E-05	1.55E-04	4.76E-04	3.29E-04	2.49E-04	2.05E-03	6.70E-04
1:Ins:T:3	1.00E-03	2.72E-04	0.00E+00	2.62E-04	4.54E-04	1.25E-04	4.20E-03	2.53E-03
1:Ins:T:4	1.61E-03	0.00E+00	0.00E+00	8.02E-04	6.10E-04	1.16E-04	2.90E-03	5.65E-03
