Samples	ID1	ID2	ID8	ID9	ID83B	ID83C
V1	163	0	0	69	0	154
V2	251	0	0	0	82	0
V3	0	126	0	54	0	0
V4	8	9	15	0	0	0
V5	263	58	0	0	0	19
V6	230	194	0	77	84	77
V7	0	91	111	0	0	73
V8	0	64	0	0	542	0
V9	135	140	0	0	0	0
V10	12	17	0	83	50	45
V11	0	18	0	0	0	20
V12	130	0	0	33	21	0
V13	0	113	0	0	0	56
V14	472	115	0	0	0	268
V15	45	0	111	0	90	23
V16	5	7	0	39	0	11
V17	150	179	0	0	0	0
V18	60	117	0	0	0	38
V19	34	0	104	0	70	0
V20	345	150	0	0	33	0
V21	201	0	0	0	44	0
V22	0	102	0	57	0	0
V23	20	0	0	84	76	0
V24	11	79	0	24	18	0
V25	542	0	0	0	0	0
V26	0	86	389	0	62	172
V27	121	38	69	0	0	0
V28	23	46	167	0	96	0
V29	133	27	0	0	45	36
V30	338	0	0	0	0	0
V31	0	0	54	0	100	133
V32	102	0	121	95	0	19
V33	68	0	21	21	34	21
V34	165	85	0	0	0	0
V35	147	150	0	78	52	54
V36	65	22	0	0	0	0
V37	23	0	57	0	0	34
V38	0	0	0	56	32	160
V39	160	75	63	0	33	0
V40	140	0	0	0	0	56
V41	35	96	422	108	52	0
V42	44	53	48	0	116	102
V43	0	37	0	0	105	12
V44	0	0	0	50	0	87
V45	45	268	0	73	54	156
V46	33	0	144	0	294	0
V47	20	77	0	41	0	51
V48	15	69	0	92	71	23
V49	0	175	0	40	30	0
V50	141	0	0	0	270	270
V51	20	0	0	52	83	0
V52	15	19	207	0	25	31
V53	27	20	100	321	0	0
V54	3	0	0	11	6	0
V55	27	30	29	0	21	0
V56	0	12	42	0	0	38
V57	59	0	0	98	0	328
V58	152	0	0	83	30	43
V59	0	136	63	0	100	0
V60	66	65	38	46	49	17
V61	37	47	0	16	0	0
V62	132	0	0	207	239	0
V63	82	0	98	0	37	76
V64	9	39	21	0	61	45
V65	21	0	18	0	48	13
V66	0	163	0	266	0	33
V67	25	0	58	0	34	0
V68	64	54	0	223	74	0
V69	190	57	0	158	51	122
V70	0	0	28	0	23	0
V71	17	71	0	0	0	0
V72	4	0	0	11	35	5
V73	21	0	79	0	17	110
V74	53	196	0	45	0	95
V75	0	0	458	104	0	80
V76	24	0	39	119	97	0
V77	0	0	0	0	517	0
V78	0	0	0	0	287	0
V79	0	251	0	0	302	0
V80	0	114	119	0	110	70
V81	0	5	0	7	21	0
V82	0	0	0	0	69	0
V83	0	29	0	0	80	107
V84	0	20	46	0	0	0
V85	55	17	0	0	116	37
V86	10	63	48	0	35	0
V87	80	0	0	0	40	41
V88	32	0	42	0	0	54
V89	159	0	0	0	0	188
V90	65	0	0	0	19	0
V91	55	20	81	49	0	111
V92	0	50	0	0	0	378
V93	26	0	0	39	8	6
V94	27	30	67	197	28	20
V95	21	14	36	57	0	12
V96	16	87	0	0	0	100
V97	97	0	188	0	0	438
V98	0	0	0	0	315	113
V99	18	45	0	0	94	42
V100	0	318	58	0	59	55
