Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
V1	9.05E+00	1.41E+01	0.00E+00	3.37E+00	5.17E-01	7.75E+00	0.00E+00	1.56E+01	9.76E+00	1.51E+00	2.31E+00	2.00E-01	7.94E+00
V2	1.18E+01	0.00E+00	9.57E-01	1.19E+01	1.75E+00	1.91E+00	1.76E+00	0.00E+00	1.65E+01	7.94E+00	3.57E+00	3.11E+00	2.43E+00
V3	7.35E+00	1.55E+01	5.81E-01	5.38E+00	2.17E+01	3.00E-01	2.87E+01	1.58E+01	7.12E+00	4.04E+00	2.23E+01	4.55E+00	3.63E+00
V4	9.26E+00	2.55E+00	1.64E+01	7.61E+00	7.42E-01	5.12E-01	1.11E+00	2.01E+00	1.28E+01	1.89E+01	2.87E+00	2.68E+00	4.00E-01
V5	1.42E+01	2.68E+00	8.34E+00	8.35E+00	5.79E+00	9.17E+00	4.65E+00	4.16E+00	1.44E+01	5.27E+00	3.64E+00	1.07E+01	9.50E+00
V6	6.61E+00	5.47E-01	1.62E+00	9.36E-01	4.26E+00	0.00E+00	4.52E+00	9.29E-01	5.41E+00	4.00E-01	2.72E+00	1.47E+00	3.50E+00
V7	4.97E+00	1.71E+00	2.06E+01	0.00E+00	1.27E+01	2.40E+00	1.06E+01	1.27E+00	5.67E+00	4.00E-01	2.91E+00	2.68E+01	2.47E+00
V8	2.69E-01	3.70E+00	4.58E-01	3.60E+00	6.59E+00	0.00E+00	7.69E+00	5.01E+00	6.63E-01	2.12E+00	5.54E+00	2.71E+00	1.30E+00
V9	8.40E+00	1.33E+00	1.20E+00	3.00E-01	4.00E-01	2.47E+00	4.00E-01	2.00E+00	8.62E+00	4.73E-01	1.20E+00	8.46E-01	4.50E+00
V10	9.23E+00	4.87E+00	2.76E+00	2.48E+00	1.00E+01	1.49E+00	1.04E+01	5.80E+00	1.10E+01	2.60E+00	5.65E+00	2.69E+00	8.70E-01
V11	1.59E+01	6.44E+00	7.48E-01	3.40E-01	2.08E+01	4.33E-01	1.97E+01	6.18E+00	1.72E+01	3.93E+00	1.11E+01	8.68E+00	2.41E+00
V12	2.10E+00	2.39E+01	1.37E+00	4.44E+00	6.80E-01	4.71E-01	1.76E+00	2.55E+01	1.73E+00	3.39E+00	2.55E+00	6.96E-01	1.57E+00
V13	1.10E+01	4.16E+00	2.18E+00	2.71E+00	4.35E+00	2.23E+00	4.87E+00	5.91E+00	1.19E+01	3.06E+00	4.30E+00	6.11E-01	4.61E+00
V14	3.07E+00	3.98E+00	5.15E+00	1.34E+00	4.03E+00	2.75E+00	4.06E+00	4.50E+00	3.01E+00	3.99E+00	2.88E+00	4.45E+00	2.60E+00
V15	3.20E+00	2.74E+00	1.48E+00	3.36E+00	1.66E+01	2.67E-01	1.92E+01	3.74E+00	3.50E+00	3.70E+00	6.95E+00	2.76E+00	3.88E+00
V16	5.75E+00	4.70E+00	0.00E+00	1.38E+00	1.45E+00	7.32E+00	2.55E+00	4.51E+00	8.86E+00	0.00E+00	8.00E-01	3.06E-01	7.34E+00
V17	2.43E+00	1.57E+00	0.00E+00	4.96E+00	1.51E+01	8.63E+00	1.47E+01	2.53E+00	3.08E+00	2.79E+00	1.05E+01	1.06E+00	1.27E+01
V18	0.00E+00	2.79E+00	3.35E-01	0.00E+00	0.00E+00	1.11E+00	0.00E+00	3.09E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.22E+00
V19	1.35E+00	7.95E+00	6.46E+00	1.37E+01	7.89E-01	2.45E+00	6.50E-01	6.98E+00	2.78E+00	1.32E+01	8.13E+00	7.05E+00	3.85E+00
V20	2.53E+01	4.92E+01	8.92E+00	2.47E+00	6.30E+00	5.61E+00	6.94E+00	5.21E+01	2.60E+01	2.04E+00	7.31E-01	8.59E+00	5.03E+00
V21	2.03E+00	4.17E+00	2.99E+00	2.12E+00	0.00E+00	5.84E+00	0.00E+00	4.13E+00	2.23E+00	1.97E+00	3.00E-01	1.42E+00	6.98E+00
V22	4.28E+00	1.14E+00	0.00E+00	1.04E+01	7.86E-01	4.48E+00	1.17E+00	1.03E+00	5.13E+00	1.14E+01	7.41E+00	4.73E-01	3.32E+00
V23	2.99E+00	3.62E+01	3.26E+00	5.34E+00	7.69E+00	2.21E-01	6.86E+00	3.84E+01	4.38E+00	1.72E+00	8.08E+00	4.13E+00	4.00E-01
V24	1.44E+01	3.06E-01	2.17E+01	2.09E+00	1.56E+00	2.19E+00	1.02E+00	1.19E+00	1.53E+01	2.31E+01	1.71E+00	2.61E+00	3.65E+00
V25	0.00E+00	2.12E+00	1.23E+00	2.67E+00	2.32E+00	5.10E+00	2.96E+00	2.09E+00	0.00E+00	3.50E+00	3.00E+00	2.32E+00	5.33E+00
V26	2.15E+00	3.53E+00	3.60E+00	3.73E+00	1.63E-01	8.00E-01	0.00E+00	3.96E+00	2.01E+00	4.24E+00	1.35E+00	5.06E+00	1.91E+00
V27	3.11E+00	1.55E+00	3.99E+00	1.85E+00	6.96E+00	2.44E+00	7.72E+00	1.89E+00	4.08E+00	2.86E+00	5.83E+00	3.63E+00	2.55E+00
V28	1.09E+01	3.48E-01	7.92E+00	8.90E+00	1.33E-01	3.96E-01	2.18E+00	5.00E-01	1.60E+01	6.57E+00	3.16E+00	9.34E+00	2.89E+00
V29	6.51E-01	1.83E+00	1.37E+00	4.21E+00	6.52E+00	0.00E+00	8.19E+00	2.46E+00	1.03E+00	3.53E+00	6.98E+00	9.34E-01	1.00E-01
V30	9.66E+00	2.64E+00	1.42E+00	2.06E+00	3.19E+00	2.24E-01	2.19E+00	2.00E+00	1.05E+01	2.32E+00	2.78E+00	1.81E+00	1.58E+00
V31	1.48E+00	8.82E-01	0.00E+00	0.00E+00	5.62E-01	8.41E-01	3.42E-01	7.22E-01	1.03E+00	0.00E+00	7.37E-01	3.40E-01	1.34E+00
V32	1.30E+01	3.13E+00	2.76E+00	1.85E+00	6.13E+00	8.88E-01	4.98E+00	2.60E+00	1.35E+01	1.84E+00	1.85E+00	2.32E+00	4.40E+00
V33	1.08E+00	1.11E+00	5.99E+00	5.26E-01	7.35E+00	6.05E+00	9.70E+00	8.27E-01	1.30E+00	4.72E+00	0.00E+00	4.72E+00	7.49E+00
V34	1.51E+01	5.16E-01	1.66E+00	2.15E+00	1.19E+00	2.21E-01	1.55E+00	6.90E-01	1.51E+01	1.79E+00	2.68E+00	2.29E+00	6.70E-01
V35	1.37E+00	9.24E+00	1.54E+00	2.67E-01	8.33E-01	1.49E+00	0.00E+00	9.51E+00	1.77E+00	2.67E-01	3.06E-01	4.00E-01	1.58E+00
V36	1.12E+00	2.72E+00	8.66E+00	3.31E+00	1.87E+00	1.37E+00	3.85E+00	3.16E+00	2.19E+00	2.95E+00	2.67E+00	9.35E+00	2.79E+00
V37	1.22E+01	1.03E+00	4.07E-01	1.12E+00	1.47E+01	1.22E+00	1.56E+01	2.60E+00	1.30E+01	3.93E+00	4.64E+00	2.27E+00	2.41E+00
V38	2.30E+01	2.67E-01	1.65E+01	5.97E+00	1.11E+01	2.99E+00	1.24E+01	1.00E+00	2.36E+01	2.66E+00	5.29E+00	2.16E+01	3.96E+00
V39	4.23E+00	7.42E-01	1.62E+00	5.40E+00	1.47E+01	0.00E+00	1.38E+01	2.68E+00	6.90E+00	2.95E+00	3.31E+00	1.69E+00	0.00E+00
V40	4.59E+00	1.18E+00	1.74E+00	7.28E+00	2.81E+01	5.47E-01	3.45E+01	5.60E+00	7.48E+00	5.88E+00	1.76E+01	5.36E+00	1.02E+00
V41	6.25E+00	6.37E+00	9.01E+00	6.34E+00	6.40E-01	3.72E+00	1.24E+00	6.81E+00	9.90E+00	1.05E+01	6.74E+00	1.61E+00	5.90E+00
V42	6.16E-01	5.02E+00	1.18E+00	2.48E+00	5.47E-01	1.38E+00	2.00E-01	3.92E+00	7.06E-01	1.78E+00	1.14E+00	7.95E-01	2.09E+00
V43	6.57E+00	2.14E+01	2.36E+00	2.12E+00	9.25E+00	1.84E+00	6.24E+00	2.29E+01	7.69E+00	2.40E+00	1.24E+01	4.57E+00	3.79E+00
V44	8.33E-01	2.74E+00	4.10E+00	8.33E-01	4.77E+00	2.03E+00	6.94E+00	2.81E+00	1.29E+00	2.17E+00	5.91E+00	2.94E+00	4.45E+00
V45	1.02E+01	1.46E+01	2.96E+00	6.92E+00	0.00E+00	8.32E+00	0.00E+00	1.44E+01	1.37E+01	3.42E+00	4.09E+00	4.27E+00	9.20E+00
V46	4.15E+00	8.30E+00	6.54E-01	5.57E+00	8.65E+00	4.84E+00	8.12E+00	9.56E+00	4.79E+00	5.18E+00	1.34E+01	1.11E+00	9.89E+00
V47	4.01E-01	3.40E-01	3.92E+00	1.30E+01	4.22E+00	1.14E+00	3.55E+00	1.00E-01	5.33E-01	3.39E+00	9.34E+00	2.12E+00	7.00E-01
V48	4.58E-01	0.00E+00	8.09E-01	0.00E+00	5.15E+00	1.22E+00	5.15E+00	0.00E+00	4.99E-01	1.00E-01	1.40E+00	9.17E-01	4.00E-01
V49	1.63E+00	2.39E+00	0.00E+00	1.56E+00	0.00E+00	6.67E+00	0.00E+00	3.61E+00	1.78E+00	1.38E+00	1.19E+00	2.00E-01	6.99E+00
V50	7.87E+00	0.00E+00	1.18E+01	9.11E+00	6.94E+00	0.00E+00	7.09E+00	2.09E+00	7.53E+00	1.06E+01	6.71E+00	1.33E+01	4.08E+00
V51	4.22E+00	3.75E+00	5.04E+00	1.97E+00	1.91E+01	1.42E+00	2.07E+01	4.31E+00	3.87E+00	5.13E+00	8.76E+00	5.41E+00	1.35E+00
V52	5.49E+00	3.18E+00	4.58E-01	1.10E+00	1.04E+01	1.16E+00	8.48E+00	3.73E+00	5.89E+00	2.30E+00	1.28E+01	2.55E+00	4.96E-01
V53	1.91E+01	1.78E+01	9.66E-01	8.03E-01	6.38E+00	2.33E+00	6.27E+00	1.85E+01	2.10E+01	9.69E-01	2.07E+00	1.20E+00	3.04E+00
V54	8.33E-01	1.09E+01	3.07E+00	7.41E+00	9.61E+00	5.17E+00	9.79E+00	1.24E+01	1.35E+00	6.44E+00	7.68E+00	4.79E+00	6.56E+00
V55	2.29E+00	3.07E+00	1.49E+00	6.67E-01	1.29E+00	3.59E-01	2.33E+00	3.28E+00	1.50E+00	1.02E+00	2.05E+00	9.00E-01	9.20E-01
V56	1.11E+01	1.31E+01	2.66E+00	2.28E+00	2.46E+00	0.00E+00	3.24E+00	1.37E+01	1.24E+01	4.01E+00	1.78E+00	2.20E+00	1.90E+00
V57	2.36E+00	2.32E+00	5.41E+00	4.38E+00	3.39E+00	1.66E+00	2.13E+00	2.96E+00	2.75E+00	4.62E+00	3.65E+00	3.48E+00	2.05E+00
V58	8.82E+00	4.19E+00	4.40E+00	7.33E-01	3.58E+00	1.92E+00	2.84E+00	4.08E+00	8.98E+00	2.57E+00	1.49E+00	6.81E+00	2.42E+00
V59	1.67E+01	3.73E+00	7.19E+00	0.00E+00	0.00E+00	5.42E-01	0.00E+00	2.32E+00	1.60E+01	5.36E+00	2.13E-01	1.36E+00	1.40E+00
V60	8.85E-01	1.90E+01	4.04E+00	2.90E+00	0.00E+00	7.39E+00	0.00E+00	2.11E+01	1.69E+00	1.28E+00	6.00E-01	1.45E+00	7.82E+00
V61	4.52E+00	7.38E+00	2.42E+00	5.25E+00	0.00E+00	7.21E+00	1.00E-01	7.91E+00	7.43E+00	5.43E+00	7.00E-01	2.92E+00	7.04E+00
V62	7.64E+00	4.16E-01	2.23E+00	4.17E+00	1.11E+01	1.56E+00	1.14E+01	6.74E-01	8.25E+00	3.52E+00	3.03E+00	3.06E+00	9.33E-01
V63	7.75E+00	5.37E-01	4.75E+00	7.31E-01	6.83E-01	0.00E+00	1.15E+00	8.36E-01	8.79E+00	2.06E+00	1.41E+00	3.34E+00	1.30E+00
V64	1.05E+01	1.97E+00	5.67E+00	9.09E-01	0.00E+00	9.21E-01	2.13E-01	2.31E+00	1.05E+01	1.96E+00	4.00E-01	6.17E+00	7.37E-01
V65	1.05E+01	1.19E+01	1.73E+01	1.11E+01	1.00E-01	9.75E-01	0.00E+00	1.25E+01	1.59E+01	1.59E+01	9.27E+00	1.45E+01	2.67E+00
V66	1.40E+00	2.17E+00	9.40E-01	2.02E+00	8.57E+00	2.94E+00	8.02E+00	2.42E+00	1.30E+00	1.14E+00	5.16E+00	1.16E+00	3.44E+00
V67	7.78E+00	2.94E+00	2.51E+00	7.61E+00	9.11E+00	3.93E+00	1.48E+01	9.78E-01	1.07E+01	6.26E+00	1.30E+01	6.06E+00	3.48E+00
V68	2.01E+01	1.58E+01	3.16E+00	0.00E+00	0.00E+00	5.25E+00	0.00E+00	1.60E+01	2.09E+01	2.00E-01	0.00E+00	3.92E+00	1.23E+01
V69	4.23E-01	2.41E+00	1.10E+00	1.76E+00	4.34E+00	1.57E+00	3.11E+00	2.55E+00	4.82E-01	1.03E+00	2.67E+00	8.00E-01	2.21E+00
V70	1.16E+01	4.64E+00	1.16E+00	2.74E+00	9.80E-01	6.38E+00	2.21E-01	3.79E+00	1.49E+01	2.72E+00	1.67E+00	7.00E-01	4.58E+00
V71	2.42E+00	2.21E-01	2.14E+00	1.09E+00	6.04E+00	7.16E+00	9.35E+00	1.21E+00	3.77E+00	2.37E+00	6.19E+00	2.02E+00	1.28E+01
V72	2.73E+00	1.63E+00	2.36E+00	1.51E+00	1.09E+01	2.33E+00	8.84E+00	2.64E+00	2.83E+00	1.06E+00	8.51E+00	5.00E+00	2.41E+00
V73	3.82E+00	3.35E+00	5.04E+00	1.02E+00	1.76E+00	7.33E+00	2.29E+00	2.92E+00	4.63E+00	3.40E-01	1.67E+00	6.25E+00	8.19E+00
V74	5.38E+00	1.06E+00	4.40E+00	1.02E+00	0.00E+00	3.34E+00	0.00E+00	6.16E-01	8.60E+00	4.00E+00	0.00E+00	3.64E+00	1.83E+00
V75	4.56E+00	1.99E+01	2.37E+00	2.33E+00	2.09E+00	1.98E+00	1.61E+00	1.87E+01	3.98E+00	2.09E+00	9.80E-01	3.29E+00	9.74E+00
V76	2.92E+00	3.82E+00	1.51E+00	1.44E+00	5.86E+00	5.58E-01	5.17E+00	3.82E+00	3.29E+00	8.23E-01	6.26E+00	2.00E-01	1.59E+00
V77	8.70E-01	5.23E+00	5.97E+00	1.69E+00	1.43E+01	9.55E-01	1.66E+01	5.37E+00	1.45E+00	3.97E+00	5.12E+00	4.08E+00	1.87E+00
V78	1.19E+01	6.44E+00	1.12E+01	9.29E-01	1.33E+00	1.57E+00	1.48E+00	7.89E+00	1.25E+01	3.56E+00	1.04E+00	5.88E+00	1.05E+00
V79	9.55E-01	7.52E+00	5.01E+00	4.82E+00	2.45E+01	5.73E+00	2.56E+01	7.19E+00	6.11E-01	1.21E+00	1.01E+01	6.15E+00	6.89E+00
V80	6.53E+00	1.18E+01	7.52E-01	6.15E-01	1.68E+00	3.33E-01	9.43E-01	1.20E+01	5.47E+00	9.32E-01	6.19E-01	2.00E-01	5.17E-01
V81	0.00E+00	3.43E+00	1.35E+00	2.70E+00	1.00E-01	1.30E+01	7.95E-01	3.77E+00	0.00E+00	2.39E+00	1.86E+00	8.70E-01	1.39E+01
V82	5.10E+00	3.58E+00	4.15E+00	6.80E+00	5.36E+00	2.17E+00	7.24E+00	3.75E+00	4.47E+00	7.18E+00	5.24E+00	4.56E+00	3.55E+00
V83	5.47E-01	5.57E+00	1.78E+00	9.87E-01	2.87E+00	7.02E-01	4.29E+00	5.62E+00	6.40E-01	1.08E+00	4.01E+00	4.77E+00	4.21E+00
V84	2.75E+00	3.86E+00	1.32E+01	8.38E+00	2.19E+01	2.24E+00	2.54E+01	5.90E+00	3.30E+00	1.52E+01	2.72E+01	1.18E+01	2.93E+00
V85	1.50E+01	1.78E+00	2.40E+00	1.33E+01	6.11E-01	5.93E-01	1.47E+00	2.33E+00	1.99E+01	1.11E+01	6.26E+00	4.44E+00	3.24E+00
V86	1.03E+01	6.67E+00	9.91E+00	2.40E+00	1.23E+01	2.62E+00	1.19E+01	6.66E+00	1.19E+01	2.03E+00	8.98E+00	1.27E+01	7.37E+00
V87	2.73E+01	4.70E+00	1.28E+01	1.70E+00	7.50E+00	0.00E+00	8.16E+00	4.85E+00	3.04E+01	5.92E+00	1.04E+01	1.34E+01	2.61E+00
V88	1.43E+01	2.03E+00	5.59E-01	0.00E+00	1.58E+00	1.49E+00	2.57E+00	2.02E+00	1.47E+01	0.00E+00	1.20E+00	0.00E+00	1.02E+00
V89	0.00E+00	6.11E-01	3.20E+00	1.99E+00	7.67E-01	2.33E-01	5.97E-01	3.96E-01	0.00E+00	2.02E+00	7.00E-01	3.59E+00	2.00E-01
V90	1.07E+01	1.99E+00	1.45E+00	1.32E+00	1.06E+01	7.91E+00	1.21E+01	3.66E+00	1.61E+01	1.40E+00	7.26E+00	2.68E+00	5.11E+00
V91	4.82E-01	3.73E+00	2.92E+00	3.10E+00	4.00E-01	5.33E-01	0.00E+00	3.36E+00	6.00E-01	3.62E+00	5.00E-01	1.84E+00	5.39E-01
V92	0.00E+00	2.51E+00	3.93E+00	2.00E-01	0.00E+00	0.00E+00	0.00E+00	2.51E+00	0.00E+00	6.05E-01	4.01E-01	3.75E+00	5.12E-01
V93	5.77E+00	1.01E+01	4.50E+00	8.35E+00	1.50E+01	3.60E+00	1.25E+01	1.05E+01	6.02E+00	7.49E+00	1.28E+01	5.88E+00	2.99E+00
V94	0.00E+00	9.70E+00	0.00E+00	2.35E+00	1.05E+00	0.00E+00	4.99E-01	9.88E+00	0.00E+00	2.47E+00	1.86E+00	2.00E-01	0.00E+00
V95	1.77E+01	0.00E+00	1.18E+00	1.18E+01	0.00E+00	3.77E+00	0.00E+00	1.18E+00	1.70E+01	9.29E+00	9.28E+00	3.22E+00	3.82E+00
V96	6.34E+00	1.32E+01	1.74E+01	9.92E+00	4.69E+00	3.32E+00	2.02E+00	1.43E+01	7.72E+00	1.28E+01	5.03E+00	1.46E+01	2.68E+00
V97	3.44E+00	0.00E+00	1.65E+00	8.27E-01	2.30E+00	1.00E+00	1.40E+00	9.00E-01	3.62E+00	2.11E+00	3.07E+00	3.34E+00	1.82E+00
V98	4.45E+01	2.28E+01	2.54E+00	1.61E+01	2.28E+00	4.78E+00	5.04E+00	2.23E+01	4.25E+01	9.56E+00	7.97E+00	5.30E+00	1.47E+01
V99	8.88E+00	1.37E+01	5.22E-01	0.00E+00	7.12E+00	2.55E+00	7.38E+00	1.32E+01	9.19E+00	1.87E+00	6.21E+00	2.49E+00	2.24E+00
V100	0.00E+00	1.72E+01	9.65E+00	8.95E-01	7.63E+00	1.68E+00	7.27E+00	1.72E+01	0.00E+00	9.43E-01	1.93E+00	8.80E+00	3.37E+00
