Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
V1	1.05E+01	1.61E+01	0.00E+00	4.00E-01	3.89E-01	1.02E+01	4.97E+00	4.27E+00	1.64E+01	0.00E+00	1.09E+01	1.20E+01	1.02E+01	7.00E-01	7.00E-01
V2	2.05E+01	1.00E-01	9.19E-01	1.81E+00	1.76E+00	2.01E+00	1.93E+01	1.95E+01	0.00E+00	7.72E-01	4.52E+00	2.14E+01	1.20E+01	6.00E-01	1.26E+00
V3	3.65E+00	1.47E+01	3.59E-01	3.55E+01	3.46E+01	3.07E-01	5.86E+00	5.36E+00	1.28E+01	7.31E-01	2.19E+00	5.09E+00	5.08E+00	1.14E+01	1.36E+01
V4	8.40E+00	1.65E+00	2.30E+01	1.21E+00	7.22E-01	2.24E-01	6.79E+00	6.18E+00	1.33E-01	2.62E+01	8.00E-01	8.91E+00	7.14E+00	6.11E-01	2.72E+00
V5	1.37E+01	4.27E+00	9.12E+00	5.67E+00	5.00E+00	1.18E+01	1.51E+01	1.25E+01	2.71E+00	1.10E+01	1.59E+01	1.47E+01	8.25E+00	5.90E+00	1.12E+00
V6	3.22E+00	2.69E-01	1.05E+00	3.83E+00	4.12E+00	0.00E+00	1.00E+00	8.54E-01	4.33E-01	1.05E+00	9.00E-01	3.90E+00	1.45E+00	3.72E+00	2.82E+00
V7	6.37E+00	1.58E+00	2.34E+01	1.01E+01	1.16E+01	2.82E+00	0.00E+00	8.00E-01	1.57E+00	2.54E+01	3.99E+00	6.11E+00	1.27E+01	1.79E+00	6.07E+00
V8	4.58E-01	3.66E+00	2.67E-01	9.20E+00	6.63E+00	0.00E+00	1.36E+01	1.31E+01	3.77E+00	4.27E-01	6.00E-01	9.17E-01	3.42E-01	3.93E+00	4.14E+00
V9	9.70E+00	1.03E+00	2.29E+00	3.00E-01	4.27E-01	6.62E+00	4.23E-01	1.00E-01	1.89E+00	1.93E+00	7.93E+00	8.71E+00	3.43E+00	1.09E+00	2.78E+00
V10	6.98E+00	4.77E+00	4.09E+00	1.22E+01	1.27E+01	2.01E+00	3.91E+00	3.49E+00	4.50E+00	3.93E+00	2.00E+00	6.16E+00	3.12E+00	3.83E+00	4.52E+00
V11	1.33E+01	5.39E+00	6.86E-01	2.63E+01	2.57E+01	4.58E-01	3.47E+00	2.69E+00	6.61E+00	3.42E-01	2.75E+00	1.36E+01	7.28E+00	3.75E+00	2.12E+01
V12	1.57E+00	2.54E+01	3.51E+00	1.37E+00	8.17E-01	4.73E-01	1.26E+01	1.22E+01	2.38E+01	4.43E+00	4.47E-01	1.48E+00	5.82E+00	8.79E+00	9.34E-01
V13	4.31E+00	4.70E+00	3.48E+00	4.80E+00	4.34E+00	2.38E+00	2.99E+00	2.21E+00	5.07E+00	2.37E+00	3.46E+00	8.33E+00	1.80E+00	3.71E+00	3.69E+00
V14	3.34E+00	2.61E+00	4.43E+00	3.90E+00	4.00E+00	5.36E+00	1.07E+00	1.11E+00	3.80E+00	4.34E+00	4.82E+00	3.45E+00	4.03E+00	3.12E+00	4.35E+00
V15	4.05E+00	1.54E+00	1.82E+00	1.63E+01	1.71E+01	2.69E-01	3.36E+00	4.43E+00	3.67E+00	1.51E+00	1.00E-01	5.20E+00	3.62E+00	7.09E+00	5.58E+00
V16	5.44E+00	4.65E+00	0.00E+00	2.24E+00	1.65E+00	1.28E+01	1.07E+00	1.26E+00	5.33E+00	0.00E+00	1.30E+01	5.09E+00	7.26E+00	6.63E-01	2.56E+00
V17	2.46E+00	2.40E+00	0.00E+00	1.22E+01	1.28E+01	9.56E+00	4.47E+00	4.35E+00	9.33E-01	0.00E+00	9.78E+00	3.67E+00	1.47E+00	5.60E+00	6.52E+00
V18	0.00E+00	2.92E+00	3.27E-01	0.00E+00	0.00E+00	8.62E-01	0.00E+00	0.00E+00	3.13E+00	0.00E+00	4.00E-01	0.00E+00	0.00E+00	1.80E+00	0.00E+00
V19	1.38E+00	7.80E+00	7.48E+00	1.04E+00	7.75E-01	2.83E+00	1.11E+01	9.64E+00	5.88E+00	7.80E+00	2.79E+00	0.00E+00	2.79E+00	9.28E+00	1.49E+00
V20	2.97E+01	3.67E+01	1.12E+01	8.06E+00	6.51E+00	5.17E+00	2.99E+00	1.54E+00	3.76E+01	1.16E+01	6.01E+00	2.79E+01	2.40E+01	1.89E+00	4.52E+00
V21	2.22E+00	3.91E+00	8.06E+00	0.00E+00	0.00E+00	4.21E+00	2.36E+00	1.03E+00	2.64E+00	6.08E+00	2.83E+00	1.84E+00	5.09E+00	1.30E+00	1.71E+00
V22	5.15E+00	1.14E+00	0.00E+00	1.36E+00	7.92E-01	5.08E+00	9.03E+00	9.63E+00	1.30E+00	0.00E+00	4.19E+00	5.76E+00	0.00E+00	3.10E+00	9.45E-01
V23	2.20E+00	4.08E+01	3.45E+00	5.65E+00	7.21E+00	2.13E-01	5.54E+00	4.57E+00	3.68E+01	3.72E+00	0.00E+00	1.00E+00	9.70E+00	6.80E+00	9.78E+00
V24	1.34E+01	3.42E-01	4.45E+01	1.16E+00	1.16E+00	2.89E+00	2.19E+00	1.18E+00	2.21E-01	3.35E+01	2.04E+00	1.40E+01	2.82E+01	3.20E+00	2.01E+00
V25	0.00E+00	1.77E+00	1.65E+00	2.84E+00	2.34E+00	6.46E+00	2.85E+00	1.44E+00	2.58E+00	1.92E+00	6.79E+00	0.00E+00	0.00E+00	4.23E+00	1.98E+00
V26	1.20E+00	4.20E+00	5.89E+00	0.00E+00	1.63E-01	8.23E-01	8.31E+00	7.72E+00	4.78E+00	6.03E+00	1.69E+00	3.42E+00	4.95E+00	1.40E+00	0.00E+00
V27	3.19E+00	1.46E+00	5.88E+00	5.72E+00	7.34E+00	2.21E+00	1.60E+00	1.96E+00	1.40E+00	5.53E+00	1.91E+00	2.91E+00	4.68E+00	2.78E+00	9.25E+00
V28	1.57E+01	4.28E-01	1.02E+01	1.63E+00	4.73E-01	4.73E-01	1.21E+01	1.34E+01	0.00E+00	1.11E+01	2.94E+00	1.57E+01	9.08E+00	7.30E-01	3.51E+00
V29	4.42E-01	1.87E+00	2.23E+00	5.97E+00	7.73E+00	0.00E+00	5.09E+00	4.85E+00	1.66E+00	2.95E+00	2.00E-01	1.02E+00	1.00E+00	4.51E+00	1.96E+00
V30	5.85E+00	1.97E+00	1.42E+00	2.16E+00	2.58E+00	2.24E-01	2.29E+00	2.70E+00	1.21E+00	1.53E+00	4.00E-01	6.00E+00	5.65E+00	2.18E+00	4.00E-01
V31	1.32E+00	2.43E+00	0.00E+00	4.27E-01	4.00E-01	9.36E-01	0.00E+00	0.00E+00	2.63E+00	0.00E+00	1.43E+00	1.08E+00	1.42E+00	0.00E+00	2.13E-01
V32	8.22E+00	3.58E+00	3.16E+00	5.22E+00	5.49E+00	8.84E-01	2.02E+00	2.13E+00	3.21E+00	3.07E+00	4.13E+00	8.49E+00	5.94E+00	1.89E+00	4.25E+00
