MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
1:Del:C:0	2.16E-02	2.65E-03	2.22E-04	1.60E-02	1.40E-46	4.87E-02	4.47E-03	2.01E-02	4.99E-03	7.57E-03	4.99E-02	2.04E-02	5.25E-02	1.13E-02	3.54E-02	7.74E-03	2.98E-02	5.00E-03	1.74E-02	2.33E-02
1:Del:C:1	8.54E-03	1.07E-03	0.00E+00	7.40E-03	0.00E+00	1.61E-02	1.32E-03	1.09E-02	2.26E-04	9.53E-03	1.74E-02	6.79E-03	5.10E-02	1.67E-07	1.75E-02	4.66E-03	8.84E-03	9.59E-03	1.25E-02	7.18E-03
1:Del:C:2	3.94E-02	5.62E-46	5.18E-08	3.39E-03	1.24E-07	9.05E-08	8.98E-02	1.08E-02	1.28E-07	8.09E-07	6.37E-03	2.30E-02	8.29E-04	8.14E-03	4.04E-03	8.71E-07	2.69E-06	1.97E-06	1.28E-04	4.29E-02
1:Del:C:3	2.19E-07	4.92E-04	2.50E-04	3.78E-04	2.29E-03	2.84E-03	2.25E-03	1.92E-03	3.02E-03	9.15E-03	9.29E-03	2.97E-03	1.89E-03	7.01E-05	2.73E-02	2.28E-04	4.26E-03	1.51E-03	6.02E-03	2.71E-03
1:Del:C:4	9.37E-07	5.53E-04	1.26E-03	3.38E-04	6.82E-04	2.00E-03	4.16E-08	2.74E-04	8.78E-04	8.72E-19	6.79E-03	7.25E-05	2.87E-03	6.69E-03	0.00E+00	7.27E-03	1.36E-03	1.74E-06	1.90E-02	1.87E-02
1:Del:C:5	3.97E-07	4.41E-04	3.99E-03	0.00E+00	1.37E-03	2.84E-08	2.97E-04	2.50E-04	2.94E-08	1.12E-07	1.18E-03	4.67E-04	1.09E-03	1.61E-02	1.69E-03	3.07E-03	9.27E-03	4.50E-04	1.66E-02	4.51E-04
1:Del:T:0	3.50E-03	2.86E-03	1.59E-03	6.88E-03	0.00E+00	2.44E-02	0.00E+00	7.86E-04	1.08E-02	4.15E-03	3.02E-02	1.05E-02	2.05E-02	2.56E-02	2.23E-02	7.71E-03	1.04E-02	3.26E-03	2.47E-02	2.09E-02
1:Del:T:1	4.14E-03	1.77E-04	2.62E-04	3.36E-03	2.15E-08	9.65E-03	1.45E-06	2.32E-03	0.00E+00	5.57E-03	3.55E-02	3.91E-03	3.75E-03	7.88E-03	2.26E-02	1.05E-02	2.71E-07	9.89E-03	8.45E-03	4.47E-03
1:Del:T:2	2.60E-03	2.29E-03	7.20E-04	1.43E-06	1.40E-46	5.60E-02	1.59E-07	1.79E-03	2.63E-03	3.64E-04	2.04E-02	3.08E-03	1.25E-02	1.85E-02	4.60E-03	7.78E-03	4.48E-03	2.71E-02	2.11E-02	1.65E-02
1:Del:T:3	2.08E-03	5.64E-07	3.95E-03	9.10E-04	8.69E-04	5.10E-02	0.00E+00	1.37E-02	4.85E-03	3.54E-03	8.83E-03	3.41E-03	2.35E-02	6.32E-03	1.60E-03	8.12E-03	6.12E-03	2.51E-03	6.00E-02	2.45E-02
1:Del:T:4	7.97E-05	9.29E-05	3.77E-03	2.85E-03	2.41E-03	2.12E-02	1.29E-02	3.22E-03	1.54E-02	6.65E-04	2.21E-02	6.38E-03	2.01E-02	2.66E-03	1.94E-02	9.47E-03	9.52E-03	1.10E-02	2.89E-02	1.53E-02
1:Del:T:5	2.22E-07	2.68E-07	1.52E-02	1.25E-06	4.87E-07	2.39E-23	7.68E-07	8.07E-03	3.82E-02	5.50E-07	5.28E-07	9.35E-46	9.85E-46	8.60E-02	3.71E-03	8.19E-02	6.08E-02	3.11E-03	1.61E-05	3.38E-06
1:Ins:C:0	1.24E-03	3.39E-05	0.00E+00	9.64E-04	6.21E-05	3.98E-06	7.62E-08	5.68E-08	1.23E-07	7.16E-04	2.60E-03	1.39E-04	3.88E-08	2.24E-07	1.92E-03	2.63E-03	1.05E-03	1.35E-03	8.12E-07	2.99E-03
1:Ins:C:1	3.10E-08	2.41E-08	4.65E-08	3.76E-04	7.87E-08	4.22E-07	2.12E-08	3.91E-04	3.63E-07	1.88E-03	3.33E-07	7.78E-04	0.00E+00	6.64E-07	4.08E-04	8.01E-04	4.50E-04	1.18E-04	8.34E-05	8.86E-04
1:Ins:C:2	1.36E-07	5.61E-08	1.08E-04	6.47E-04	3.74E-04	6.43E-08	1.48E-07	1.05E-04	6.65E-08	1.56E-07	5.12E-04	1.29E-03	3.83E-07	3.55E-03	8.27E-04	1.90E-03	5.08E-04	8.43E-04	7.23E-04	4.20E-04
