MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	8.50E-03	1.84E-03	8.13E-03	1.98E-03
1:Del:C:1	2.72E-03	6.58E-04	2.65E-03	8.89E-04
1:Del:C:2	2.68E-04	1.21E-02	6.70E-04	8.67E-04
1:Del:C:3	3.93E-04	3.53E-04	4.41E-04	3.92E-04
1:Del:C:4	5.11E-04	2.01E-04	3.36E-04	2.13E-04
1:Del:C:5	5.99E-04	2.01E-04	4.20E-04	2.52E-04
1:Del:T:0	2.84E-03	7.15E-04	2.69E-03	7.86E-04
1:Del:T:1	9.06E-04	2.92E-04	1.04E-03	3.94E-04
1:Del:T:2	1.79E-03	6.48E-04	1.86E-03	7.31E-04
1:Del:T:3	2.43E-03	2.15E-04	2.19E-03	1.42E-03
1:Del:T:4	2.23E-03	5.87E-04	1.93E-03	8.42E-04
1:Del:T:5	2.48E-02	2.32E-03	9.99E-03	6.40E-04
1:Ins:C:0	2.24E-08	5.19E-05	7.25E-05	1.70E-04
1:Ins:C:1	3.55E-05	2.95E-05	3.04E-05	7.33E-05
1:Ins:C:2	9.51E-05	2.63E-08	4.17E-05	1.24E-04
1:Ins:C:3	1.45E-04	1.26E-04	8.60E-05	1.28E-04
1:Ins:C:4	6.50E-04	2.11E-02	1.24E-03	3.88E-04
1:Ins:C:5	7.79E-04	6.70E-04	1.90E-03	2.20E-04
1:Ins:T:0	3.44E-04	2.06E-04	4.99E-04	3.83E-04
1:Ins:T:1	6.09E-04	9.86E-09	4.30E-04	2.95E-04
1:Ins:T:2	2.43E-04	6.69E-05	2.50E-04	1.69E-04
1:Ins:T:3	2.81E-04	7.51E-05	4.00E-04	2.91E-04
1:Ins:T:4	7.55E-04	7.12E-04	1.68E-03	4.53E-04
1:Ins:T:5	2.19E-02	2.71E-02	7.03E-02	4.92E-03
2:Del:R:0	5.52E-04	3.59E-05	6.53E-04	4.67E-04
2:Del:R:1	3.65E-04	2.47E-04	2.41E-04	6.84E-04
2:Del:R:2	1.44E-04	4.33E-08	2.65E-04	5.65E-05
2:Del:R:3	8.96E-05	1.42E-08	3.01E-05	1.13E-04
2:Del:R:4	1.50E-04	1.71E-05	3.88E-05	8.20E-05
2:Del:R:5	7.86E-09	4.61E-05	1.10E-04	1.11E-04
3:Del:R:0	1.77E-04	6.08E-05	2.69E-04	3.43E-04
3:Del:R:1	1.77E-04	1.23E-04	7.71E-04	2.51E-04
3:Del:R:2	1.58E-04	1.62E-04	2.57E-04	1.66E-04
3:Del:R:3	6.11E-05	9.55E-09	2.02E-05	1.95E-04
