MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	4.67E-04	4.18E-04	2.39E-03	1.54E-03	3.19E-03	1.95E-03
1:Del:C:1	3.20E-04	6.20E-04	1.26E-03	0.00E+00	1.48E-03	8.13E-04
1:Del:C:2	4.53E-05	2.46E-03	7.15E-04	8.35E-05	6.12E-04	1.64E-03
1:Del:C:3	4.33E-04	4.44E-04	4.35E-04	2.23E-04	9.74E-04	0.00E+00
1:Del:C:4	2.20E-04	1.00E-04	5.40E-05	4.33E-04	6.29E-04	5.89E-04
1:Del:C:5	2.43E-04	8.94E-05	2.88E-04	4.38E-04	3.93E-04	0.00E+00
1:Del:T:0	6.43E-05	5.12E-05	8.74E-04	9.50E-04	2.31E-03	1.59E-03
1:Del:T:1	1.27E-08	4.72E-05	5.30E-04	3.34E-07	1.29E-03	7.09E-05
1:Del:T:2	7.73E-42	2.51E-04	1.53E-04	1.03E-03	1.21E-03	1.26E-03
1:Del:T:3	8.08E-04	2.78E-04	1.26E-05	1.48E-03	2.39E-03	9.97E-04
1:Del:T:4	7.07E-04	7.22E-04	6.31E-04	1.16E-03	1.99E-03	7.80E-04
1:Del:T:5	2.85E-07	1.35E-07	1.86E-04	2.71E-03	1.94E-04	8.19E-08
1:Ins:C:0	9.29E-05	5.24E-05	1.96E-04	3.87E-08	3.18E-08	1.24E-07
1:Ins:C:1	5.17E-08	1.55E-08	1.27E-04	6.08E-08	6.15E-05	2.73E-04
1:Ins:C:2	5.22E-08	4.42E-08	1.42E-04	1.67E-04	2.91E-05	1.13E-04
1:Ins:C:3	1.37E-04	1.18E-04	9.97E-05	2.10E-04	1.68E-04	5.91E-07
1:Ins:C:4	3.74E-04	1.80E-03	3.68E-04	5.52E-04	9.98E-05	4.14E-07
1:Ins:C:5	7.61E-04	1.81E-04	1.14E-04	1.09E-03	5.68E-05	6.32E-04
1:Ins:T:0	6.39E-04	1.48E-04	4.23E-04	3.75E-04	7.22E-04	5.85E-04
1:Ins:T:1	1.20E-04	1.77E-07	4.10E-04	1.42E-07	7.93E-04	1.40E-46
1:Ins:T:2	1.54E-04	0.00E+00	1.93E-04	2.74E-04	4.20E-04	4.08E-04
1:Ins:T:3	3.61E-04	5.74E-05	3.20E-04	3.02E-04	2.84E-04	2.76E-04
1:Ins:T:4	1.02E-03	6.16E-04	4.83E-04	1.31E-04	3.65E-04	4.48E-04
1:Ins:T:5	2.57E-03	1.49E-07	9.10E-04	1.18E-07	1.19E-03	9.55E-04
2:Del:R:0	3.48E-08	9.46E-08	4.65E-04	0.00E+00	8.14E-04	3.77E-08
2:Del:R:1	1.75E-04	2.83E-04	7.69E-04	4.61E-04	5.94E-04	1.40E-46
2:Del:R:2	2.13E-04	1.18E-08	0.00E+00	1.67E-04	1.06E-04	0.00E+00
2:Del:R:3	1.32E-05	7.64E-09	1.30E-04	1.98E-04	2.69E-05	2.30E-08
2:Del:R:4	0.00E+00	2.18E-08	8.52E-05	3.09E-04	5.96E-09	2.10E-04
2:Del:R:5	1.02E-04	5.59E-05	7.96E-05	4.66E-09	7.92E-07	1.82E-04
3:Del:R:0	2.93E-04	4.86E-05	3.65E-04	2.11E-04	3.18E-04	3.29E-04
3:Del:R:1	7.54E-04	5.08E-09	3.25E-04	2.29E-04	4.58E-04	1.60E-04
3:Del:R:2	7.92E-05	1.73E-04	1.92E-04	3.13E-04	3.39E-04	4.15E-04
3:Del:R:3	1.61E-05	1.07E-08	2.08E-04	1.35E-04	5.24E-05	9.81E-09
3:Del:R:4	2.88E-08	4.64E-08	3.00E-07	5.93E-08	7.48E-05	3.25E-07
3:Del:R:5	4.07E-09	3.49E-09	4.16E-09	4.22E-09	5.27E-09	7.90E-09
4:Del:R:0	1.72E-05	1.83E-04	4.41E-04	0.00E+00	2.74E-04	1.68E-04
4:Del:R:1	2.27E-04	1.63E-04	1.20E-04	2.77E-04	3.67E-04	3.98E-04
4:Del:R:2	1.05E-04	8.96E-05	2.75E-09	1.38E-08	1.97E-04	1.75E-08
4:Del:R:3	1.46E-06	4.90E-08	6.59E-05	5.60E-08	3.58E-08	6.31E-08
4:Del:R:4	5.82E-05	7.75E-05	4.23E-05	4.17E-08	5.14E-05	6.37E-08
4:Del:R:5	6.16E-08	9.45E-09	4.88E-09	8.22E-05	8.40E-09	3.16E-08
5:Del:R:0	6.75E-07	1.50E-08	2.18E-03	3.24E-04	7.69E-08	1.52E-07
5:Del:R:1	1.17E-04	1.74E-04	1.40E-04	4.28E-04	2.89E-04	6.56E-05
5:Del:R:2	9.57E-05	2.08E-09	1.01E-04	7.44E-05	5.43E-09	1.47E-04
5:Del:R:3	4.07E-09	3.49E-09	4.16E-09	4.22E-09	5.27E-09	7.90E-09
5:Del:R:4	2.08E-04	4.22E-04	0.00E+00	7.56E-09	4.93E-09	5.93E-04
5:Del:R:5	4.07E-09	3.49E-09	4.16E-09	4.22E-09	5.27E-09	7.90E-09
2:Ins:R:0	0.00E+00	2.14E-04	3.76E-04	1.61E-04	2.36E-04	1.40E-46
2:Ins:R:1	1.31E-04	6.90E-05	2.92E-04	2.23E-04	4.21E-04	6.85E-05
2:Ins:R:2	2.06E-04	5.96E-05	0.00E+00	1.59E-04	1.24E-04	3.10E-08
2:Ins:R:3	1.69E-04	1.11E-04	7.29E-05	8.53E-05	0.00E+00	5.77E-05
2:Ins:R:4	2.10E-04	2.81E-08	1.05E-04	3.35E-04	2.58E-04	0.00E+00
2:Ins:R:5	1.28E-03	4.31E-04	2.17E-04	7.98E-04	1.49E-04	5.57E-04
3:Ins:R:0	5.56E-09	4.02E-08	1.02E-04	1.37E-04	1.05E-04	2.35E-08
3:Ins:R:1	7.60E-05	5.98E-09	1.11E-04	2.12E-04	2.06E-04	4.52E-09
3:Ins:R:2	2.55E-08	2.92E-08	3.00E-08	1.51E-04	8.96E-05	5.92E-08
3:Ins:R:3	4.07E-09	3.49E-09	4.16E-09	4.22E-09	5.27E-09	7.90E-09
3:Ins:R:4	2.55E-08	2.72E-08	4.57E-05	1.25E-04	5.53E-05	6.76E-08
3:Ins:R:5	1.11E-04	8.93E-09	0.00E+00	3.30E-04	2.16E-07	6.30E-05
4:Ins:R:0	1.35E-07	1.72E-05	9.98E-05	3.48E-08	7.50E-09	6.24E-08
4:Ins:R:1	8.40E-06	4.67E-04	2.08E-04	4.44E-04	1.58E-04	9.34E-04
4:Ins:R:2	3.78E-08	4.03E-08	4.61E-08	5.13E-05	3.57E-08	5.96E-08
4:Ins:R:3	3.39E-08	5.88E-05	7.71E-05	4.02E-05	2.99E-08	7.68E-08
4:Ins:R:4	1.35E-08	4.06E-05	0.00E+00	2.29E-08	5.69E-04	1.93E-03
4:Ins:R:5	2.43E-04	2.64E-04	1.54E-04	1.47E-04	1.15E-04	1.40E-46
5:Ins:R:0	6.19E-05	3.05E-08	1.64E-04	3.56E-08	8.26E-08	7.93E-08
5:Ins:R:1	4.58E-04	0.00E+00	5.27E-04	1.40E-04	9.88E-05	2.31E-05
5:Ins:R:2	4.07E-09	3.49E-09	4.16E-09	4.22E-09	5.27E-09	7.90E-09
5:Ins:R:3	2.44E-05	5.88E-05	3.06E-08	4.08E-08	4.26E-08	5.83E-08
5:Ins:R:4	4.42E-09	7.83E-07	2.33E-08	1.19E-07	1.52E-04	6.65E-04
5:Ins:R:5	0.00E+00	2.45E-05	8.74E-05	0.00E+00	1.33E-08	7.98E-08
2:Del:M:1	2.98E-07	7.23E-08	5.33E-04	8.04E-04	2.26E-07	4.38E-03
3:Del:M:1	6.11E-09	1.87E-04	5.59E-04	7.99E-06	1.11E-04	4.21E-04
3:Del:M:2	1.17E-04	0.00E+00	4.63E-04	5.76E-04	2.06E-04	2.91E-04
4:Del:M:1	4.92E-04	8.21E-04	7.69E-04	1.48E-04	1.81E-04	4.00E-04
4:Del:M:2	1.80E-05	5.52E-05	2.53E-04	8.72E-05	3.65E-04	5.34E-05
4:Del:M:3	5.54E-05	1.02E-09	1.96E-04	2.07E-04	1.16E-04	2.70E-04
5:Del:M:1	1.57E-07	1.51E-04	2.89E-03	7.52E-08	3.82E-08	1.04E-07
5:Del:M:2	2.32E-04	7.88E-05	1.43E-03	2.38E-04	3.74E-04	6.59E-04
5:Del:M:3	0.00E+00	5.08E-05	9.21E-04	5.29E-04	3.27E-04	5.03E-04
5:Del:M:4	0.00E+00	0.00E+00	6.15E-04	3.17E-04	0.00E+00	1.42E-08
5:Del:M:5	2.57E-04	1.01E-04	4.70E-04	2.48E-04	9.05E-09	2.86E-08
