Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
V1	4.51E+00	1.23E+01	6.05E-01	3.37E+00	0.00E+00	2.83E+00	3.67E-01	1.42E+01
V2	2.13E-01	8.97E+00	1.38E+00	3.41E+00	8.44E-01	1.31E+00	1.33E+00	8.20E+00
V3	1.35E+01	7.42E+00	3.28E+01	2.83E+00	7.22E-01	4.00E-01	3.59E+01	1.82E+01
V4	2.42E+00	1.99E+00	1.48E+00	6.36E+00	8.89E+00	2.21E-01	2.03E+00	1.37E+01
V5	3.29E+00	1.38E+01	5.94E+00	5.49E+00	7.88E+00	3.44E+00	6.74E+00	1.44E+01
V6	6.46E-01	6.25E+00	2.97E+00	1.15E+00	1.81E+00	0.00E+00	4.65E+00	6.43E+00
V7	1.89E+00	6.12E+00	4.88E+00	0.00E+00	9.54E+00	9.71E-01	7.55E+00	9.74E+00
V8	1.94E+00	6.00E-01	5.94E+00	1.48E+00	4.67E-01	0.00E+00	6.84E+00	8.44E-01
V9	1.43E+00	5.31E+00	4.73E-01	6.37E-01	1.13E+00	2.39E+00	2.00E-01	4.26E+00
V10	2.70E+00	9.03E+00	9.58E+00	1.28E+00	4.18E+00	1.34E+00	1.05E+01	9.03E+00
V11	6.88E+00	1.25E+01	2.35E+01	1.62E+00	6.86E-01	3.27E-01	2.69E+01	1.41E+01
V12	3.72E+00	1.48E+00	1.07E+00	3.27E+00	2.07E+00	4.16E-01	2.22E+00	4.12E+00
V13	3.43E+00	5.13E+00	6.12E+00	1.44E+00	4.82E+00	1.96E+00	5.75E+00	5.91E+00
V14	3.17E+00	2.42E+00	3.64E+00	8.88E-01	5.68E+00	1.69E+00	5.93E+00	8.16E+00
V15	2.31E+00	3.86E+00	1.90E+01	3.45E+00	1.64E+00	2.24E-01	2.25E+01	4.31E+00
V16	4.47E+00	2.81E+00	1.85E+00	1.25E+00	0.00E+00	3.06E+00	2.64E+00	5.39E+00
V17	2.48E+00	1.23E+00	1.36E+01	2.96E+00	0.00E+00	3.01E+00	1.43E+01	3.22E+00
V18	6.16E-01	0.00E+00	0.00E+00	0.00E+00	3.35E-01	8.09E-01	0.00E+00	1.00E-01
V19	4.17E+00	1.38E+00	1.10E+00	2.93E+00	9.40E+00	1.46E+00	6.94E+00	1.11E+01
V20	3.04E+01	1.42E+01	6.79E+00	2.91E+00	8.40E+00	1.89E+00	8.66E+00	4.14E+01
V21	2.66E+00	2.55E+00	0.00E+00	1.78E+00	6.71E+00	1.55E+00	0.00E+00	6.50E+00
V22	1.16E+00	3.86E+00	1.21E+00	2.90E+00	0.00E+00	2.72E+00	1.12E+00	2.93E+00
V23	5.70E+00	2.87E+00	9.23E+00	4.43E+00	2.89E+00	2.13E-01	9.99E+00	6.68E+00
V24	4.23E-01	8.20E+00	1.20E+00	1.65E+00	7.96E+00	1.53E+00	6.03E+00	9.91E+00
V25	1.53E+00	0.00E+00	2.55E+00	1.38E+00	1.73E+00	1.75E+00	3.15E+00	2.54E+00
V26	4.29E+00	1.95E+00	1.67E-01	7.48E-01	5.40E+00	6.86E-01	7.46E-01	7.10E+00
V27	1.60E+00	4.72E+00	6.44E+00	1.53E+00	3.22E+00	2.04E+00	6.80E+00	5.72E+00
V28	3.48E-01	1.54E+01	1.25E+00	4.25E+00	1.97E+00	5.63E-01	1.56E+00	1.62E+01
V29	1.62E+00	5.86E-01	1.06E+01	3.01E+00	1.13E+00	0.00E+00	1.06E+01	3.53E+00
V30	1.71E+00	1.05E+01	2.99E+00	1.80E+00	1.24E+00	5.12E-01	2.71E+00	1.19E+01
V31	2.47E+00	1.44E+00	7.16E-01	0.00E+00	0.00E+00	8.17E-01	3.40E-01	3.65E+00
V32	5.06E+00	6.69E+00	4.00E+00	2.19E+00	3.24E+00	7.46E-01	6.33E+00	6.34E+00
V33	1.10E+00	9.71E-01	7.97E+00	1.23E+00	3.46E+00	1.34E+00	1.05E+01	1.77E+00
V34	4.47E-01	5.47E+00	2.03E+00	1.22E+00	2.18E+00	3.06E-01	2.77E+00	5.43E+00
V35	3.31E+00	1.05E+00	7.52E-01	2.60E-01	4.10E+00	7.42E-01	3.36E+00	4.13E+00
V36	3.31E+00	1.20E+00	3.23E+00	1.59E+00	8.47E+00	1.15E+00	5.73E+00	9.90E+00
V37	6.46E-01	3.26E+00	8.82E+00	2.62E+00	2.67E-01	1.07E+00	9.74E+00	2.47E+00
V38	2.67E-01	2.58E+01	1.13E+01	4.62E+00	1.15E+01	1.77E+00	1.50E+01	2.88E+01
