Samples	ID1	ID2	ID8	ID9	ID83B	ID83F
V1	138	0	0	0	165	82
V2	177	0	0	200	0	0
V3	42	0	390	0	172	0
V4	70	204	0	70	0	0
V5	257	82	0	179	0	105
V6	51	11	37	0	0	0
V7	38	264	126	0	0	0
V8	0	0	78	116	41	0
V9	70	14	0	0	0	60
V10	68	36	147	0	50	0
V11	193	0	309	0	60	0
V12	0	30	0	129	238	0
V13	89	39	51	0	45	28
V14	20	47	37	0	29	38
V15	25	0	292	0	26	0
V16	57	0	0	0	47	104
V17	0	0	197	0	0	90
V18	0	0	0	0	28	6
V19	0	65	0	160	84	19
V20	348	85	0	0	538	0
V21	16	65	0	0	42	71
V22	31	0	0	151	0	31
V23	0	0	94	0	424	0
V24	112	431	0	0	0	0
V25	0	9	28	22	14	46
V26	17	42	0	78	37	0
V27	34	39	100	0	0	26
V28	127	83	0	118	0	0
V29	0	14	88	32	19	0
V30	140	0	0	0	29	0
V31	11	0	0	0	25	6
V32	93	21	56	0	42	0
V33	0	55	85	0	0	44
V34	170	0	0	0	0	0
V35	10	31	0	0	93	12
V36	0	173	0	55	30	0
V37	92	0	197	0	0	0
V38	262	194	148	0	0	57
V39	25	0	197	38	0	0
V40	46	0	422	0	0	0
V41	46	136	0	69	56	40
V42	0	10	0	25	44	13
V43	51	0	105	0	226	0
V44	0	41	72	0	26	26
V45	118	24	0	117	154	85
V46	26	0	114	56	126	36
V47	0	82	44	169	0	0
V48	0	5	40	0	0	12
V49	11	0	0	0	22	74
V50	54	130	82	89	0	0
V51	31	44	200	0	30	0
V52	42	0	122	0	41	0
V53	270	0	0	0	226	0
V54	0	22	129	100	128	40
V55	17	31	13	0	32	0
V56	112	0	0	0	197	0
V57	17	79	24	49	22	44
V58	75	43	32	0	48	0
V59	130	78	0	0	62	0
V60	0	112	0	0	226	137
V61	27	19	0	142	66	70
V62	64	18	126	39	0	26
V63	56	50	0	0	0	0
V64	90	55	0	0	20	0
V65	69	155	0	83	123	0
V66	0	0	85	50	16	36
V67	59	0	121	100	25	47
V68	208	0	0	0	238	67
V69	0	5	35	10	18	16
V70	97	0	0	0	68	161
V71	18	20	110	0	0	80
V72	100	0	107	0	0	0
V73	30	51	0	0	29	108
V74	52	37	0	0	0	53
V75	45	28	0	0	270	0
V76	20	41	59	0	39	0
V77	0	133	157	0	43	0
V78	114	121	0	0	74	0
V79	0	48	283	0	78	54
V80	56	0	0	0	124	0
V81	0	0	0	0	46	156
V82	34	45	77	53	33	16
V83	0	18	40	0	66	0
V84	0	160	352	216	0	0
V85	183	0	0	137	0	0
V86	132	69	161	0	70	46
V87	192	94	75	0	49	0
V88	172	0	0	0	0	0
V89	0	39	0	39	0	0
V90	94	0	126	0	0	202
V91	0	47	0	58	36	0
V92	0	52	0	0	18	0
V93	46	41	148	153	75	77
V94	0	0	0	26	100	0
V95	176	0	0	251	0	55
V96	70	172	0	198	152	0
V97	33	16	23	0	0	8
V98	445	0	0	269	233	0
V99	83	0	79	0	132	41
V100	0	151	66	0	158	0
