MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
1:Del:C:0	0.00E+00	4.16E-04	0.00E+00	1.13E-02	1.90E-03	2.86E-02	4.53E-02	7.28E-03	4.35E-03	3.48E-02	2.12E-02	3.67E-02	2.10E-02
1:Del:C:1	4.48E-04	1.56E-04	0.00E+00	1.44E-02	2.83E-03	1.11E-02	1.83E-02	1.44E-02	6.72E-03	1.60E-02	8.91E-03	2.54E-02	3.46E-02
1:Del:C:2	1.68E-08	1.03E-04	1.16E-08	1.98E-03	2.58E-04	2.49E-03	6.47E-04	1.38E-04	4.22E-04	2.22E-03	6.29E-04	3.74E-03	1.84E-03
1:Del:C:3	2.38E-04	3.71E-04	9.05E-04	9.20E-04	6.05E-04	1.58E-03	1.91E-03	1.55E-04	3.72E-04	9.40E-03	3.55E-03	1.62E-02	3.49E-03
1:Del:C:4	2.11E-04	1.06E-04	1.66E-04	7.63E-04	2.66E-03	5.35E-03	4.81E-03	1.98E-03	9.72E-04	2.06E-03	2.81E-03	6.92E-03	3.34E-03
1:Del:C:5	3.72E-04	1.09E-04	2.98E-03	7.02E-04	0.00E+00	1.75E-04	6.58E-04	6.05E-08	3.36E-04	1.19E-03	7.65E-03	9.34E-04	6.39E-04
1:Del:T:0	1.99E-04	1.35E-03	9.70E-04	5.41E-03	1.40E-46	1.69E-02	1.88E-02	4.52E-03	8.38E-03	7.96E-03	2.49E-02	1.88E-02	6.65E-03
1:Del:T:1	2.67E-08	1.17E-04	7.82E-04	4.15E-03	3.03E-04	1.06E-02	9.70E-03	1.30E-03	2.73E-03	9.05E-03	4.85E-04	1.00E-02	5.48E-03
1:Del:T:2	0.00E+00	5.69E-04	1.82E-03	8.03E-03	2.42E-03	1.45E-02	1.05E-02	4.25E-03	1.15E-04	1.41E-02	2.42E-03	2.67E-02	1.07E-02
1:Del:T:3	8.64E-05	7.31E-04	3.64E-03	2.68E-03	7.18E-04	1.30E-02	1.75E-02	0.00E+00	2.12E-03	5.26E-03	9.24E-03	2.64E-02	2.09E-02
1:Del:T:4	1.15E-03	8.24E-09	3.38E-03	0.00E+00	1.87E-46	1.36E-02	1.43E-02	3.02E-03	0.00E+00	2.58E-02	1.45E-02	4.82E-02	1.66E-11
1:Del:T:5	1.98E-08	2.79E-08	1.13E-02	2.33E-03	4.12E-02	8.26E-08	6.88E-08	4.62E-03	7.29E-07	4.86E-06	5.74E-02	5.79E-02	3.05E-02
1:Ins:C:0	1.26E-08	3.60E-08	1.31E-07	1.37E-03	6.66E-08	6.22E-04	7.70E-04	4.59E-04	1.05E-03	3.50E-04	2.10E-07	6.64E-04	5.90E-04
1:Ins:C:1	3.14E-08	6.76E-08	8.90E-08	1.62E-03	3.37E-04	1.30E-04	4.59E-04	7.26E-07	7.50E-04	3.35E-04	1.59E-03	1.61E-07	5.39E-04
1:Ins:C:2	2.23E-08	4.16E-08	3.46E-05	8.80E-04	2.60E-07	2.35E-05	2.92E-04	7.46E-04	1.07E-03	5.27E-04	2.20E-04	9.59E-04	1.58E-03
1:Ins:C:3	6.85E-08	2.60E-08	5.12E-08	6.29E-05	4.88E-05	3.19E-08	2.20E-07	1.10E-04	6.20E-05	6.29E-05	2.71E-04	2.78E-08	2.29E-04
1:Ins:C:4	5.77E-04	1.04E-08	7.08E-04	4.30E-04	4.80E-05	2.55E-04	5.84E-05	2.20E-04	0.00E+00	2.18E-03	2.71E-03	1.11E-03	9.12E-04
1:Ins:C:5	1.49E-03	1.23E-04	1.51E-03	5.73E-04	3.25E-03	1.25E-03	2.22E-03	1.35E-04	1.91E-05	3.30E-03	2.80E-03	2.27E-03	2.08E-03
1:Ins:T:0	6.84E-04	4.86E-04	7.83E-04	8.46E-04	3.16E-02	2.44E-03	4.07E-03	2.33E-02	4.84E-03	2.40E-04	1.09E-02	1.48E-02	3.01E-02
1:Ins:T:1	2.36E-09	1.26E-04	2.36E-07	1.96E-03	1.56E-06	6.79E-03	9.47E-03	9.56E-04	1.89E-03	3.79E-03	5.61E-04	2.70E-03	1.30E-03
1:Ins:T:2	1.71E-03	3.44E-02	3.37E-04	2.87E-03	5.13E-02	6.10E-04	8.67E-07	6.57E-03	2.66E-03	4.40E-02	3.10E-03	4.04E-02	5.74E-03
1:Ins:T:3	4.82E-04	2.21E-04	4.43E-04	0.00E+00	3.75E-04	1.96E-04	3.48E-03	4.82E-04	1.01E-03	1.54E-05	2.92E-04	1.96E-03	5.17E-03
1:Ins:T:4	2.43E-03	3.19E-05	1.27E-03	3.62E-03	4.80E-04	2.03E-04	2.31E-03	0.00E+00	2.72E-04	1.26E-02	1.81E-03	2.32E-03	1.70E-03
1:Ins:T:5	4.89E-03	8.24E-07	3.84E-08	1.34E-02	5.19E-06	2.22E-03	2.37E-07	2.92E-06	8.83E-07	9.87E-02	2.29E-02	3.16E-07	3.17E-02
2:Del:R:0	1.85E-04	0.00E+00	0.00E+00	3.81E-03	4.09E-07	2.95E-03	3.89E-03	2.01E-03	1.96E-03	1.33E-03	5.82E-03	6.87E-03	3.90E-03
2:Del:R:1	2.20E-04	2.63E-04	9.92E-04	1.71E-03	1.25E-03	8.14E-04	2.61E-03	0.00E+00	2.24E-03	2.70E-03	3.65E-03	3.42E-03	2.03E-03
2:Del:R:2	2.18E-04	0.00E+00	4.49E-04	1.02E-03	6.94E-04	9.21E-04	2.91E-03	1.64E-03	1.45E-03	4.77E-04	2.08E-03	0.00E+00	1.43E-03
2:Del:R:3	2.66E-05	2.84E-05	1.52E-04	2.07E-08	2.63E-08	4.71E-05	1.51E-07	1.85E-08	3.62E-05	7.17E-05	4.72E-04	7.47E-08	3.70E-04
2:Del:R:4	3.51E-08	3.40E-05	4.21E-04	6.80E-05	1.61E-04	4.82E-09	3.80E-08	8.33E-05	2.98E-07	1.08E-03	1.70E-04	1.26E-03	9.81E-08
2:Del:R:5	1.36E-07	3.70E-08	4.55E-07	8.33E-04	3.69E-07	1.04E-07	6.74E-08	5.43E-04	1.57E-04	1.26E-04	8.44E-05	3.99E-03	1.68E-03
3:Del:R:0	1.91E-08	1.59E-08	6.49E-05	1.75E-03	1.44E-03	1.26E-03	1.91E-04	2.46E-03	1.94E-03	1.43E-03	8.48E-04	3.50E-03	4.46E-03
3:Del:R:1	1.35E-03	6.58E-05	7.79E-04	5.47E-05	2.10E-02	4.46E-04	3.73E-04	1.56E-02	2.60E-04	1.44E-02	3.52E-03	1.02E-02	3.61E-02
