Samples	ID1	ID2	ID8	ID9	ID83C	ID83F
V1	38	71	0	58	57	0
V2	47	0	0	66	167	37
V3	83	0	261	0	0	0
V4	16	0	0	77	109	69
V5	0	20	89	87	0	0
V6	222	75	0	59	147	292
V7	21	30	115	50	51	53
V8	0	120	0	0	59	111
V9	0	77	0	93	48	46
V10	102	115	187	106	0	0
V11	110	61	258	62	54	0
V12	0	0	0	0	0	195
V13	72	0	0	0	612	0
V14	40	29	32	92	80	0
V15	120	99	481	0	0	0
V16	88	107	68	0	229	80
V17	174	30	0	77	0	0
V18	48	125	0	0	0	0
V19	10	0	14	17	11	0
V20	11	15	0	21	0	0
V21	0	0	219	295	0	0
V22	115	209	340	0	0	0
V23	39	28	108	0	123	0
V24	119	48	157	88	57	0
V25	0	0	797	0	0	0
V26	70	37	0	0	0	69
V27	330	0	0	0	0	0
V28	0	83	0	72	0	56
V29	170	0	0	0	117	0
V30	0	0	0	0	439	92
V31	115	0	104	88	0	0
V32	0	0	172	343	0	0
V33	0	106	0	51	275	0
V34	23	88	0	173	0	0
V35	0	33	262	75	88	47
V36	32	15	73	0	34	17
V37	32	57	53	0	0	0
V38	0	204	163	92	48	0
V39	39	22	33	0	57	79
V40	180	0	155	115	165	0
V41	0	177	124	0	0	0
V42	45	84	98	369	211	0
V43	113	0	0	0	0	0
V44	0	116	0	50	24	0
V45	103	0	30	42	0	0
V46	0	269	110	0	0	0
V47	0	248	0	0	0	0
V48	143	0	0	0	0	248
V49	484	54	0	0	0	0
V50	0	23	0	64	143	121
V51	127	0	0	0	0	86
V52	71	51	93	54	43	137
V53	137	50	217	0	0	0
V54	30	0	215	0	0	0
V55	68	101	0	0	0	31
V56	0	0	0	27	53	25
V57	361	73	0	138	149	0
V58	0	0	63	62	0	53
V59	42	93	103	0	88	26
V60	83	114	115	0	89	118
V61	0	23	51	64	98	0
V62	81	171	0	48	0	0
V63	0	19	0	171	30	0
V64	0	89	80	113	82	60
V65	0	48	0	0	120	0
V66	0	170	0	153	111	42
V67	0	142	94	0	118	0
V68	0	0	0	146	129	0
V69	45	0	0	364	0	238
V70	0	76	320	0	0	148
V71	12	0	0	97	24	0
V72	202	0	0	142	0	0
V73	51	0	0	42	56	0
V74	0	0	203	0	165	76
V75	0	205	81	79	0	0
V76	26	63	0	0	0	0
V77	53	51	0	89	0	0
V78	0	98	0	261	0	0
V79	90	83	0	349	0	0
V80	0	0	135	0	103	0
V81	18	0	96	0	165	0
V82	23	0	0	42	12	0
V83	55	16	0	0	147	0
V84	0	38	128	68	0	149
V85	0	89	0	45	90	34
V86	0	0	268	72	0	67
V87	0	195	0	0	50	0
V88	24	62	35	0	241	67
V89	44	52	23	84	30	0
V90	132	44	0	0	0	126
V91	44	19	0	0	0	96
V92	0	0	76	65	0	108
V93	525	0	0	146	0	0
V94	0	37	0	45	0	0
V95	29	33	77	83	94	0
V96	7	23	0	0	0	69
V97	15	44	35	0	0	46
V98	0	176	0	174	0	306
V99	30	59	72	320	0	143
V100	33	23	0	0	0	37
