Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
V1	0	55	27	5	23	3	2	0	0	0	2
V2	3	178	2	3	10	44	9	0	0	0	7
V3	121	76	116	0	44	58	0	0	54	46	0
V4	2	36	45	38	0	9	15	0	24	16	0
V5	45	22	6	12	0	8	13	0	5	15	8
V6	0	1	0	0	3	0	43	0	4	0	0
V7	289	32	22	29	28	0	0	11	0	16	0
V8	0	42	13	40	0	0	56	126	0	40	0
V9	3	8	1	39	0	120	36	38	0	0	0
V10	15	12	2	36	130	0	108	189	0	57	0
V11	0	4	34	2	16	26	7	0	1	0	14
V12	307	134	0	10	0	0	0	27	0	18	0
V13	0	68	0	0	0	93	0	0	64	0	0
V14	101	38	0	44	302	8	64	17	2	10	144
V15	52	0	56	0	9	19	0	0	0	0	35
V16	92	0	22	12	0	0	9	3	3	8	4
V17	0	154	0	63	0	0	35	0	36	0	0
V18	226	142	0	0	66	0	0	20	0	10	0
V19	17	5	37	0	1	109	17	0	0	0	0
V20	7	81	222	10	197	15	0	60	55	0	0
V21	3	15	8	75	0	37	32	25	7	13	0
V22	65	221	46	0	163	59	1	26	0	1	0
V23	1	5	5	114	0	69	188	0	16	37	0
V24	4	5	0	10	63	21	5	0	4	0	1
V25	0	14	3	55	58	49	0	0	14	23	0
V26	42	243	6	11	111	119	8	26	15	1	0
V27	28	82	102	0	180	11	21	93	0	0	0
V28	111	0	18	289	0	7	146	16	0	0	0
V29	5	18	1	0	31	1	7	38	6	8	0
V30	0	198	23	16	17	131	19	0	0	0	10
V31	4	126	12	7	5	0	9	0	39	0	18
V32	4	74	46	226	0	136	63	19	0	0	0
V33	39	19	13	2	42	0	0	9	0	2	0
V34	47	0	6	0	0	62	7	0	0	0	17
V35	211	26	7	2	24	11	0	0	35	0	9
V36	0	9	46	0	156	153	31	11	8	21	0
V37	6	11	0	20	0	14	14	3	5	6	0
V38	25	196	5	9	0	143	1	4	0	9	0
V39	41	12	23	58	195	24	20	0	46	0	0
V40	45	20	177	1	19	170	22	0	12	0	12
V41	0	66	18	120	30	0	59	0	0	0	0
V42	83	60	78	15	4	31	0	0	14	0	0
V43	1	14	55	20	12	1	15	0	0	8	0
V44	2	50	46	0	98	151	11	30	0	10	0
V45	5	18	43	22	2	40	31	0	0	6	0
V46	0	0	26	15	0	2	0	0	7	0	0
V47	42	59	24	10	45	6	0	0	57	0	0
V48	76	3	9	73	4	35	11	0	11	9	90
V49	14	117	10	102	12	0	115	102	0	3	2
V50	63	0	153	38	47	0	23	23	0	26	0
V51	105	22	84	105	0	66	43	0	17	0	3
V52	28	0	193	6	0	163	48	0	0	0	120
V53	32	1	11	332	0	6	35	0	0	112	15
V54	2	14	0	112	14	10	25	44	7	41	43
V55	7	7	29	0	2	94	17	0	0	0	13
V56	4	0	29	22	0	15	17	0	7	4	0
V57	134	70	67	13	134	0	7	5	39	12	0
V58	3	14	67	89	0	62	48	0	3	0	0
V59	1	137	148	0	14	57	4	0	0	4	20
V60	403	0	2	6	69	6	9	0	0	0	22
V61	23	0	12	0	3	109	0	1	4	6	0
V62	51	39	3	0	76	85	0	26	48	10	0
V63	46	27	23	1	160	12	0	45	2	28	0
V64	12	1	30	0	4	10	0	3	13	0	4
V65	165	28	60	0	15	33	0	0	0	40	0
V66	15	162	11	47	20	40	32	0	0	15	0
V67	1	2	34	4	37	11	0	0	0	20	0
V68	23	62	206	162	0	78	61	2	30	1	11
V69	36	0	41	53	9	8	5	0	0	0	40
V70	94	0	18	17	0	146	8	8	1	22	0
V71	3	11	0	0	0	4	0	0	26	0	0
V72	7	20	60	14	7	6	5	16	0	0	14
V73	62	81	40	67	113	9	83	0	0	48	0
V74	17	94	21	0	5	9	25	0	7	11	0
V75	0	69	40	7	26	57	11	0	97	0	0
V76	155	3	7	358	0	41	153	0	0	83	0
V77	5	0	5	0	64	0	0	28	3	0	0
V78	14	10	3	0	9	0	0	0	21	0	0
V79	4	25	33	15	0	5	8	0	0	5	0
V80	52	108	33	2	37	39	34	0	3	1	16
V81	134	10	313	57	0	19	9	0	0	27	3
V82	102	148	99	25	129	0	0	0	60	0	21
V83	30	22	17	0	0	8	3	0	14	0	0
V84	102	8	51	6	57	3	13	0	0	0	56
V85	9	36	192	0	0	7	4	0	0	0	0
V86	20	0	28	136	0	0	94	0	0	13	0
V87	7	17	25	23	140	8	0	9	41	7	14
V88	115	4	12	0	49	0	6	0	0	14	0
V89	49	1	6	3	98	4	0	34	2	6	0
V90	135	13	11	79	0	0	21	40	0	37	0
V91	23	0	59	9	27	0	0	0	6	10	49
V92	0	356	0	0	10	14	0	0	73	0	0
V93	0	44	27	0	9	183	34	0	0	3	15
V94	0	109	34	33	31	2	5	6	12	0	1
V95	1	10	159	116	0	37	67	28	18	0	30
V96	27	0	0	100	38	14	14	11	0	14	11
V97	95	3	2	0	2	47	2	0	0	11	0
V98	11	42	1	1	0	7	2	0	0	4	0
V99	1	9	0	3	47	9	0	0	0	2	12
V100	64	10	11	0	0	19	9	0	0	0	0
