Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
V1	54	0	3	0	24	13	0	11	2	0	4	6
V2	167	2	3	17	0	6	0	0	3	0	0	58
V3	74	118	0	72	109	0	0	66	16	56	0	4
V4	41	2	32	13	44	0	23	0	0	12	18	0
V5	16	41	10	5	3	0	16	0	9	16	0	18
V6	0	0	3	0	0	4	40	0	0	4	0	0
V7	23	287	31	0	21	33	0	0	0	22	0	10
V8	46	0	90	0	16	52	83	0	0	0	0	30
V9	7	3	63	126	1	14	24	0	0	4	0	3
V10	6	17	97	13	0	96	127	147	0	17	20	9
V11	5	0	0	26	30	16	0	0	9	0	18	0
V12	141	311	17	0	0	12	7	0	0	0	0	8
V13	76	0	0	101	1	0	0	0	0	47	0	0
V14	37	91	62	13	4	198	49	159	107	10	0	0
V15	0	42	0	19	28	0	0	8	71	3	0	0
V16	0	92	11	2	23	0	15	2	2	5	0	1
V17	163	0	71	0	0	1	29	0	0	24	0	0
V18	145	226	2	0	0	67	5	15	0	4	0	0
V19	4	13	0	101	20	0	2	0	21	0	10	15
V20	90	2	29	17	201	235	0	0	27	29	17	0
V21	16	3	86	43	10	0	42	10	0	5	0	0
V22	214	63	0	44	38	177	0	0	0	4	12	30
V23	7	0	128	86	0	7	190	0	11	6	0	0
V24	4	3	8	21	0	28	0	42	0	7	0	0
V25	14	0	52	53	4	2	0	73	0	9	0	9
V26	246	40	11	117	0	83	0	49	0	14	22	0
V27	81	27	11	5	84	218	13	0	0	0	67	11
V28	0	106	322	9	0	0	117	0	33	0	0	0
V29	18	5	14	3	0	51	9	0	0	10	4	1
V30	198	0	16	119	19	3	3	15	7	0	11	23
V31	135	0	9	0	1	0	9	9	33	24	0	0
V32	70	3	243	117	41	0	31	0	0	0	13	50
V33	19	38	1	0	10	34	0	13	0	0	11	0
V34	0	43	0	59	0	0	4	0	23	0	0	10
V35	33	211	3	12	0	18	0	12	22	14	0	0
V36	9	0	0	163	41	136	28	47	6	5	0	0
V37	11	6	21	16	0	0	19	0	0	6	0	0
V38	198	25	4	143	1	2	0	0	0	2	17	0
V39	20	35	62	27	5	101	0	126	29	14	0	0
V40	18	40	8	170	163	15	5	3	31	13	0	12
V41	66	0	128	0	15	32	47	0	4	0	0	1
V42	62	82	14	30	71	2	0	2	13	9	0	0
V43	12	1	10	0	41	10	7	1	3	0	34	7
V44	45	1	2	145	36	110	0	0	0	3	31	25
V45	18	4	24	38	37	3	27	0	7	0	0	9
V46	0	0	15	2	26	0	0	0	0	6	1	0
V47	67	41	10	8	23	42	0	12	3	37	0	0
V48	2	73	84	38	22	0	15	13	53	16	0	5
V49	126	13	156	0	6	52	115	0	9	0	0	0
V50	0	63	37	0	153	23	42	45	0	5	0	5
V51	22	97	117	68	54	0	21	0	52	14	0	0
V52	0	13	24	168	162	0	34	0	150	7	0	0
V53	0	36	290	34	0	0	67	14	0	0	103	0
V54	16	3	132	22	7	14	37	32	21	5	23	0
V55	6	5	0	92	24	0	6	0	13	1	15	7
V56	1	5	19	16	30	0	22	0	0	2	3	0
V57	71	126	10	0	44	51	1	109	37	32	0	0
V58	14	2	96	63	65	0	41	0	5	0	0	0
V59	133	0	0	40	136	10	0	3	27	0	0	36
V60	0	401	9	6	0	46	2	32	21	0	0	0
V61	0	23	0	112	12	5	0	0	0	3	0	3
V62	44	50	4	93	3	92	10	6	0	34	2	0
V63	18	45	13	6	20	146	0	43	0	16	0	37
V64	4	11	2	11	23	7	0	0	16	3	0	0
V65	10	157	0	20	53	5	0	9	1	29	0	57
V66	163	14	37	41	5	0	27	26	0	0	29	0
V67	1	1	1	13	34	3	0	47	0	0	0	9
V68	68	16	178	80	181	0	46	0	53	14	0	0
V69	0	32	60	9	40	0	0	12	37	2	0	0
V70	0	93	10	150	12	0	3	5	0	2	33	6
V71	15	3	0	6	0	0	0	0	0	20	0	0
V72	20	5	23	6	59	7	2	7	17	3	0	0
V73	81	60	58	21	27	57	98	81	20	0	0	0
V74	95	16	0	10	16	0	24	6	8	14	0	0
V75	87	0	12	64	44	38	10	0	0	52	0	0
V76	0	159	355	66	0	0	172	0	1	5	42	0
V77	0	4	0	0	0	73	0	0	0	4	22	2
V78	11	13	0	0	0	0	0	12	7	14	0	0
V79	23	4	16	0	30	0	5	0	0	0	0	17
V80	112	47	6	38	16	31	27	9	39	0	0	0
V81	9	126	44	25	282	0	16	0	40	2	28	0
V82	158	96	21	0	91	38	0	122	32	26	0	0
V83	24	31	0	8	18	0	4	0	0	9	0	0
V84	7	91	11	0	36	59	10	0	67	3	0	12
V85	35	8	0	0	188	0	0	0	0	0	0	17
V86	0	20	142	0	29	0	100	0	0	0	0	0
V87	17	3	23	12	16	110	0	50	22	31	7	0
V88	3	114	0	0	11	11	3	49	1	2	0	6
V89	0	48	12	7	6	70	0	55	0	5	0	0
V90	5	138	87	2	10	8	38	6	0	17	7	18
V91	1	19	10	3	55	0	0	37	45	3	10	0
V92	375	0	0	11	0	9	0	6	0	52	0	0
V93	44	0	0	179	20	8	12	0	12	0	32	8
V94	113	0	36	0	33	33	3	2	0	9	0	4
V95	12	0	147	34	161	8	48	0	32	8	0	16
V96	0	27	110	16	0	5	4	50	10	0	0	7
V97	0	96	0	50	1	0	1	4	0	7	0	3
V98	38	11	0	0	0	0	1	0	0	0	0	18
V99	9	0	0	9	0	6	0	50	9	0	0	0
V100	9	62	0	15	10	0	8	0	0	0	0	9
