MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
1:Del:C:0	1.46E-03	0.00E+00	3.89E-45	3.85E-04	1.22E-02	3.37E-02	4.19E-02	1.02E-02	7.07E-46	5.51E-02	4.47E-02	2.07E-03	4.21E-03	3.17E-02	2.25E-02	6.67E-03
1:Del:C:1	3.76E-04	4.78E-04	1.83E-04	0.00E+00	1.69E-02	1.81E-02	2.43E-02	5.50E-03	5.05E-03	1.83E-02	1.47E-02	2.04E-02	4.34E-03	6.63E-03	6.06E-03	7.96E-04
1:Del:C:2	9.61E-05	1.06E-04	0.00E+00	3.94E-03	0.00E+00	8.48E-04	3.90E-04	1.40E-03	1.74E-03	5.16E-03	2.06E-03	3.26E-06	1.09E-03	2.96E-03	1.64E-04	1.72E-05
1:Del:C:3	1.67E-03	7.59E-04	1.03E-03	0.00E+00	6.68E-04	4.41E-03	4.65E-03	4.58E-03	1.20E-04	3.40E-03	8.17E-03	2.71E-03	3.97E-03	2.58E-03	4.42E-03	3.75E-03
1:Del:C:4	2.12E-08	1.28E-04	1.13E-03	4.20E-46	1.43E-02	5.37E-03	4.47E-03	1.19E-03	0.00E+00	8.87E-03	2.67E-03	1.92E-02	3.26E-03	5.42E-03	2.31E-04	3.76E-03
1:Del:C:5	0.00E+00	6.01E-04	3.13E-03	0.00E+00	3.27E-03	1.61E-04	3.77E-03	6.17E-07	1.60E-03	8.40E-04	1.75E-04	9.96E-04	9.34E-04	6.16E-03	5.58E-03	5.21E-03
1:Del:T:0	1.07E-04	1.24E-03	9.30E-04	9.71E-04	8.75E-03	1.81E-02	1.82E-02	8.42E-03	6.65E-03	2.88E-02	2.80E-02	3.02E-02	1.80E-02	1.54E-02	7.37E-03	4.92E-03
1:Del:T:1	3.13E-04	1.46E-08	0.00E+00	0.00E+00	4.15E-03	8.29E-03	1.43E-02	2.35E-03	2.06E-03	1.11E-02	1.81E-02	1.76E-02	1.17E-02	6.35E-03	5.48E-03	4.32E-03
1:Del:T:2	4.07E-04	5.14E-04	1.19E-03	3.58E-03	9.90E-03	1.61E-02	4.66E-02	1.39E-03	1.69E-03	8.94E-03	8.51E-03	2.72E-02	8.53E-04	8.05E-03	1.13E-02	7.19E-03
1:Del:T:3	1.15E-04	7.09E-04	1.72E-03	8.72E-04	6.99E-03	1.75E-02	1.46E-02	1.41E-03	2.12E-03	1.58E-02	2.33E-02	3.01E-02	2.80E-46	1.25E-02	1.15E-02	4.91E-03
1:Del:T:4	3.87E-04	4.93E-04	6.30E-03	3.90E-03	8.08E-04	1.01E-02	2.64E-02	0.00E+00	0.00E+00	2.00E-02	2.90E-03	3.69E-02	2.96E-03	2.64E-02	1.17E-02	9.25E-03
1:Del:T:5	6.09E-07	1.37E-03	6.46E-03	4.69E-46	1.64E-02	1.51E-07	3.24E-08	8.42E-04	3.30E-03	1.90E-02	1.62E-05	9.95E-03	1.70E-07	7.65E-02	4.71E-03	2.66E-02
1:Ins:C:0	2.07E-08	4.41E-08	5.05E-08	1.96E-06	9.76E-04	4.10E-08	3.81E-04	7.20E-04	5.99E-04	2.12E-07	1.04E-03	1.25E-07	3.44E-07	1.19E-04	4.11E-03	1.33E-04
1:Ins:C:1	5.75E-08	1.98E-08	6.44E-08	5.60E-08	3.03E-07	1.99E-04	9.31E-04	8.94E-04	1.08E-03	1.07E-07	1.79E-03	2.02E-03	2.29E-03	7.07E-07	5.07E-04	8.41E-05
1:Ins:C:2	7.70E-08	1.03E-07	2.64E-08	1.35E-07	3.21E-04	1.99E-03	6.32E-05	1.81E-04	3.86E-04	1.74E-03	6.24E-04	7.59E-08	1.27E-04	7.29E-08	1.64E-03	2.07E-07
1:Ins:C:3	4.06E-08	7.67E-05	2.67E-08	7.67E-08	6.49E-04	1.43E-08	4.78E-04	4.08E-05	4.16E-07	1.82E-07	1.71E-04	7.39E-04	2.86E-07	1.35E-07	6.37E-04	2.60E-05
1:Ins:C:4	6.07E-05	3.46E-04	4.53E-04	1.16E-07	0.00E+00	0.00E+00	1.26E-07	2.71E-04	3.16E-04	1.17E-04	4.78E-04	1.51E-03	0.00E+00	1.41E-03	3.41E-03	6.22E-04
1:Ins:C:5	2.59E-08	3.58E-03	1.32E-03	2.41E-03	2.82E-03	3.42E-05	5.71E-03	5.15E-07	0.00E+00	5.26E-03	1.80E-06	1.44E-02	8.88E-04	1.34E-02	4.76E-03	4.39E-02
1:Ins:T:0	1.14E-07	9.02E-05	3.92E-08	3.43E-08	5.71E-04	1.42E-02	4.17E-03	1.26E-03	9.04E-04	1.27E-02	2.05E-03	5.05E-08	7.97E-08	3.01E-03	2.65E-03	3.80E-03
1:Ins:T:1	4.24E-08	9.59E-08	4.57E-08	5.39E-04	1.20E-03	4.58E-03	1.16E-02	1.02E-03	1.73E-04	5.45E-03	1.28E-02	7.75E-04	1.32E-03	1.53E-07	1.90E-03	3.08E-07
1:Ins:T:2	0.00E+00	6.25E-07	1.55E-04	2.58E-03	2.55E-03	1.52E-03	1.10E-03	2.89E-04	3.20E-04	7.15E-04	3.11E-03	1.69E-03	8.75E-04	3.40E-03	2.69E-03	1.41E-03
1:Ins:T:3	5.13E-04	8.22E-04	4.97E-05	1.87E-08	9.45E-03	7.77E-05	2.45E-04	2.29E-04	3.62E-04	2.18E-02	6.75E-03	6.55E-03	5.04E-04	9.62E-05	3.92E-03	1.56E-03
1:Ins:T:4	4.02E-04	1.77E-03	1.07E-04	1.09E-07	4.75E-03	1.14E-02	2.70E-03	7.29E-04	9.82E-08	1.07E-02	4.85E-04	9.32E-04	2.78E-03	2.49E-04	5.33E-03	1.69E-02
1:Ins:T:5	1.04E-02	6.96E-03	6.89E-08	1.40E-46	2.18E-02	1.02E-02	4.48E-03	3.75E-03	7.52E-03	6.11E-03	1.86E-02	1.40E-03	1.01E-02	2.31E-02	6.84E-02	6.47E-02
2:Del:R:0	1.84E-04	7.83E-04	0.00E+00	3.39E-04	1.46E-04	2.55E-03	7.14E-03	2.15E-03	2.19E-03	8.27E-03	1.66E-02	2.43E-03	2.41E-03	5.45E-03	4.97E-03	4.74E-03
2:Del:R:1	1.42E-03	2.93E-04	6.30E-04	3.04E-05	2.60E-03	1.85E-03	1.22E-02	5.80E-03	2.03E-03	6.44E-03	3.88E-03	7.28E-04	3.77E-03	4.20E-03	4.51E-03	9.95E-04
2:Del:R:2	0.00E+00	1.87E-04	3.91E-04	4.61E-05	0.00E+00	2.68E-03	6.76E-04	3.11E-04	1.99E-04	5.10E-03	6.15E-04	3.68E-04	1.40E-46	2.00E-03	3.51E-04	3.26E-04
2:Del:R:3	1.05E-07	2.53E-05	2.66E-05	6.97E-08	1.51E-06	6.32E-04	6.37E-04	2.07E-04	5.10E-08	3.79E-04	8.87E-08	7.67E-08	5.66E-07	1.79E-03	4.67E-04	3.01E-03
2:Del:R:4	3.35E-08	8.03E-05	6.29E-05	3.52E-08	4.09E-07	3.26E-04	5.16E-04	8.95E-08	1.77E-04	5.26E-04	1.29E-07	3.62E-04	5.53E-08	3.55E-04	6.58E-05	1.24E-03
2:Del:R:5	4.93E-08	6.82E-08	1.50E-07	5.65E-08	1.87E-06	9.47E-08	5.19E-08	5.80E-05	3.25E-04	1.23E-07	2.25E-04	1.12E-07	6.88E-04	7.52E-05	8.19E-04	1.81E-04
3:Del:R:0	7.99E-06	3.21E-07	1.55E-04	0.00E+00	6.89E-03	2.50E-03	3.32E-04	6.25E-03	1.14E-03	3.82E-03	1.20E-02	1.69E-03	3.63E-07	8.88E-04	1.99E-02	4.04E-03
3:Del:R:1	0.00E+00	1.06E-03	7.30E-04	3.64E-08	6.64E-03	8.55E-03	2.51E-03	1.47E-03	1.40E-46	5.93E-04	5.94E-03	6.91E-03	3.91E-04	4.87E-03	7.82E-03	1.04E-03
3:Del:R:2	0.00E+00	7.39E-08	2.91E-04	1.77E-04	1.27E-04	2.34E-03	1.01E-03	2.19E-04	1.04E-04	6.36E-04	3.37E-03	3.40E-03	2.49E-04	2.72E-03	1.11E-03	4.68E-08
3:Del:R:3	6.99E-08	4.34E-08	1.64E-07	1.06E-07	1.11E-07	2.71E-04	3.08E-04	2.56E-06	2.14E-04	7.55E-04	1.56E-04	9.13E-08	1.33E-07	2.43E-04	5.36E-07	1.77E-08
3:Del:R:4	6.10E-08	1.67E-08	2.01E-08	8.27E-08	1.20E-07	9.45E-08	6.24E-08	4.85E-08	3.36E-08	2.29E-07	1.54E-07	1.22E-07	1.52E-07	1.55E-07	1.65E-07	1.17E-07
3:Del:R:5	6.10E-08	1.67E-08	2.01E-08	8.27E-08	1.20E-07	9.45E-08	6.24E-08	4.85E-08	3.36E-08	2.29E-07	1.54E-07	1.22E-07	1.52E-07	1.55E-07	1.65E-07	1.17E-07
