Samples	ID83A	ID83B	ID83C	ID83D	ID83E
V1	1.90E+00	7.64E-01	3.06E+00	4.41E+00	0.00E+00
V2	1.73E+00	1.82E+00	2.40E+00	2.85E+00	1.12E+00
V3	8.93E+00	1.33E+00	8.21E+00	1.80E+01	5.28E+00
V4	8.65E+00	1.70E+00	2.08E+00	7.98E+00	6.29E-01
V5	9.80E-01	1.39E+00	2.21E+00	2.04E+00	2.38E+00
V6	1.06E+00	9.21E-01	8.17E-01	0.00E+00	2.60E-01
V7	3.30E+00	1.86E+00	1.83E+00	1.86E+00	4.76E+00
V8	9.20E+00	3.64E+00	7.41E+00	1.44E+00	3.00E+00
V9	2.29E+00	2.67E+00	1.80E+00	3.00E+00	8.27E-01
V10	4.12E+01	6.20E+00	3.03E+01	2.39E+00	1.93E+01
V11	4.36E+00	1.11E+00	2.63E+00	6.84E+00	1.60E+00
V12	1.06E+00	2.33E+00	3.67E+00	8.27E-01	4.66E+00
V13	9.78E-01	9.12E-01	2.90E+00	2.80E+00	0.00E+00
V14	5.30E+01	6.81E+00	4.30E+01	3.92E+00	3.07E+01
V15	1.24E+01	0.00E+00	1.63E-01	1.45E+01	3.63E+00
V16	3.27E+00	1.44E+00	3.73E-01	3.85E+00	1.48E+00
V17	1.42E+00	3.09E+00	3.34E+00	4.33E-01	2.33E-01
V18	1.19E+01	1.60E+00	9.86E+00	0.00E+00	5.80E+00
V19	5.72E+00	1.59E+00	1.08E+00	4.58E+00	8.47E-01
V20	1.34E+01	5.15E+00	3.04E+01	2.81E+01	1.79E+01
V21	9.71E-01	3.87E+00	9.00E-01	2.53E+00	7.67E-01
V22	2.56E+01	1.58E+00	2.45E+01	3.48E+00	1.12E+01
V23	1.35E+00	6.98E+00	1.67E+00	5.33E+00	1.16E+00
V24	1.06E+01	1.29E+00	8.92E+00	1.70E+00	5.65E+00
V25	1.17E+01	2.58E+00	9.12E+00	1.79E+00	5.76E+00
V26	2.01E+01	2.65E+00	1.57E+01	4.90E+00	8.17E+00
V27	2.95E+01	3.64E+00	3.29E+01	1.14E+01	1.73E+01
V28	3.86E+00	3.29E+00	0.00E+00	1.85E+00	3.15E+00
V29	9.59E+00	1.92E+00	8.30E+00	1.03E+00	3.75E+00
V30	2.47E+00	2.21E+00	3.15E+00	2.59E+00	3.48E-01
V31	2.84E+00	9.64E-01	3.33E+00	4.20E+00	6.96E-01
V32	8.59E+00	4.54E+00	3.54E+00	6.78E+00	4.58E-01
V33	8.76E+00	1.36E+00	5.90E+00	1.84E+00	4.23E+00
V34	3.24E+00	9.57E-01	0.00E+00	2.61E+00	1.14E+00
V35	4.29E+00	1.12E+00	2.74E+00	1.67E+00	4.86E+00
V36	2.43E+01	3.87E+00	2.51E+01	5.80E+00	1.45E+01
V37	1.00E-01	1.92E+00	7.61E-01	1.97E+00	1.14E+00
V38	9.78E-01	1.67E+00	4.12E+00	4.99E+00	1.77E+00
V39	3.47E+01	3.43E+00	3.02E+01	1.84E+00	1.94E+01
V40	2.67E+01	2.08E+00	2.29E+00	2.91E+01	2.51E+00
V41	4.13E+00	2.80E+00	5.17E+00	2.10E+00	4.00E-01
V42	1.19E+01	1.13E+00	2.41E+00	1.32E+01	3.03E+00
V43	6.47E+00	1.79E+00	2.26E+00	8.95E+00	1.35E+00
V44	1.29E+01	1.03E+00	1.52E+01	5.83E+00	8.70E+00
V45	7.12E+00	1.45E+00	1.13E+00	7.35E+00	8.09E-01
V46	4.57E+00	7.27E-01	3.07E-01	4.66E+00	3.67E-01
V47	7.43E+00	1.30E+00	8.18E+00	3.64E+00	4.06E+00
V48	7.64E+00	2.33E+00	1.31E+00	9.84E+00	2.49E+00
V49	8.33E+00	2.52E+00	8.80E+00	1.28E+00	2.18E+00
V50	1.34E+01	4.16E+00	4.17E+00	2.43E+01	6.24E+00
V51	1.49E+01	4.06E+00	1.83E+00	1.41E+01	2.29E+00
V52	4.49E+01	2.40E+00	6.51E-01	4.47E+01	2.11E+00
V53	2.25E+00	5.54E+00	1.83E+00	2.71E+00	3.79E+00
V54	4.30E+00	2.26E+00	7.14E+00	3.23E+00	2.75E+00
V55	5.82E+00	1.23E+00	1.20E+00	5.73E+00	7.02E-01
V56	5.00E+00	2.67E+00	5.12E-01	4.85E+00	8.33E-01
V57	1.77E+01	3.84E+00	1.73E+01	8.02E+00	1.08E+01
V58	1.24E+01	2.38E+00	1.35E+00	1.07E+01	5.26E-01
V59	2.33E+01	6.63E-01	3.35E+00	2.50E+01	4.67E-01
V60	1.21E+01	1.53E+00	2.13E-01	1.07E+00	1.17E+01
V61	1.53E+00	2.00E-01	4.07E-01	3.34E+00	2.46E+00
V62	1.66E+01	1.45E+00	1.13E+01	2.80E+00	8.54E+00
V63	3.25E+01	3.44E+00	2.62E+01	1.97E+00	1.63E+01
V64	4.46E+00	5.82E-01	1.77E+00	6.15E+00	1.35E+00
V65	5.68E+00	6.00E-01	1.30E+00	1.02E+01	4.35E+00
V66	3.25E+00	1.84E+00	2.80E+00	2.80E+00	1.36E+00
V67	4.00E+00	1.81E+00	5.91E+00	4.49E+00	4.37E+00
V68	3.62E+01	2.57E+00	1.77E+00	3.61E+01	1.16E+00
V69	8.87E+00	1.92E+00	3.59E-01	1.01E+01	2.42E+00
V70	2.33E+00	1.95E+00	0.00E+00	3.58E+00	2.99E+00
V71	6.40E-01	0.00E+00	1.13E+00	6.84E-01	5.81E-01
V72	9.08E+00	9.04E-01	2.56E+00	1.11E+01	1.36E+00
V73	1.87E+01	5.59E+00	1.60E+01	3.04E+00	8.23E+00
V74	2.99E+00	1.86E+00	3.11E+00	3.45E+00	1.47E+00
V75	1.69E+00	2.37E+00	5.62E+00	5.32E+00	0.00E+00
V76	1.26E+00	7.46E+00	4.99E-01	5.46E+00	5.06E+00
V77	1.37E+01	1.80E+00	1.01E+01	7.37E-01	7.68E+00
V78	2.58E+00	8.56E-01	2.76E+00	3.96E-01	1.25E+00
V79	4.95E+00	1.15E+00	1.31E+00	4.77E+00	5.42E-01
V80	2.83E+00	2.06E+00	6.93E+00	5.73E+00	4.85E+00
V81	5.49E+01	2.93E+00	1.28E+00	5.40E+01	3.75E+00
V82	1.46E+01	2.91E+00	2.15E+01	1.32E+01	9.43E+00
V83	3.41E+00	4.67E-01	1.40E+00	2.86E+00	1.78E+00
V84	4.16E+00	1.86E+00	4.23E+00	1.30E+01	5.03E+00
V85	3.15E+01	0.00E+00	2.15E+00	3.14E+01	1.16E+00
V86	5.20E+00	2.10E+00	3.59E-01	4.83E+00	1.30E+00
V87	2.58E+01	3.31E+00	2.22E+01	3.88E+00	1.53E+01
V88	7.53E+00	1.33E+00	2.07E+00	1.40E+00	6.25E+00
V89	2.06E+01	2.28E+00	1.35E+01	1.07E+00	1.24E+01
V90	2.02E+00	3.21E+00	1.59E+00	1.14E+00	2.96E+00
V91	9.49E+00	1.59E+00	2.68E+00	1.39E+01	3.48E+00
V92	3.33E+00	0.00E+00	1.65E+00	3.11E+00	0.00E+00
V93	3.79E+00	1.77E+00	2.79E+00	4.46E+00	0.00E+00
V94	2.90E+00	2.32E+00	4.97E+00	4.59E+00	7.00E-01
V95	2.99E+01	3.58E+00	1.65E+00	3.13E+01	6.90E-01
V96	7.07E+00	1.49E+00	5.85E+00	1.50E+00	4.47E+00
V97	7.61E-01	3.00E-01	7.89E-01	2.15E+00	2.43E+00
V98	2.24E-01	4.96E-01	1.31E+00	9.98E-01	8.57E-01
V99	7.93E+00	1.13E+00	7.22E+00	1.31E+00	5.28E+00
V100	1.83E+00	8.33E-01	8.54E-01	2.28E+00	1.86E+00
