Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
V1	3.01E+01	2.66E+00	6.24E+00	1.22E+00	1.40E+00	1.02E+00	1.34E+00	4.88E+00	3.06E+01	1.31E+00	5.56E+00
V2	1.54E+00	3.73E+01	8.97E-01	5.62E-01	1.33E-01	5.39E-01	1.00E-01	3.76E+01	1.51E+00	1.00E-01	1.04E+00
V3	5.24E+00	1.46E+01	1.96E+00	1.86E+00	8.60E-01	0.00E+00	0.00E+00	1.55E+01	6.27E+00	1.00E-01	2.64E+00
V4	5.17E-01	3.69E+01	1.62E+01	3.63E+00	4.28E+00	8.70E+00	7.37E+00	3.78E+01	3.42E-01	8.46E+00	1.03E+01
V5	9.32E-01	1.56E+01	0.00E+00	1.06E+00	2.01E+00	1.86E+01	2.12E+01	1.57E+01	1.80E+01	9.00E+00	2.80E+00
V6	1.43E+00	2.50E+00	5.39E-01	8.47E-01	3.84E+00	1.14E+01	1.29E+01	2.20E+00	3.33E+00	3.98E+00	1.94E+00
V7	2.98E+01	3.68E+01	2.69E+00	4.22E-01	8.09E-01	3.76E+00	1.02E+01	3.73E+01	3.15E+01	3.63E+00	2.23E+00
V8	1.87E+01	1.07E+01	1.94E+00	0.00E+00	2.93E+00	0.00E+00	8.00E-01	1.07E+01	2.02E+01	6.40E-01	1.33E+00
V9	1.04E+00	1.48E+01	0.00E+00	0.00E+00	2.37E+00	7.06E-01	0.00E+00	1.56E+01	1.16E+00	8.06E-01	1.08E+00
V10	2.01E+01	1.36E+01	0.00E+00	4.01E+00	2.80E+00	1.53E+01	1.39E+01	1.25E+01	2.31E+01	5.00E+00	6.09E+00
V11	2.12E+01	3.06E-01	3.40E+00	2.99E+00	4.46E+00	9.00E+00	8.53E+00	1.79E+00	2.20E+01	4.58E+00	5.40E+00
V12	1.09E+01	3.15E+01	1.16E+01	1.23E+01	1.57E+00	6.92E+00	4.74E+00	3.71E+01	1.53E+01	3.58E+00	1.04E+01
V13	4.65E+00	1.65E+01	8.46E-01	7.12E-01	5.01E+00	7.42E-01	1.22E+00	1.72E+01	3.00E+00	2.22E+00	2.57E+00
V14	1.24E+00	2.51E+00	2.91E+00	4.97E+00	1.22E+00	7.73E+00	8.02E+00	3.29E+00	1.23E+00	3.89E+00	5.10E+00
V15	1.37E+00	1.34E+00	6.42E+00	1.88E+00	6.21E+00	1.44E+00	2.12E+00	2.91E+00	9.78E-01	4.38E+00	8.37E+00
V16	1.03E+01	5.67E-01	5.63E+00	2.51E+00	5.33E+00	1.58E+01	1.55E+01	5.36E+00	1.02E+01	3.19E+00	4.93E+00
V17	8.40E+00	3.59E-01	7.61E-01	3.30E+00	7.66E+00	3.28E+00	3.19E+00	2.13E-01	1.33E+01	4.48E+00	7.20E+00
V18	2.65E+01	1.44E+00	3.18E+00	1.45E+00	2.89E+00	1.51E+01	1.50E+01	3.51E+00	2.76E+01	2.14E+00	2.54E+00
V19	1.29E+00	1.19E+01	2.95E+00	3.94E-01	6.47E+00	1.61E+00	1.68E+00	1.27E+01	6.83E-01	3.44E+00	4.54E+00
V20	9.52E+00	5.73E+00	2.96E+00	5.61E+00	7.25E+00	4.05E+01	4.13E+01	8.91E+00	9.95E+00	1.05E+01	7.55E+00
V21	5.86E+00	0.00E+00	7.52E+00	2.78E+00	4.56E+00	5.01E+00	5.29E+00	7.80E+00	5.21E+00	9.57E-01	5.79E+00
V22	1.76E+00	9.83E+00	1.31E+00	4.71E-01	1.75E+00	1.00E-01	0.00E+00	9.05E+00	1.64E+00	5.47E-01	1.69E+00
V23	8.17E+00	4.38E+00	5.71E+00	6.87E+00	1.03E+00	7.88E+00	6.00E+00	6.75E+00	1.17E+01	4.53E+00	4.36E+00
V24	2.87E+01	7.39E+00	6.11E-01	7.23E+00	4.20E+00	1.34E+00	1.75E+00	1.27E+01	3.08E+01	2.42E+00	3.47E+00
V25	3.42E+00	9.13E+00	2.97E+01	9.98E-01	4.29E+00	3.30E+00	3.17E+00	2.55E+01	3.37E+00	1.90E+00	1.62E+01
V26	7.65E+00	1.26E+00	1.14E+00	5.20E+00	7.90E-01	2.99E+00	2.67E+00	9.83E-01	1.18E+01	0.00E+00	3.61E+00
V27	5.70E+00	4.02E+00	5.43E+00	6.67E-01	1.00E-01	5.50E+00	6.22E+00	5.28E+00	5.29E+00	1.45E+00	5.36E+00
V28	2.74E+00	2.49E-01	1.67E+00	1.36E+00	8.05E+00	0.00E+00	2.00E-01	2.19E+00	2.58E+00	3.55E+00	6.22E+00
V29	6.11E+00	3.40E-01	1.39E+00	8.47E-01	4.93E+00	6.14E+00	5.91E+00	4.27E-01	5.87E+00	3.86E+00	3.48E+00
V30	2.89E+00	1.42E+01	3.45E+01	1.63E+00	1.87E+00	0.00E+00	5.00E-01	3.63E+01	2.50E+00	8.03E-01	1.63E+01
V31	1.42E+01	7.83E+00	1.00E+00	0.00E+00	2.88E+00	2.24E-01	1.50E+00	6.16E+00	1.53E+01	1.74E+00	1.36E+00
V32	1.56E+00	1.32E+00	1.64E+00	0.00E+00	3.29E+00	2.34E+00	7.61E-01	1.40E+00	2.10E+00	2.79E+00	3.24E+00
V33	2.21E-01	0.00E+00	6.63E-01	0.00E+00	4.25E+00	0.00E+00	3.00E-01	0.00E+00	0.00E+00	1.90E+00	3.68E+00
V34	3.10E+00	6.48E+00	3.61E+00	3.06E+00	3.13E+00	2.21E-01	1.30E+00	6.81E+00	2.99E+00	1.33E-01	2.61E+00
V35	5.97E+00	0.00E+00	3.96E+00	7.14E+00	0.00E+00	7.23E+00	6.44E+00	1.60E+00	8.22E+00	1.97E+00	9.61E+00
V36	0.00E+00	4.79E+00	9.45E-01	6.11E-01	1.14E+00	0.00E+00	0.00E+00	5.37E+00	0.00E+00	7.27E-01	4.27E-01
V37	7.80E+00	6.45E+01	3.26E+00	3.04E+00	6.33E+00	2.21E+00	7.61E+00	6.92E+01	8.34E+00	2.39E+00	3.81E+00
V38	3.28E+00	2.02E+00	4.76E-01	1.25E+00	1.57E+00	1.67E-01	4.00E+00	1.39E+00	3.98E+00	1.89E+00	1.73E+00
V39	2.21E-01	3.89E-01	1.02E+00	2.49E-01	2.74E+00	4.92E+00	4.50E+00	2.00E-01	1.00E-01	2.25E+00	1.50E+00
V40	1.52E+00	3.93E+00	3.06E-01	6.80E-01	1.25E+00	7.56E+00	8.77E+00	3.00E+00	1.50E+00	4.44E+00	1.25E+00
V41	4.20E+00	1.03E+01	0.00E+00	9.92E-01	2.24E+00	4.67E+00	3.48E+00	9.11E+00	5.91E+00	3.87E+00	1.42E+00
V42	1.18E+00	1.71E+00	1.66E+00	3.14E-01	1.83E+00	1.53E+01	1.51E+01	3.30E+00	1.60E+00	3.95E+00	1.83E+00
V43	2.21E-01	0.00E+00	1.04E+00	1.89E+00	1.67E+00	3.94E+00	4.20E+00	3.00E-01	9.98E-01	3.36E+00	7.48E-01
V44	1.12E+00	6.88E+00	0.00E+00	3.14E-01	1.16E+00	8.36E+00	7.26E+00	6.78E+00	6.42E+00	3.29E+00	1.26E+00
V45	3.10E+00	2.35E+00	1.25E+00	1.63E-01	1.56E+00	1.43E+01	1.10E+01	1.65E+00	4.00E-01	3.28E+00	2.06E+00
V46	8.17E-01	2.13E+00	2.13E+00	0.00E+00	8.59E-01	7.25E+00	6.02E+00	1.71E+00	2.84E+00	2.51E+00	2.28E+00
V47	3.35E-01	8.57E+01	9.58E+00	1.61E+00	2.08E+00	0.00E+00	0.00E+00	8.32E+01	2.00E-01	1.55E+00	6.73E+00
V48	4.52E+00	8.03E-01	2.43E+00	0.00E+00	4.19E+00	6.29E-01	1.69E+00	3.89E+00	6.64E+00	2.56E+00	4.27E+00
V49	1.87E+01	2.81E+00	4.64E+00	6.23E+00	2.03E+00	1.57E+01	1.18E+01	2.06E+00	2.01E+01	1.23E+01	6.14E+00
V50	2.20E+01	1.85E+01	0.00E+00	2.13E+00	0.00E+00	4.00E-01	6.40E-01	1.86E+01	2.19E+01	8.97E-01	1.45E+00
