Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
V1	350	15	61	6	0	0	34	2	0	57	0	0	0	0	24
V2	0	184	10	4	92	0	2	0	2	12	0	0	0	1	0
V3	53	81	63	13	42	1	15	0	0	0	5	0	0	0	0
V4	1	151	122	7	132	11	103	37	0	0	3	13	16	42	0
V5	3	78	0	3	26	0	0	78	41	0	0	0	62	3	0
V6	8	0	0	1	12	15	0	38	70	0	0	7	14	36	0
V7	170	178	23	3	140	2	2	2	23	41	0	0	0	1	19
V8	154	0	4	0	76	0	8	0	0	12	13	12	0	0	0
V9	5	73	0	0	31	18	0	0	3	0	7	3	0	0	0
V10	158	31	0	21	60	11	0	54	46	52	4	0	49	0	0
V11	386	0	24	15	0	7	1	34	30	0	11	8	31	17	0
V12	101	235	158	153	147	1	41	24	29	0	0	20	9	0	0
V13	42	146	0	2	15	20	3	0	3	0	35	26	0	0	0
V14	4	0	17	39	16	4	7	34	6	0	0	0	28	0	0
V15	7	4	78	14	0	68	61	0	5	0	53	12	0	0	0
V16	97	0	22	17	2	34	43	118	18	0	0	0	13	12	2
V17	64	1	1	23	0	89	0	5	16	0	38	4	2	9	0
V18	198	5	7	7	0	63	17	83	22	39	3	18	0	0	7
V19	8	76	18	3	23	51	14	0	31	0	3	6	0	0	0
V20	50	25	65	50	7	54	0	214	157	23	21	0	59	0	0
V21	46	0	52	17	0	17	56	8	24	0	13	2	7	4	0
V22	11	28	0	0	43	9	12	0	0	0	2	0	0	4	0
V23	53	25	53	198	16	0	7	7	48	9	7	0	32	0	0
V24	221	51	0	141	0	35	0	2	2	62	44	0	0	29	0
V25	18	46	194	4	21	46	158	14	0	0	1	37	0	0	0
V26	75	5	15	100	2	3	2	15	3	5	0	1	0	0	0
V27	22	67	33	2	13	0	17	22	21	0	0	1	0	0	34
V28	31	0	0	9	0	175	16	0	0	20	19	18	5	0	0
V29	36	0	7	0	0	56	0	22	52	14	22	13	3	9	2
V30	21	100	249	14	42	0	165	0	0	0	0	0	0	0	0
V31	63	32	7	0	21	11	0	0	0	46	41	14	0	0	1
V32	12	6	15	0	0	18	1	0	19	0	5	0	0	0	0
V33	0	0	3	0	0	50	5	0	0	1	0	4	0	0	0
V34	29	38	24	49	3	9	15	0	0	0	16	0	0	29	0
V35	35	0	15	62	0	0	55	34	19	5	0	0	6	0	0
V36	0	17	11	0	15	0	7	0	0	0	5	2	0	4	0
V37	39	432	14	97	192	24	9	1	0	20	0	94	0	24	0
V38	16	9	0	8	0	11	0	0	1	8	7	10	0	0	2
V39	0	2	0	1	0	14	9	18	32	0	1	0	0	0	0
V40	0	21	1	2	3	4	0	23	41	10	0	0	18	0	0
V41	40	27	0	7	40	16	0	0	56	0	0	9	0	0	0
V42	25	0	14	0	8	0	0	64	17	0	0	17	32	0	0
V43	0	0	1	44	0	3	5	0	22	1	5	0	14	0	0
V44	9	9	0	0	42	2	0	16	46	0	3	5	6	1	0
V45	41	0	3	1	13	9	17	76	35	0	0	0	0	0	4
V46	0	6	21	0	2	1	0	17	84	0	0	7	0	0	5
V47	0	350	79	25	299	0	29	0	0	0	0	0	0	0	0
V48	34	0	37	0	0	30	2	0	0	1	54	21	9	0	0
V49	135	7	27	74	15	9	32	62	60	66	0	0	8	0	0
V50	202	43	0	14	88	0	0	0	0	27	0	0	0	0	0
V51	58	19	26	18	11	7	43	0	29	0	9	18	0	0	0
V52	206	10	0	7	1	16	0	0	0	68	7	0	0	0	0
V53	3	7	38	13	4	0	10	0	0	0	0	2	0	0	0
V54	11	13	15	23	0	43	30	0	0	0	2	0	0	5	0
V55	0	1	51	131	0	0	20	4	0	0	3	0	0	20	0
V56	0	9	0	38	12	3	0	3	4	0	9	15	0	0	0
V57	157	90	1	22	96	0	0	61	0	7	0	4	16	0	5
V58	34	2	3	2	0	1	4	0	0	0	0	0	1	0	4
V59	38	7	409	105	0	0	223	41	35	0	0	0	0	0	0
V60	8	79	65	2	36	100	24	4	0	1	32	0	18	0	0
V61	19	20	0	1	76	35	1	67	31	4	0	0	0	0	6
V62	10	2	30	31	0	2	31	29	30	0	0	0	0	6	13
V63	2	62	10	72	0	19	11	33	22	0	15	0	15	1	0
V64	161	0	28	0	1	0	0	39	28	39	0	0	0	0	6
V65	20	19	0	60	16	23	0	11	0	10	7	15	14	0	0
V66	21	2	2	43	0	11	2	0	0	10	21	0	7	52	0
V67	293	8	25	33	2	0	0	0	0	42	2	0	0	0	2
V68	214	1	12	12	0	0	0	20	10	16	10	0	0	53	24
V69	6	20	0	7	9	45	0	0	0	0	3	8	0	0	4
V70	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0
V71	13	2	44	3	0	7	4	0	0	0	0	5	6	0	0
V72	0	27	50	36	17	0	69	0	0	0	0	0	0	0	0
V73	132	9	38	76	0	0	3	3	4	23	22	5	0	0	0
V74	6	0	22	3	2	3	9	20	0	0	0	11	0	0	0
V75	14	0	18	43	4	0	0	0	0	0	0	0	0	3	0
V76	0	54	0	57	40	0	0	0	0	16	0	19	0	0	0
V77	28	13	15	0	10	2	0	0	0	0	9	0	0	0	0
V78	20	2	83	23	3	0	0	9	3	0	1	5	8	0	0
V79	9	71	0	53	40	34	0	0	12	12	13	11	16	0	0
V80	0	16	131	8	1	15	24	0	11	0	0	0	14	8	0
V81	135	0	25	0	0	5	0	37	28	6	0	0	6	0	10
V82	71	70	0	68	16	10	0	85	51	6	0	0	0	23	21
V83	25	50	5	0	5	0	0	2	0	0	0	0	10	0	0
V84	167	0	0	0	0	0	0	26	6	91	10	0	6	0	9
V85	5	0	13	73	0	0	26	0	2	0	0	0	0	16	1
V86	20	64	9	144	4	11	0	43	49	0	1	0	30	29	0
V87	39	28	3	0	15	7	0	4	2	12	0	27	0	0	0
V88	3	42	5	0	65	0	0	9	4	0	15	0	4	0	0
V89	1	17	146	16	18	6	41	0	10	0	0	0	0	0	0
V90	199	33	112	34	9	7	45	5	17	0	22	21	14	0	0
V91	117	13	13	50	0	62	4	0	9	21	64	0	17	0	0
V92	75	3	12	6	16	6	5	0	0	0	0	0	0	0	0
V93	66	42	50	11	31	112	71	13	0	0	59	46	5	0	0
V94	2	152	3	29	88	12	0	12	4	1	1	29	13	0	0
V95	20	60	129	0	7	89	0	15	11	0	48	48	19	0	0
V96	176	0	4	0	0	96	22	0	12	68	62	60	0	0	0
V97	0	12	96	51	24	0	36	0	4	0	17	0	0	16	0
V98	0	149	0	22	98	1	0	0	35	0	6	1	0	12	15
V99	0	13	0	0	7	6	0	0	5	7	0	1	13	0	0
V100	2	0	13	1	0	18	0	0	32	0	11	12	9	28	0
