Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
V1	13	328	88	2	0	0	7	0	0	0	0	68	28	0	0	15	0	0	0
V2	265	0	10	1	0	0	0	0	4	0	8	11	4	4	0	0	0	0	0
V3	115	49	68	12	0	0	7	0	0	0	8	0	3	0	6	3	0	2	0
V4	243	0	160	27	0	42	42	5	0	0	56	0	0	0	13	29	0	21	0
V5	89	4	0	5	0	83	0	60	21	16	0	0	0	0	6	0	0	10	0
V6	8	0	2	19	8	35	0	35	53	0	7	0	0	0	4	0	17	13	0
V7	283	155	28	0	0	4	0	0	19	0	37	20	51	0	0	0	7	0	0
V8	41	139	13	0	0	0	0	0	0	8	43	0	23	0	5	3	0	4	0
V9	102	2	0	0	20	0	0	3	2	0	3	0	1	0	1	2	4	0	0
V10	58	152	0	20	6	55	0	56	17	15	26	0	54	0	6	0	21	0	0
V11	0	347	34	24	5	30	0	36	16	0	0	0	21	0	11	6	16	18	0
V12	341	97	180	133	0	34	6	17	7	15	38	0	0	28	0	16	0	6	0
V13	111	38	2	0	33	0	0	3	0	75	0	0	0	1	16	2	3	8	0
V14	4	5	17	38	1	37	0	18	0	0	15	0	0	0	1	0	0	0	19
V15	0	3	100	0	80	0	27	0	0	7	0	0	0	29	30	21	3	2	0
V16	1	78	16	22	33	123	51	20	0	0	0	3	20	0	5	2	0	4	0
V17	0	28	1	10	74	8	0	0	5	0	0	0	0	37	24	0	65	0	0
V18	8	175	18	6	64	76	8	4	19	0	0	18	49	0	1	6	7	10	0
V19	97	7	26	2	47	0	0	4	29	2	0	0	0	0	9	8	0	2	0
V20	7	50	63	44	60	217	0	120	87	30	0	0	32	2	13	0	0	0	0
V21	0	40	68	18	17	13	26	10	13	0	0	0	3	0	11	19	0	8	0
V22	55	9	6	1	3	0	0	0	0	0	21	0	0	0	5	9	0	0	0
V23	0	52	50	169	0	0	1	40	28	46	0	8	4	40	0	0	0	0	17
V24	52	208	0	132	38	0	0	0	0	0	0	47	14	41	30	0	22	3	0
V25	46	14	249	0	48	11	74	0	0	22	19	0	0	0	5	47	0	2	2
V26	0	68	17	94	3	13	0	0	0	8	0	0	13	9	0	0	0	1	0
V27	52	35	37	0	0	29	14	0	18	36	0	0	5	0	0	5	0	1	0
V28	0	28	11	8	163	0	0	0	0	0	0	0	0	0	7	23	31	22	0
V29	0	17	8	0	43	23	0	16	32	0	0	5	2	9	13	3	50	15	0
V30	135	18	240	9	0	0	171	0	0	0	0	0	0	0	0	18	0	0	0
V31	16	65	7	0	30	0	0	0	0	47	6	31	17	0	8	9	0	0	0
V32	6	7	14	0	15	0	1	1	18	0	0	0	1	0	6	0	7	0	0
V33	0	0	0	0	45	0	10	0	0	0	0	0	0	0	0	0	2	6	0
V34	33	28	24	60	11	0	14	0	0	11	2	0	0	9	20	0	0	0	0
V35	0	31	12	57	0	42	58	11	3	0	0	0	12	0	0	4	0	0	1
V36	18	0	14	1	0	0	1	0	0	13	7	0	0	0	5	0	0	2	0
V37	582	47	22	86	24	0	0	0	0	53	24	0	13	43	4	2	0	46	0
V38	7	16	0	0	12	0	1	0	0	6	0	4	0	16	0	4	6	0	0
V39	2	0	5	0	13	21	0	10	21	0	0	0	0	0	3	0	1	0	1
V40	25	8	0	2	4	20	1	32	29	0	0	0	0	0	0	2	0	0	0
V41	57	36	0	5	12	0	0	13	46	0	16	0	3	0	0	0	0	7	0
V42	0	22	16	0	1	70	0	32	0	12	2	0	6	0	0	0	0	16	0
V43	0	0	2	32	1	6	0	15	6	0	0	0	0	23	0	4	3	0	3
V44	37	8	0	0	0	24	0	13	30	0	15	0	0	0	3	0	0	9	0
V45	9	38	15	1	8	96	0	8	8	0	1	0	4	0	1	2	0	8	0
V46	9	0	20	0	1	23	0	16	61	0	0	0	6	0	0	0	0	7	0
V47	577	0	85	20	0	0	14	0	0	0	86	0	0	0	0	0	0	0	0
V48	0	28	39	0	54	0	0	6	0	5	0	0	2	5	12	21	9	7	0
V49	16	153	36	70	10	82	23	28	25	1	5	41	0	0	4	0	0	1	0
V50	102	199	0	12	0	0	0	0	0	3	33	7	17	0	0	0	0	1	0
V51	30	53	43	8	11	4	17	4	19	0	5	0	0	20	0	18	1	3	2
V52	0	221	0	4	19	0	0	1	0	14	0	43	5	0	2	1	3	2	0
V53	2	3	40	12	0	0	7	0	0	10	2	0	0	0	0	1	0	0	0
V54	12	2	20	23	37	0	20	0	0	0	0	0	0	0	6	4	18	0	0
V55	0	0	45	125	0	1	26	0	0	0	0	0	0	26	7	0	0	0	0
V56	3	0	0	26	5	0	0	2	2	20	8	0	0	23	0	0	0	4	0
V57	160	139	5	20	0	60	0	10	0	0	28	14	15	0	0	0	0	8	0
V58	2	31	0	2	1	0	9	0	0	0	1	0	3	0	0	1	0	0	1
V59	0	34	382	97	0	64	263	0	5	0	0	5	0	0	0	8	0	0	0
V60	98	7	79	1	101	0	0	18	0	12	13	0	0	0	24	16	0	0	0
V61	68	23	1	0	26	87	0	5	8	0	35	0	0	0	0	4	0	3	0
V62	1	13	46	32	0	28	9	0	34	0	0	0	0	0	1	13	7	0	0
V63	49	1	15	70	20	22	0	25	18	19	0	2	0	0	14	7	0	0	0
V64	0	163	33	0	0	54	0	0	17	0	0	34	0	0	1	0	0	0	0
V65	0	16	0	51	18	3	0	12	0	41	12	0	0	11	2	3	25	1	0
V66	1	0	0	69	8	0	4	0	0	0	0	1	23	1	20	4	32	7	1
V67	8	270	31	25	0	0	0	0	0	0	0	45	18	9	1	0	0	0	0
V68	0	175	18	39	0	16	0	6	6	0	1	20	72	0	18	1	0	0	0
V69	14	8	1	6	40	0	0	0	0	20	6	0	0	0	5	0	0	2	0
V70	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0
V71	2	8	40	2	7	0	14	3	0	0	0	4	0	0	0	0	2	2	0
V72	40	0	45	32	0	0	68	0	0	0	0	0	0	0	0	14	0	0	0
V73	0	118	41	49	4	0	0	1	0	13	0	34	0	49	3	2	0	1	0
V74	0	5	28	3	3	18	0	0	0	5	0	0	1	0	0	3	1	8	1
V75	2	11	17	43	0	0	2	0	0	0	2	2	3	0	0	0	0	0	0
V76	65	3	0	45	0	0	0	0	0	30	9	8	10	13	0	0	0	3	0
V77	21	26	14	0	1	0	0	0	0	0	1	0	0	0	8	0	2	4	0
V78	3	16	84	18	0	4	0	11	0	0	3	0	6	10	1	0	0	1	0
V79	104	12	0	45	34	0	0	15	7	5	7	9	0	13	7	5	0	8	0
V80	15	0	142	12	12	0	9	21	0	0	0	0	0	0	6	5	1	5	0
V81	0	122	28	0	5	41	0	17	12	0	0	10	14	0	2	0	0	1	0
V82	73	64	0	74	11	92	4	0	47	17	0	17	13	5	1	0	3	0	0
V83	50	23	5	0	0	0	0	10	0	7	0	2	0	0	0	0	0	0	0
V84	0	168	0	0	2	29	0	3	0	0	0	65	26	0	3	0	14	5	0
V85	0	5	15	81	0	0	22	0	2	0	0	0	1	0	5	5	0	0	0
V86	69	11	8	149	9	52	2	41	23	0	0	16	0	16	8	0	0	0	0
V87	37	44	6	0	9	6	0	0	1	13	4	4	0	0	0	2	0	11	0
V88	72	2	4	0	0	9	0	8	0	17	27	0	0	0	6	2	0	0	0
V89	26	0	156	13	6	0	31	0	10	0	8	0	0	0	0	5	0	0	0
V90	25	172	144	26	14	0	1	17	9	19	10	0	28	12	8	27	0	6	0
V91	12	83	14	33	75	0	1	19	0	0	0	56	0	29	30	0	18	0	0
V92	11	71	17	6	4	0	0	1	0	0	10	0	0	0	2	0	0	0	1
V93	74	61	60	0	131	2	55	14	0	2	12	0	0	23	28	26	0	18	0
V94	180	0	3	26	12	4	0	15	5	60	24	0	7	0	0	0	0	10	0
V95	30	0	130	0	98	0	0	27	8	60	4	0	0	0	24	10	43	12	0
V96	0	152	23	0	111	0	0	1	7	13	0	60	3	0	13	39	48	30	0
V97	26	0	112	48	0	0	10	2	0	0	12	0	0	20	16	10	0	0	0
V98	227	1	0	23	0	0	0	0	38	0	22	5	7	6	5	0	0	5	0
V99	19	0	0	0	4	0	0	12	2	0	2	1	0	0	0	0	10	2	0
V100	2	0	11	14	17	0	5	14	28	0	0	0	0	3	11	0	7	14	0
