Samples	ID83A	ID83B
V1	549	0
V2	0	307
V3	109	164
V4	100	538
V5	57	237
V6	158	43
V7	287	317
V8	226	53
V9	0	140
V10	403	83
V11	564	0
V12	331	587
V13	59	233
V14	107	48
V15	206	96
V16	367	11
V17	251	1
V18	469	0
V19	40	193
V20	612	113
V21	214	32
V22	14	95
V23	355	100
V24	540	47
V25	268	271
V26	214	12
V27	103	129
V28	285	8
V29	234	2
V30	233	358
V31	177	59
V32	58	18
V33	53	10
V34	128	84
V35	209	22
V36	4	57
V37	64	882
V38	56	16
V39	62	15
V40	63	60
V41	99	96
V42	150	27
V43	85	10
V44	44	95
V45	178	21
V46	98	45
V47	0	782
V48	164	24
V49	471	24
V50	282	92
V51	173	65
V52	315	0
V53	41	36
V54	94	48
V55	180	50
V56	38	55
V57	269	190
V58	51	0
V59	603	255
V60	97	272
V61	97	163
V62	153	31
V63	107	155
V64	302	0
V65	126	69
V66	160	11
V67	407	0
V68	372	0
V69	37	65
V70	6	0
V71	63	21
V72	81	118
V73	302	13
V74	53	23
V75	68	14
V76	44	142
V77	49	28
V78	118	39
V79	77	194
V80	125	103
V81	252	0
V82	285	136
V83	34	63
V84	315	0
V85	113	23
V86	243	161
V87	80	57
V88	0	147
V89	125	130
V90	439	79
V91	355	15
V92	111	12
V93	305	201
V94	0	346
V95	207	239
V96	500	0
V97	134	122
V98	0	339
V99	15	37
V100	100	26
