Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
V1	1.19E+00	1.18E+00	7.86E-01	1.44E+01	0.00E+00	0.00E+00	5.00E-01	1.52E+01	2.13E-01	2.56E+00	8.00E-01	7.04E+00
V2	2.54E+00	1.84E+00	2.95E+00	5.59E+00	8.44E-01	1.74E+01	3.66E+00	8.22E+00	1.67E+01	9.31E-01	7.64E+00	5.98E+00
V3	9.52E-01	5.34E+00	9.68E-01	9.14E+00	1.63E+00	4.78E+00	9.89E-01	8.99E+00	5.69E+00	2.28E+00	4.53E+00	8.20E+00
V4	9.23E+00	2.57E+00	1.67E+01	4.27E-01	4.78E+00	4.00E+00	9.22E+00	1.19E+00	6.64E+00	1.55E+01	6.11E-01	5.26E-01
V5	2.65E+01	1.25E+00	2.30E+00	1.33E-01	1.82E+01	1.37E+00	2.64E+01	2.11E+00	1.81E+00	2.05E+01	7.02E-01	1.59E+00
V6	0.00E+00	8.43E-01	1.33E+00	2.03E+01	3.37E+00	0.00E+00	7.00E-01	1.84E+01	0.00E+00	4.19E+00	6.12E+00	1.50E+01
V7	2.23E+00	1.03E+01	5.81E-01	0.00E+00	5.43E+00	7.18E-01	2.16E+00	2.67E-01	3.00E-01	6.49E+00	1.00E-01	1.17E+01
V8	2.70E+00	1.00E+00	4.84E+00	9.54E+00	9.10E-01	1.12E+01	9.00E-01	7.82E+00	7.86E+00	3.70E+00	9.72E+00	6.61E+00
V9	9.38E+00	4.27E-01	4.85E+00	4.93E+00	9.19E-01	3.02E+00	1.00E+01	5.63E+00	4.90E+00	4.06E+00	3.28E+00	7.00E-01
V10	2.35E+00	2.79E+00	2.77E-01	6.84E+00	3.71E+00	7.99E+00	4.56E+00	5.55E+00	7.97E+00	3.42E+00	1.11E+01	7.32E+00
V11	4.51E+00	1.12E+00	1.89E+01	2.11E+00	2.54E+00	9.09E-01	4.23E+00	1.83E+00	1.29E+00	1.91E+01	6.83E-01	1.38E+00
V12	1.54E+00	3.66E+00	6.81E+00	2.85E+00	3.00E-01	1.43E+01	1.46E+00	2.01E+00	1.55E+01	5.00E+00	8.27E+00	5.55E+00
V13	1.84E+01	1.73E+00	1.57E+01	5.12E+00	8.35E+00	2.81E+01	1.72E+01	3.04E+00	3.14E+01	1.28E+01	1.54E+01	3.00E-01
V14	0.00E+00	1.76E+00	3.35E-01	4.03E+00	1.05E+01	5.14E+00	3.00E-01	4.42E+00	5.62E+00	1.05E+01	0.00E+00	0.00E+00
V15	9.57E-01	1.10E+00	6.67E-01	2.05E+00	1.63E-01	1.05E+01	1.11E+00	4.53E+00	1.20E+01	3.00E-01	8.52E+00	5.33E-01
V16	1.03E+00	0.00E+00	6.82E+00	1.61E+00	0.00E+00	1.40E+00	1.04E+00	1.02E+00	1.18E+00	8.22E+00	2.77E+00	0.00E+00
V17	6.96E-01	0.00E+00	1.48E+00	4.05E+00	1.71E+00	2.31E+00	5.47E-01	4.16E+00	2.16E+00	8.67E-01	4.01E-01	0.00E+00
V18	1.67E+00	2.70E+00	6.53E+00	1.41E+01	1.12E+00	1.10E+00	1.10E+00	1.35E+01	2.54E+00	5.44E+00	3.85E+00	1.42E+01
V19	6.80E-01	1.90E+00	5.16E-01	0.00E+00	4.13E+00	0.00E+00	1.69E+00	2.67E-01	2.00E-01	4.48E+00	9.68E-01	1.02E+00
V20	8.36E+00	1.03E+01	8.79E-01	2.13E-01	7.33E-01	4.32E+00	9.64E+00	4.16E-01	3.75E+00	3.00E-01	3.31E+00	9.92E+00
V21	4.68E+00	1.95E+00	1.60E+00	9.43E-01	4.73E-01	9.35E+00	4.02E+00	2.39E+00	6.47E+00	2.15E+00	1.05E+01	3.64E+00
