Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
V1	8.85E-01	0.00E+00	0.00E+00	5.00E-01	1.28E+00	1.22E+01	1.75E+01	0.00E+00	1.33E-01	2.00E-01	1.53E-01	3.00E-01	3.75E+00	1.55E+01	0.00E+00	1.48E+00	2.09E+00	7.00E-01
V2	1.43E+00	3.52E+00	8.17E-01	4.21E+00	1.61E+00	5.25E+00	4.39E+00	1.08E+01	1.48E+01	1.64E+01	1.11E+00	4.33E+00	6.56E+00	3.77E+00	4.53E+00	4.27E-01	3.07E+00	1.52E+00
V3	4.18E+00	8.23E-01	1.23E+00	9.46E-01	1.93E+00	6.69E+00	1.03E+01	5.14E+00	5.27E+00	5.31E+00	1.20E+00	3.00E-01	4.72E+00	7.67E+00	5.79E+00	1.82E+00	1.54E+00	1.18E+00
V4	2.43E+00	7.94E+00	5.07E+00	8.75E+00	1.52E+01	1.20E+00	9.22E-01	2.66E+00	3.14E+00	3.00E-01	6.12E+00	3.78E+00	4.27E-01	0.00E+00	1.33E+00	4.17E+00	1.89E+01	3.55E+00
V5	1.02E+00	2.44E+01	1.84E+01	2.36E+01	2.31E+00	0.00E+00	1.41E+00	1.46E+00	1.22E+00	1.92E+00	9.31E-01	1.76E+01	9.43E-01	2.39E+00	1.39E+00	2.09E+00	3.55E+00	1.82E+01
V6	8.03E-01	0.00E+00	5.12E+00	3.33E-01	6.54E-01	1.36E+01	1.60E+01	0.00E+00	0.00E+00	5.00E-01	6.29E-01	6.96E-01	7.20E+00	1.20E+01	1.10E+00	1.67E+00	1.25E+00	6.44E+00
V7	1.44E+00	2.50E+00	4.36E+00	1.57E+00	3.35E-01	0.00E+00	0.00E+00	2.21E-01	3.00E-01	1.36E+00	2.77E-01	1.66E+00	0.00E+00	3.42E-01	1.56E+00	2.65E+00	1.02E+00	3.99E+00
V8	9.12E-01	9.94E-01	7.77E-01	1.25E+00	2.54E+00	7.07E+00	7.95E+00	1.06E+01	1.13E+01	1.20E+01	2.39E+00	2.30E+00	5.25E+00	4.64E+00	1.23E+00	0.00E+00	3.26E+00	1.72E+00
V9	4.00E-01	7.52E+00	7.60E-01	7.03E+00	3.77E+00	6.85E+00	4.69E+00	2.02E+00	3.83E+00	3.27E+00	2.23E+00	7.69E+00	4.39E+00	5.70E+00	0.00E+00	0.00E+00	8.13E+00	6.00E-01
V10	1.41E+00	1.80E+00	2.60E+00	1.87E+00	2.33E-01	4.83E+00	5.60E+00	8.02E+00	7.70E+00	7.90E+00	0.00E+00	2.47E+00	4.09E+00	4.26E+00	1.19E+00	4.42E-01	4.19E+00	3.06E+00
V11	1.60E+00	4.84E+00	2.80E+00	4.39E+00	1.53E+01	1.82E+00	1.32E+00	2.13E-01	6.74E-01	1.71E+00	7.78E+00	4.62E+00	1.00E-01	1.43E+00	6.96E-01	1.89E+00	1.79E+01	2.20E+00
V12	2.31E+00	1.75E+00	3.33E-01	1.43E+00	7.62E+00	1.87E+00	1.25E+00	1.27E+01	1.13E+01	1.34E+01	2.79E+00	1.75E+00	1.59E+00	1.57E+00	8.05E+00	5.12E-01	1.19E+01	5.00E-01
V13	3.59E+00	1.58E+01	5.97E+00	1.52E+01	9.83E+00	3.09E+00	3.81E+00	2.21E+01	2.31E+01	2.36E+01	6.99E+00	1.45E+01	1.43E+00	0.00E+00	2.44E+00	2.39E+00	2.62E+01	1.20E+01
V14	2.45E+00	0.00E+00	1.32E+01	0.00E+00	2.24E-01	5.30E+00	5.41E+00	4.77E+00	4.56E+00	4.76E+00	4.23E-01	3.06E-01	3.67E+00	1.66E+00	1.22E+00	1.03E+01	1.24E+00	1.26E+01
V15	1.41E+00	1.15E+00	1.53E-01	7.78E-01	5.81E-01	1.09E+00	9.00E-01	8.63E+00	1.31E+01	1.32E+01	0.00E+00	7.27E-01	1.75E+00	4.73E-01	4.67E-01	2.21E-01	4.00E-01	1.78E+00
V16	0.00E+00	6.15E-01	0.00E+00	6.96E-01	7.99E+00	1.61E+00	3.06E-01	1.18E+00	5.12E-01	1.00E+00	3.53E+00	2.00E-01	1.29E+00	5.96E-01	6.00E-01	0.00E+00	8.19E+00	2.67E-01
V17	0.00E+00	5.17E-01	5.67E+00	4.67E-01	1.33E+00	3.14E+00	3.32E+00	1.22E+00	3.21E+00	1.61E+00	6.40E-01	1.00E+00	2.76E+00	4.42E+00	0.00E+00	6.32E-01	4.64E+00	6.29E+00
V18	2.52E+00	2.21E+00	9.80E-01	1.26E+00	5.10E+00	9.94E+00	1.48E+01	1.24E+00	6.87E-01	3.40E+00	2.53E+00	1.52E+00	3.72E+00	1.13E+01	2.60E+00	8.17E-01	7.89E+00	1.14E+00
V19	1.40E+00	9.22E-01	3.88E+00	6.99E-01	3.94E-01	0.00E+00	1.33E-01	0.00E+00	0.00E+00	9.43E-01	5.54E-01	6.70E-01	6.05E-01	5.47E-01	3.00E-01	4.50E+00	5.33E-01	8.72E-01
V20	3.57E+00	8.95E+00	7.33E-01	8.23E+00	7.72E-01	4.27E-01	1.33E-01	3.39E+00	3.66E+00	2.42E+00	0.00E+00	7.51E+00	1.79E+00	7.06E-01	2.09E+00	3.42E-01	1.33E+00	4.47E+00
V21	2.09E+00	4.40E+00	4.76E-01	3.84E+00	2.04E+00	4.00E-01	1.27E+00	8.44E+00	7.63E+00	6.95E+00	1.34E+00	5.23E+00	1.48E+00	2.24E+00	4.87E+00	1.00E-01	2.08E+00	1.94E+00
