MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
1:Del:C:0	1.00E-08	4.77E-03	1.54E-07	3.08E-04	1.22E-02	4.49E-02	2.35E-02	7.64E-03	2.87E-02	3.59E-07	3.11E-07	5.57E-02
1:Del:C:1	4.20E-08	2.70E-03	1.85E-08	3.82E-36	1.08E-02	1.89E-02	1.75E-02	3.96E-03	1.60E-02	1.41E-03	1.67E-02	4.57E-02
1:Del:C:2	1.08E-08	2.56E-04	1.66E-04	1.19E-03	7.10E-04	5.50E-04	1.10E-03	1.45E-03	7.59E-04	6.64E-04	2.23E-04	1.64E-03
1:Del:C:3	7.14E-09	3.51E-03	3.49E-07	1.32E-03	8.04E-03	9.11E-03	3.53E-03	2.77E-03	8.80E-03	2.96E-03	4.73E-03	9.28E-03
1:Del:C:4	2.16E-08	6.00E-04	2.01E-04	1.56E-03	3.93E-03	5.70E-03	6.14E-04	5.33E-03	8.48E-04	2.20E-03	1.53E-03	5.25E-03
1:Del:C:5	2.19E-04	6.66E-04	1.05E-03	3.91E-03	0.00E+00	2.93E-07	1.20E-03	7.06E-04	4.63E-03	2.82E-03	6.04E-03	0.00E+00
1:Del:T:0	3.90E-08	3.93E-04	1.88E-03	6.26E-03	2.57E-02	1.74E-02	1.87E-02	6.51E-03	2.23E-02	1.97E-03	1.45E-02	2.07E-02
1:Del:T:1	1.17E-07	1.29E-03	1.22E-04	5.88E-04	9.95E-03	3.24E-02	5.58E-04	1.72E-03	5.04E-03	1.62E-04	2.16E-03	5.57E-03
1:Del:T:2	2.91E-03	4.67E-03	1.52E-02	9.08E-04	1.20E-02	2.83E-02	5.74E-03	1.49E-03	2.67E-02	1.00E-03	1.90E-02	1.07E-02
1:Del:T:3	4.37E-04	4.63E-04	4.57E-04	4.23E-03	1.81E-02	2.01E-02	2.28E-03	6.59E-40	1.90E-03	5.06E-03	1.02E-02	2.23E-02
1:Del:T:4	7.39E-08	2.65E-03	1.61E-07	6.99E-03	1.41E-02	3.50E-02	0.00E+00	1.40E-46	6.28E-03	2.51E-03	1.67E-02	1.23E-02
