MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
1:Del:C:0	7.77E-07	4.66E-03	0.00E+00	2.35E-08	2.45E-02	4.14E-02	5.87E-03	1.73E-03	1.78E-02	8.04E-03	3.24E-02	4.13E-02	3.65E-03	3.03E-03
1:Del:C:1	1.40E-46	1.76E-03	2.40E-08	4.45E-08	1.06E-02	2.00E-02	6.05E-03	1.43E-03	3.87E-02	1.42E-02	3.98E-02	1.53E-02	8.41E-04	2.40E-03
1:Del:C:2	1.34E-07	4.15E-05	1.44E-08	7.40E-05	1.58E-04	8.09E-04	2.83E-03	5.07E-04	4.28E-03	3.12E-04	2.25E-03	5.27E-03	1.25E-03	5.33E-04
1:Del:C:3	7.67E-08	2.00E-03	0.00E+00	5.66E-04	9.57E-04	1.15E-02	2.41E-03	1.05E-03	4.48E-02	1.06E-03	7.63E-03	1.11E-02	1.05E-03	1.08E-03
1:Del:C:4	3.84E-04	5.83E-04	1.32E-08	1.80E-03	4.41E-03	3.88E-03	1.52E-03	2.01E-03	5.36E-04	6.12E-03	1.86E-03	8.33E-03	2.24E-03	1.86E-03
1:Del:C:5	0.00E+00	9.06E-04	4.43E-04	3.01E-03	1.80E-04	1.58E-07	4.91E-04	3.35E-04	4.80E-03	1.06E-03	1.89E-04	2.86E-07	9.18E-03	2.79E-02
1:Del:T:0	0.00E+00	1.01E-03	2.28E-05	1.91E-03	1.95E-02	2.51E-02	6.52E-03	1.16E-03	1.03E-02	1.16E-02	3.36E-02	2.12E-02	7.01E-03	5.24E-03
1:Del:T:1	1.66E-04	1.26E-04	1.15E-08	4.33E-04	1.19E-02	7.12E-03	1.08E-03	3.64E-04	2.76E-02	1.97E-03	5.85E-03	9.15E-03	6.74E-03	6.16E-03
1:Del:T:2	7.96E-03	3.33E-03	3.28E-02	1.04E-03	1.45E-02	1.53E-02	9.21E-03	3.08E-02	9.05E-02	5.36E-03	8.48E-03	1.07E-02	2.72E-03	1.31E-02
1:Del:T:3	5.37E-03	2.03E-03	9.31E-05	3.14E-03	1.32E-02	2.49E-02	2.80E-46	2.98E-03	2.00E-02	9.28E-03	9.40E-03	1.74E-02	2.18E-02	2.64E-04
1:Del:T:4	8.91E-09	2.74E-03	2.56E-08	5.32E-03	1.70E-02	2.68E-02	0.00E+00	2.25E-03	2.84E-02	5.96E-03	7.03E-03	6.41E-03	3.64E-03	1.93E-03
1:Del:T:5	4.18E-06	2.79E-08	3.03E-08	1.55E-02	1.34E-03	5.33E-04	2.74E-04	4.22E-02	6.94E-02	3.76E-03	1.37E-04	9.62E-03	7.43E-02	1.24E-06
1:Ins:C:0	5.93E-05	6.39E-08	5.94E-05	3.73E-08	5.07E-05	3.20E-08	2.31E-04	2.29E-07	1.52E-03	1.40E-03	1.43E-03	7.64E-04	2.03E-05	2.99E-07
1:Ins:C:1	0.00E+00	3.33E-05	4.51E-08	1.00E-06	2.72E-05	2.59E-10	4.20E-04	1.10E-04	1.24E-04	1.17E-03	2.83E-04	2.82E-03	5.71E-04	3.65E-03
1:Ins:C:2	1.38E-08	1.25E-08	2.46E-08	5.17E-05	1.04E-04	1.94E-04	8.70E-04	2.48E-08	5.69E-08	1.57E-03	6.19E-04	2.71E-03	1.94E-04	2.92E-04
1:Ins:C:3	3.63E-05	4.04E-08	3.66E-08	6.10E-05	2.32E-08	7.69E-08	7.58E-08	3.24E-04	2.26E-07	7.56E-08	3.22E-07	1.08E-03	8.14E-08	3.15E-04
1:Ins:C:4	1.63E-03	2.99E-04	1.52E-04	9.33E-04	0.00E+00	0.00E+00	2.07E-08	1.50E-03	1.94E-04	1.04E-04	0.00E+00	1.58E-03	3.53E-03	1.71E-03
1:Ins:C:5	1.62E-04	3.03E-03	9.52E-05	2.25E-03	0.00E+00	0.00E+00	1.20E-04	1.22E-02	6.20E-04	1.46E-03	0.00E+00	1.21E-02	1.43E-02	4.84E-03
1:Ins:T:0	6.72E-04	6.05E-04	4.69E-04	3.13E-04	4.28E-03	1.17E-02	1.08E-04	1.21E-03	1.20E-02	3.93E-03	9.17E-03	3.49E-02	1.92E-03	1.73E-03
1:Ins:T:1	1.15E-08	1.09E-04	3.84E-08	4.13E-04	3.25E-03	4.23E-03	5.44E-03	7.39E-08	2.72E-03	8.93E-04	4.98E-03	2.78E-03	3.63E-03	1.04E-04
1:Ins:T:2	3.17E-04	5.73E-04	9.61E-05	1.13E-04	2.97E-04	5.85E-04	2.43E-04	3.09E-04	2.88E-03	2.29E-03	1.11E-08	5.47E-03	1.56E-03	5.76E-04
1:Ins:T:3	6.65E-08	1.34E-03	1.47E-08	9.69E-09	5.91E-08	5.84E-08	7.69E-04	9.04E-04	1.75E-04	9.54E-04	3.64E-04	4.72E-07	3.02E-03	1.00E-02
