MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
1:Del:C:0	0.00E+00	2.89E-03	2.27E-02	0.00E+00	3.78E-02	2.08E-03	4.06E-02	0.00E+00	4.33E-02	4.91E-03	8.47E-03	5.30E-02	1.30E-02	5.03E-03	4.36E-02	9.83E-03	3.33E-03
1:Del:C:1	3.22E-08	0.00E+00	2.02E-02	0.00E+00	2.12E-02	1.64E-03	5.46E-04	8.47E-07	2.05E-02	1.05E-02	0.00E+00	1.67E-02	2.74E-02	1.26E-02	5.46E-02	2.99E-03	1.56E-03
1:Del:C:2	5.39E-08	1.72E-04	1.14E-03	3.02E-04	5.66E-04	1.91E-03	7.26E-04	2.42E-04	6.94E-04	1.96E-03	6.41E-05	7.57E-04	0.00E+00	1.25E-03	4.79E-03	3.20E-03	5.15E-04
1:Del:C:3	0.00E+00	2.49E-08	5.50E-03	5.53E-04	6.71E-03	1.16E-03	2.36E-02	6.40E-04	5.91E-03	3.88E-03	5.38E-07	5.80E-03	1.55E-02	1.25E-03	7.25E-03	4.56E-03	3.21E-03
1:Del:C:4	2.36E-08	7.21E-05	3.11E-03	7.25E-04	6.78E-03	2.33E-04	7.76E-03	1.33E-07	4.13E-03	1.31E-03	1.73E-03	4.24E-03	0.00E+00	1.75E-04	1.35E-02	2.77E-03	2.09E-02
1:Del:C:5	4.85E-04	0.00E+00	2.40E-04	5.09E-03	0.00E+00	1.80E-04	1.82E-08	5.90E-03	0.00E+00	2.95E-03	9.09E-03	2.04E-05	0.00E+00	9.52E-04	6.09E-04	6.47E-03	2.81E-02
1:Del:T:0	5.22E-04	1.32E-04	2.72E-03	1.68E-03	3.55E-02	3.94E-03	2.55E-03	1.14E-02	2.09E-02	1.51E-03	5.61E-03	2.22E-02	1.59E-02	6.12E-03	4.41E-02	1.38E-02	7.01E-46
1:Del:T:1	2.28E-08	1.05E-07	2.92E-03	4.71E-04	1.64E-02	1.64E-03	2.73E-03	3.24E-04	1.09E-02	4.76E-04	8.31E-04	1.34E-02	4.03E-02	8.81E-04	1.50E-02	4.55E-03	1.25E-02
1:Del:T:2	4.19E-02	4.26E-04	3.19E-03	1.11E-03	1.59E-02	1.23E-03	1.93E-02	6.34E-03	2.08E-02	4.45E-03	3.07E-03	1.98E-02	1.12E-01	1.77E-40	7.31E-03	3.98E-03	2.20E-02
1:Del:T:3	2.92E-04	1.56E-03	9.41E-03	3.05E-03	2.97E-02	0.00E+00	4.08E-05	3.07E-07	5.19E-02	3.09E-03	5.56E-03	2.41E-02	3.43E-04	1.14E-03	3.25E-03	2.65E-02	1.63E-02
