Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
V1	103	96	0	0	0	0	10	0	38	1	14	0	0	2	0	0	0	0
V2	16	6	16	75	34	81	0	0	0	8	0	28	0	5	25	0	21	0
V3	2	8	25	0	0	4	28	0	0	0	0	0	0	0	0	0	0	16
V4	30	48	53	0	0	9	70	0	36	23	0	0	10	2	0	29	0	2
V5	19	10	4	10	0	2	21	0	0	19	0	0	0	5	28	33	0	2
V6	41	12	45	42	71	11	0	2	0	0	22	0	13	0	0	0	0	0
V7	89	3	20	41	14	1	43	0	8	0	8	4	4	5	12	15	0	26
V8	0	394	60	85	70	0	0	51	188	0	0	0	0	0	0	0	0	0
V9	4	4	0	0	0	1	0	12	0	4	0	1	2	6	0	0	0	0
V10	22	67	37	1	0	0	0	34	1	0	0	22	0	3	0	0	0	3
V11	12	1	9	21	41	27	0	42	0	0	0	28	0	0	0	0	0	0
V12	20	15	0	0	0	0	0	17	19	0	3	2	0	7	0	0	0	0
V13	3	44	85	32	3	0	3	0	44	28	0	0	0	1	34	0	16	0
V14	44	0	26	5	0	0	0	0	5	2	19	0	6	2	0	17	0	0
V15	59	4	49	189	305	71	4	0	0	0	14	60	18	17	0	0	0	0
V16	28	28	7	70	39	0	23	0	31	2	12	0	3	0	0	15	2	0
V17	37	2	0	18	9	29	49	38	3	4	0	4	0	1	0	0	0	2
V18	77	5	0	9	0	6	30	0	0	35	0	6	0	0	0	24	0	18
V19	46	19	10	0	0	47	2	37	17	8	0	24	0	41	0	0	0	0
V20	64	26	63	40	49	0	0	0	8	0	13	13	0	0	0	3	0	6
V21	0	0	23	12	5	0	29	0	3	0	0	0	9	6	26	0	0	0
V22	82	14	1	26	55	0	19	0	0	2	11	1	9	2	0	0	0	0
V23	3	0	0	6	4	154	0	88	16	12	0	16	0	3	40	0	41	0
V24	2	7	59	8	30	21	24	0	13	0	2	3	0	5	8	0	0	1
V25	10	115	5	2	0	20	66	0	43	52	0	0	25	2	0	0	0	0
V26	51	0	23	0	1	0	7	6	2	6	12	1	0	7	57	0	0	0
V27	2	0	39	2	2	3	41	0	10	38	2	0	0	0	63	5	17	0
V28	19	66	82	10	19	0	6	9	47	5	0	1	7	2	0	0	0	3
V29	126	3	7	26	16	70	24	76	0	35	0	0	14	26	0	39	0	3
V30	0	58	3	15	0	1	17	0	15	10	0	0	0	13	4	0	0	0
V31	37	20	23	53	34	55	1	108	0	14	6	10	30	4	0	0	6	0
