Samples	ID1	ID2	ID8	ID9	ID83C	ID83D
V1	131	0	0	0	0	133
V2	20	56	0	124	115	0
V3	0	28	47	0	0	8
V4	38	62	133	0	0	79
V5	27	32	69	0	12	13
V6	76	59	0	0	124	0
V7	113	36	83	0	61	0
V8	0	76	0	0	174	598
V9	5	0	5	19	0	5
V10	26	44	0	44	0	76
V11	14	12	0	93	62	0
V12	26	0	0	25	0	32
V13	0	133	45	0	38	77
V14	88	38	0	0	0	0
V15	83	63	0	156	488	0
V16	46	0	42	0	116	56
V17	39	0	63	67	27	0
V18	99	0	111	0	0	0
V19	61	0	0	152	0	38
V20	86	73	0	0	90	36
V21	0	49	45	0	19	0
V22	99	0	31	0	76	16
V23	0	62	0	321	0	0
V24	0	72	34	26	36	15
V25	0	0	173	0	0	167
V26	68	76	29	0	0	0
V27	0	108	116	0	0	0
V28	25	101	0	0	34	116
V29	145	0	93	183	44	0
V30	0	0	38	0	18	80
V31	46	30	0	214	89	22
V32	136	0	0	0	0	231
V33	244	42	175	152	48	0
V34	18	20	0	0	48	0
V35	0	34	0	39	0	45
V36	128	201	0	46	50	47
V37	135	0	0	0	0	0
V38	0	0	166	240	26	34
V39	274	309	87	0	0	0
V40	73	0	0	92	38	0
V41	32	43	62	196	114	25
V42	59	0	88	411	0	43
V43	27	0	0	51	77	0
V44	117	49	0	128	91	172
V45	0	145	152	0	34	0
V46	48	0	0	22	0	0
V47	201	59	0	0	0	76
V48	0	0	0	0	69	179
V49	47	18	0	53	91	0
V50	71	0	0	45	158	0
V51	0	0	0	73	219	238
V52	0	0	40	125	31	22
V53	0	281	0	0	138	96
V54	26	61	0	0	22	0
V55	56	0	32	80	77	0
V56	0	0	0	144	283	0
V57	248	137	0	0	0	94
V58	0	0	137	0	25	0
V59	0	173	84	52	190	0
V60	68	0	0	65	0	70
V61	436	58	0	0	63	0
V62	14	73	32	0	30	75
V63	281	0	196	0	0	0
V64	282	0	0	0	56	0
V65	0	0	393	0	0	0
V66	192	0	169	0	129	0
V67	0	161	250	509	92	60
V68	0	111	0	51	31	87
V69	0	58	106	289	0	0
V70	116	0	0	0	49	78
V71	74	58	0	0	79	221
V72	61	0	0	306	577	0
V73	0	0	0	0	156	0
V74	0	0	262	129	0	0
V75	61	52	33	0	34	0
V76	0	184	161	0	27	46
V77	19	0	0	59	84	92
V78	0	0	0	439	72	0
V79	0	176	0	0	142	93
V80	334	163	0	0	0	0
V81	119	0	0	0	15	20
V82	0	171	0	0	0	71
V83	296	0	0	0	0	123
V84	0	47	0	60	56	50
V85	0	110	105	0	0	0
V86	0	16	63	0	51	30
V87	67	22	58	0	0	163
V88	60	0	71	281	0	0
V89	64	66	0	0	131	312
V90	123	0	0	0	0	316
V91	0	0	270	0	0	0
V92	138	135	0	223	0	69
V93	0	0	0	151	0	41
V94	288	0	187	0	161	97
V95	0	0	0	0	216	166
V96	0	0	0	15	24	17
V97	0	159	0	0	211	0
V98	0	0	0	0	92	96
V99	0	4	55	0	0	0
V100	14	45	0	96	17	0
