Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
V1	5	41	49	4	22	1
V2	61	1	86	107	1	7
V3	26	0	107	22	26	0
V4	33	8	4	27	0	0
V5	50	171	4	24	1	38
V6	240	210	113	20	21	1
V7	232	104	22	1	47	64
V8	74	92	16	4	0	56
V9	35	18	18	1	20	7
V10	47	34	0	9	16	26
V11	5	40	11	74	34	24
V12	139	22	24	82	92	159
V13	92	15	59	2	43	14
V14	15	331	34	51	14	113
V15	1	1	11	75	0	108
V16	30	115	36	64	1	69
V17	48	3	37	32	55	12
V18	142	0	24	73	0	0
V19	56	19	73	57	2	45
V20	5	46	2	12	41	58
V21	7	22	15	37	116	7
V22	9	0	47	7	81	53
V23	56	5	6	7	8	13
V24	192	153	40	45	68	75
V25	165	361	15	16	207	53
V26	2	4	39	12	113	7
V27	4	33	13	21	24	61
V28	18	167	5	2	16	28
V29	17	60	134	5	54	20
V30	109	171	43	7	87	81
V31	16	46	225	34	62	2
V32	220	91	3	73	77	4
V33	52	25	32	41	12	235
V34	75	101	25	40	46	123
V35	171	34	5	101	21	0
V36	3	125	274	51	3	0
V37	1	6	0	1	15	13
V38	49	84	48	20	3	7
V39	26	75	82	10	7	21
V40	15	6	217	34	29	92
V41	3	4	15	41	0	1
V42	0	3	1	2	14	25
V43	7	0	9	10	37	20
V44	20	52	54	8	90	7
V45	167	265	1	313	9	17
V46	108	6	25	8	17	98
V47	20	5	46	3	17	58
V48	13	1	82	12	61	13
V49	20	1	22	103	9	1
V50	253	22	0	26	13	16
V51	11	17	39	9	7	1
V52	27	119	190	9	3	15
V53	0	34	244	0	6	16
V54	7	2	9	1	72	119
V55	5	49	5	57	12	3
V56	105	18	10	58	204	0
V57	24	25	233	30	86	118
V58	1	12	0	2	1	36
V59	32	44	248	94	10	46
V60	61	35	32	10	25	9
V61	4	1	305	247	2	70
V62	307	21	6	0	8	58
V63	7	117	12	42	128	13
V64	2	6	324	71	11	97
V65	29	153	0	295	14	69
V66	0	4	53	59	6	85
V67	58	52	11	2	3	60
V68	240	18	13	7	0	16
V69	22	147	17	105	5	14
V70	9	17	0	6	242	7
V71	106	0	108	43	78	36
V72	7	44	6	132	51	4
V73	67	12	83	88	2	158
V74	0	69	6	54	8	5
V75	206	123	0	105	12	43
V76	95	2	1	50	26	25
V77	0	9	6	20	78	5
V78	6	6	376	5	86	15
V79	180	44	12	3	3	1
V80	137	74	57	35	63	2
V81	234	48	82	65	38	10
V82	169	6	96	123	0	26
V83	17	281	45	42	18	1
V84	39	11	442	5	5	4
V85	62	29	32	15	128	38
V86	125	6	13	4	21	1
V87	5	24	141	36	12	7
V88	121	32	57	1	8	0
V89	107	103	32	328	6	0
V90	25	18	24	2	68	15
V91	46	34	27	6	15	38
V92	91	63	19	27	41	87
V93	36	42	73	192	3	8
V94	119	9	39	160	92	3
V95	61	10	26	192	13	10
V96	23	182	20	160	5	24
V97	53	14	18	0	15	0
V98	184	5	8	63	81	33
V99	0	511	1	85	44	59
V100	29	0	9	6	18	0
