MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	0.00250485	0.00425577	0.33340773	0.00200727	0.02484402	0.00245741
1:Del:C:1	0.00092380	0.00152846	0.10198221	0.00120551	0.02972201	0.00024923
1:Del:C:2	0.00028868	0.00000000	0.00197796	0.00010078	0.00198291	0.00018135
1:Del:C:3	0.00035866	0.00180715	0.01144875	0.00134241	0.00324690	0.00235508
1:Del:C:4	0.00058425	0.00048743	0.01066472	0.00000000	0.00116281	0.00766700
1:Del:C:5	0.00009609	0.00105257	0.00056364	0.00144848	0.00010556	0.01365191
1:Del:T:0	0.00016499	0.00230167	0.10251562	0.00000000	0.03536423	0.01032768
1:Del:T:1	0.00035456	0.00020855	0.04302300	0.00066409	0.00945112	0.00018615
1:Del:T:2	0.00049238	0.00019188	0.09297573	0.00133797	0.00713645	0.00523500
1:Del:T:3	0.00142803	0.00143631	0.11325669	0.00686810	0.00140832	0.02710571
1:Del:T:4	0.00023438	0.00000000	0.09943568	0.00175564	0.00000000	0.03707125
1:Del:T:5	0.00000056	0.00000044	0.00000039	0.00000019	0.00000055	0.82337585
1:Ins:C:0	0.00000017	0.00012340	0.00000000	0.00000009	0.00228511	0.00000076
1:Ins:C:1	0.00026188	0.00000000	0.00025916	0.00000000	0.00078236	0.00073795
1:Ins:C:2	0.00000000	0.00501200	0.00075440	0.00018494	0.00053231	0.00000000
1:Ins:C:3	0.01305082	0.00000000	0.00004187	0.00074824	0.00018603	0.00066160
1:Ins:C:4	0.00022039	0.00000000	0.00000000	0.00116345	0.00152858	0.00297500
1:Ins:C:5	0.35017200	0.00063851	0.00034765	0.02039582	0.00193353	0.00102045
1:Ins:T:0	0.00000000	0.00078913	0.01322870	0.00180571	0.00393073	0.00247543
1:Ins:T:1	0.00015564	0.00037488	0.01024659	0.00088581	0.00465750	0.00000000
1:Ins:T:2	0.00134325	0.00000000	0.00105870	0.00019261	0.00158619	0.00016370
1:Ins:T:3	0.00010597	0.35394859	0.00000000	0.00090274	0.00004625	0.00050005
1:Ins:T:4	0.00006647	0.00050024	0.00266769	0.01218193	0.00000000	0.00565961
1:Ins:T:5	0.00000002	0.00144003	0.00210952	0.89520158	0.00290161	0.00031947
2:Del:R:0	0.00023747	0.00056163	0.01486509	0.00051979	0.00624796	0.00020065
2:Del:R:1	0.00016191	0.00000000	0.00259879	0.00114559	0.00918581	0.00536666
2:Del:R:2	0.00051752	0.00000000	0.00014651	0.00023218	0.00029803	0.00117970
2:Del:R:3	0.00000011	0.00000000	0.00001725	0.00000007	0.00000000	0.00091587
2:Del:R:4	0.17534160	0.01532610	0.00087006	0.00000002	0.00801731	0.00046647
2:Del:R:5	0.00000002	0.00001688	0.00000000	0.00000018	0.00094656	0.00000001
3:Del:R:0	0.00000000	0.00013760	0.00505972	0.00004580	0.00902597	0.00104990
3:Del:R:1	0.00079611	0.00011473	0.00415622	0.00788668	0.00000000	0.00041483
3:Del:R:2	0.00007021	0.00010511	0.00052098	0.00076775	0.00005773	0.00252294
3:Del:R:3	0.08681349	0.00100607	0.00134152	0.00124167	0.00060872	0.00177579
3:Del:R:4	0.00000033	0.00000016	0.00000026	0.00000031	0.00000058	0.00000051
3:Del:R:5	0.00000001	0.00979266	0.00000000	0.00000019	0.00040249	0.00008181
4:Del:R:0	0.02344897	0.00108952	0.00176330	0.00114757	0.00612471	0.00042431
