Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
V1	8	0	10	185	60	0	0	9	68	17	1	0	0	11	6	0
V2	19	9	58	0	40	29	96	0	36	7	0	4	0	10	11	0
V3	27	25	18	10	8	5	0	8	0	0	0	0	8	12	0	12
V4	74	0	13	68	0	0	0	0	0	10	0	0	1	0	0	0
V5	75	183	34	0	19	5	46	73	17	45	63	19	0	5	0	0
V6	37	0	169	1	87	35	0	0	24	0	3	7	14	30	0	0
V7	10	0	15	32	7	4	7	46	0	16	37	4	61	4	0	0
V8	86	72	345	42	0	23	0	76	14	0	0	0	79	7	0	0
V9	61	79	13	132	24	0	17	0	6	28	26	17	6	67	26	0
V10	0	29	77	95	6	12	23	0	0	21	0	14	20	10	19	0
V11	4	24	0	98	16	0	0	0	26	49	2	22	0	5	0	0
V12	26	7	0	10	1	3	17	0	0	0	0	0	0	0	8	1
V13	32	0	0	7	14	13	2	0	0	6	0	0	0	12	2	9
V14	196	50	7	22	27	0	1	19	36	27	0	12	0	32	0	0
V15	13	24	11	0	17	0	0	21	0	0	0	0	0	0	0	0
V16	4	29	0	78	9	29	15	0	20	4	0	0	1	29	11	0
V17	74	141	7	11	42	70	2	74	39	2	89	0	19	2	0	0
V18	71	108	34	38	3	47	1	46	7	0	11	26	0	0	0	19
V19	199	20	96	34	68	4	10	0	17	7	19	0	5	0	0	0
V20	197	44	134	6	0	0	0	0	0	0	0	0	30	0	0	0
V21	0	1	21	34	73	0	6	0	13	39	0	0	0	17	9	0
V22	121	163	75	93	0	14	9	0	0	0	21	8	0	0	20	0
V23	132	43	46	40	0	100	205	24	38	0	0	0	0	0	0	35
V24	11	40	12	12	80	12	0	16	0	0	6	5	33	0	0	0
V25	351	121	0	24	96	43	51	0	0	38	23	34	7	49	20	2
V26	0	0	4	3	0	2	4	0	0	0	9	0	1	1	3	0
V27	0	2	0	1	157	0	95	0	0	0	0	44	19	5	7	0
V28	13	130	102	25	38	55	17	50	110	0	74	0	39	0	0	11
V29	46	150	59	24	9	129	21	37	18	79	21	13	0	0	0	0
V30	8	0	4	7	0	0	0	0	2	1	0	0	0	0	0	0
V31	60	10	18	5	35	26	0	23	3	0	29	0	0	0	0	0
V32	190	170	11	119	0	0	0	26	0	0	59	0	0	0	0	33
V33	6	127	110	13	0	3	0	5	5	0	7	3	0	1	0	6
V34	3	5	5	47	0	0	0	13	0	0	1	0	0	0	0	6
V35	65	9	10	0	13	0	46	26	0	3	16	7	0	0	0	0
V36	12	1	0	70	0	9	0	0	20	14	0	0	2	8	0	1
V37	5	0	50	44	123	0	2	14	2	0	0	0	0	12	21	0
V38	14	8	9	47	0	0	0	13	5	0	0	0	11	0	0	0
V39	59	108	4	57	1	34	29	10	0	0	4	43	5	7	20	17
V40	69	18	21	4	0	33	31	23	0	0	0	17	0	0	0	0
V41	10	25	96	0	17	5	0	0	46	0	8	0	0	22	0	0
V42	0	43	0	0	10	10	31	21	0	0	18	0	9	6	0	0
V43	93	1	0	22	0	5	33	0	0	0	3	13	1	0	22	0
V44	0	76	0	27	5	0	0	0	0	8	7	0	2	0	0	2
V45	160	15	0	49	64	0	20	0	44	0	0	40	22	24	57	0
V46	9	4	122	0	77	9	0	14	6	0	13	0	0	10	0	0
V47	1	78	0	96	107	30	0	0	92	69	0	29	28	38	0	0
V48	93	8	24	6	92	0	14	74	0	78	0	0	0	0	0	6
V49	77	11	23	11	0	0	56	72	0	0	0	3	0	0	0	0
V50	76	293	9	0	36	6	8	4	2	37	51	6	0	14	0	0
V51	69	42	1	0	30	0	6	13	3	0	0	25	8	0	6	7
V52	0	25	0	20	29	184	31	4	0	0	0	0	0	9	11	0
V53	0	0	90	27	0	0	0	0	0	27	0	0	6	4	0	0
V54	188	32	289	35	201	0	22	0	51	179	29	0	23	25	0	0
V55	1	73	12	18	6	37	0	0	24	9	0	18	10	19	0	0
V56	7	75	57	1	0	0	23	17	0	0	32	25	0	0	0	0
V57	233	128	17	116	0	20	26	44	0	25	27	0	0	0	0	0
V58	14	54	112	18	0	8	7	1	7	0	29	17	2	0	0	0
V59	186	0	0	16	138	7	0	20	0	0	26	0	9	0	37	0
V60	35	1	5	60	48	9	19	9	0	7	0	0	2	0	0	22
V61	0	274	71	95	0	0	0	0	0	0	66	0	9	0	0	40
V62	8	0	33	46	0	86	40	2	0	0	0	14	0	0	0	21
V63	14	52	1	0	48	73	2	15	8	5	0	35	0	13	8	0
V64	11	24	161	0	0	38	21	0	32	40	21	16	0	2	4	3
V65	7	72	10	0	51	0	23	0	42	4	89	35	2	11	0	0
V66	91	3	5	24	0	55	0	12	0	0	0	34	0	0	0	0
V67	64	415	110	23	0	0	0	13	0	0	41	0	0	0	0	20
V68	0	111	0	1	25	3	0	0	0	0	13	21	11	27	0	0
V69	231	0	12	7	18	0	0	30	0	44	0	0	0	0	0	0
V70	31	21	86	0	26	10	41	0	13	21	0	23	0	0	0	0
V71	0	86	0	0	34	0	0	11	0	0	0	0	2	0	6	6
V72	19	3	15	14	0	0	0	5	0	0	0	0	0	0	0	0
V73	48	8	18	26	0	0	17	0	0	9	0	0	4	4	1	4
V74	392	1	82	43	91	0	0	157	10	0	0	0	0	8	0	2
V75	7	13	0	263	10	0	5	2	0	6	0	0	6	15	1	9
V76	4	0	64	26	0	14	0	39	23	6	0	0	44	10	0	0
V77	328	9	0	8	1	247	141	6	33	0	0	75	9	10	0	0
V78	135	0	32	124	0	0	72	0	0	14	0	0	11	0	5	0
V79	11	1	0	7	55	0	0	2	11	0	0	0	30	14	0	0
