Samples	ID83A	ID83B	ID83C	ID83D	ID83E
V1	23	143	3	0	206
V2	76	90	13	138	2
V3	59	23	30	7	14
V4	86	1	0	0	79
V5	169	74	244	76	21
V6	212	149	4	41	1
V7	74	61	35	25	48
V8	510	69	85	31	49
V9	79	95	121	39	168
V10	79	39	40	51	117
V11	3	72	27	13	131
V12	27	3	10	22	11
V13	39	26	1	17	14
V14	225	97	55	14	38
V15	41	20	25	0	0
V16	4	51	37	49	88
V17	145	108	225	80	14
V18	147	24	124	70	46
V19	299	90	36	14	40
V20	345	8	50	1	7
V21	22	122	4	8	57
V22	195	0	196	31	102
V23	208	34	47	324	50
V24	40	105	50	18	14
V25	371	154	159	130	45
V26	5	0	9	8	5
V27	0	189	6	133	2
V28	163	189	200	82	30
V29	136	65	180	161	64
V30	13	1	0	0	8
V31	99	43	33	28	6
V32	237	0	231	1	139
V33	117	8	141	5	15
V34	20	1	6	0	53
V35	96	18	22	58	1
V36	11	31	1	9	85
V37	66	145	8	5	49
V38	34	12	9	2	50
V39	79	25	128	99	67
V40	109	0	20	82	5
V41	107	83	33	6	0
V42	17	21	63	47	0
V43	98	6	11	53	25
V44	0	9	85	0	33
V45	175	167	38	59	56
V46	143	97	15	9	0
V47	5	282	87	55	139
V48	183	137	9	21	45
V49	158	0	11	71	13
V50	91	64	350	20	17
V51	85	49	49	26	1
V52	4	36	33	218	22
V53	92	16	0	0	46
V54	494	369	60	27	124
V55	14	57	82	50	24
V56	78	6	108	44	1
V57	286	5	156	52	137
V58	126	15	81	27	20
V59	214	160	34	13	18
V60	54	56	2	30	75
V61	81	5	355	0	114
V62	49	2	0	143	56
V63	28	82	60	102	2
V64	177	60	44	73	19
V65	20	124	149	51	2
V66	107	7	4	79	27
V67	185	0	471	1	29
V68	0	55	136	20	1
V69	275	34	0	4	29
V70	117	55	22	69	9
V71	11	40	93	0	1
V72	37	0	3	0	16
V73	71	5	9	20	34
V74	607	123	2	5	49
V75	5	19	15	6	292
V76	110	65	1	21	33
V77	345	56	11	447	8
V78	167	4	2	77	143
V79	19	100	3	0	9
V80	65	10	47	6	32
V81	75	10	58	37	79
V82	35	55	9	201	8
V83	92	2	3	24	80
V84	145	1	150	35	14
V85	205	257	80	78	0
V86	125	14	20	9	27
V87	35	31	4	72	0
V88	38	4	11	5	7
V89	228	295	138	116	5
V90	2	75	2	0	41
V91	34	18	4	206	15
V92	35	114	147	104	63
V93	230	22	12	8	73
V94	40	7	13	5	9
V95	131	416	15	10	14
V96	93	18	41	0	5
V97	55	196	76	6	4
V98	19	15	105	3	7
V99	162	16	211	78	160
V100	0	211	4	12	8
