Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
V1	1.70E+00	2.56E+00	0.00E+00	1.07E+00	4.48E-01	1.74E+00	1.46E+00	3.98E+00	2.50E+00	7.00E-01
V2	0.00E+00	2.08E+00	6.74E-01	1.99E+00	2.66E+00	2.82E+01	2.65E+01	8.54E-01	2.29E+00	2.44E+00
V3	2.93E+00	2.02E+00	0.00E+00	2.22E+00	1.68E+00	3.86E+00	3.56E+00	3.22E+00	1.00E+00	1.88E+00
V4	1.70E+00	6.11E-01	2.21E-01	1.22E+00	4.11E+00	1.15E+00	1.62E+00	1.66E+00	5.04E-01	4.78E+00
V5	1.39E+00	1.58E+00	4.38E+00	2.98E+00	1.77E+00	1.64E+01	1.66E+01	7.12E-01	5.15E+00	4.61E+00
V6	0.00E+00	1.43E+01	4.87E+00	7.16E-01	3.03E+00	1.13E+01	1.08E+01	8.03E-01	1.41E+01	5.39E+00
V7	7.88E+00	1.16E+00	4.98E+00	9.57E-01	1.00E+00	1.67E+00	1.94E+00	8.35E+00	2.93E+00	6.23E+00
V8	1.39E+00	4.01E-01	1.72E+00	6.84E-01	1.15E+00	3.65E-01	2.13E-01	1.32E+00	1.83E+00	1.37E+00
V9	3.34E+00	1.73E+00	1.09E+00	3.01E+00	2.14E+00	1.23E+01	1.02E+01	5.08E+00	2.00E-01	3.78E+00
V10	2.09E+01	1.33E-01	3.43E+00	4.13E+00	2.95E+00	3.95E+00	3.38E+00	2.31E+01	3.67E+00	2.04E+00
V11	0.00E+00	4.67E-01	1.83E+01	4.52E+00	1.96E+00	8.35E+00	9.45E+00	4.70E+00	1.88E+01	1.34E+01
V12	1.97E+01	1.14E+00	3.03E+00	9.94E-01	1.34E+00	5.13E+00	7.32E+00	2.12E+01	3.38E+00	2.53E+00
V13	6.09E+00	9.94E-01	3.71E+00	2.44E+00	1.44E+01	0.00E+00	4.00E-01	6.11E+00	2.24E+00	1.55E+01
V14	8.42E+00	1.04E+00	1.82E+01	1.18E+00	1.87E+00	5.58E-01	5.12E-01	9.98E+00	1.28E+01	1.75E+01
V15	1.46E+01	6.00E-01	4.90E+00	6.87E+00	5.99E+00	4.82E-01	2.79E+00	1.94E+01	7.77E+00	6.86E+00
V16	1.62E+00	5.63E+00	1.17E+01	5.00E+00	2.67E-01	1.96E+00	3.51E+00	5.82E+00	1.78E+01	1.01E+00
V17	6.33E-01	2.59E+00	7.44E+00	5.54E-01	1.22E+01	0.00E+00	9.21E-01	7.90E-01	5.38E+00	1.06E+01
V18	8.31E+00	1.33E+00	1.00E+01	2.13E-01	0.00E+00	3.58E+00	5.33E+00	9.21E+00	5.85E+00	1.03E+01
V19	1.68E+00	1.33E+00	1.51E+00	4.38E+00	2.64E+00	4.33E+00	4.50E+00	4.18E+00	2.74E+00	3.21E+00
V20	1.27E+00	1.80E+01	1.70E+01	4.26E+00	3.52E+00	2.58E+00	5.00E+00	1.45E+00	1.55E+01	1.75E+01
V21	4.28E+00	3.39E+00	1.04E+01	5.76E+00	1.92E+01	1.09E+01	1.21E+01	4.79E+00	7.53E+00	1.67E+01
V22	1.05E+00	1.45E+00	0.00E+00	5.47E-01	6.46E-01	8.79E+00	8.08E+00	8.03E-01	9.00E-01	5.26E-01
V23	7.33E+00	1.61E+00	5.60E+00	5.14E+00	1.82E+00	2.67E-01	2.29E+00	1.00E+01	5.72E+00	6.81E+00
V24	4.90E-01	1.97E+00	1.20E+00	2.67E+00	1.51E+00	1.90E+01	1.90E+01	6.53E-01	2.54E+00	1.90E+00
V25	3.18E+00	8.14E-01	1.01E+00	3.00E+00	5.97E-01	4.22E+00	4.24E+00	3.98E+00	4.00E-01	1.46E+00
V26	5.33E-01	1.37E+00	9.16E+00	1.00E-01	2.52E+00	4.91E+00	5.42E+00	3.00E-01	1.56E+00	1.03E+01
V27	6.60E+00	1.67E+00	4.86E+00	3.20E+00	3.89E-01	2.25E+01	1.77E+01	7.85E+00	1.29E+01	1.28E+00
V28	0.00E+00	4.57E+00	1.28E+00	5.26E+00	7.00E-01	6.94E+00	7.08E+00	3.65E+00	4.69E+00	4.38E+00
V29	5.49E+00	2.48E+00	8.17E+00	0.00E+00	0.00E+00	4.23E-01	5.67E-01	3.82E+00	1.92E+00	9.36E+00
V30	1.25E+01	3.03E+00	4.78E+00	2.89E+00	1.68E+00	5.39E+00	5.03E+00	1.18E+01	2.97E+00	3.66E+00
V31	1.31E+01	4.95E+00	0.00E+00	4.90E-01	6.10E+00	0.00E+00	0.00E+00	1.32E+01	3.89E+00	4.37E+00
V32	6.18E+00	1.37E+01	3.82E+01	2.01E+00	5.22E-01	0.00E+00	3.00E-01	7.48E+00	2.90E+01	3.44E+01
V33	3.33E-01	1.77E+00	4.22E+00	5.97E-01	6.41E+00	3.50E+00	4.60E+00	6.11E-01	2.64E+00	9.95E+00
V34	3.60E+01	3.40E+00	0.00E+00	1.00E+00	1.83E+00	2.64E+00	4.24E+00	3.70E+01	4.80E+00	1.15E+00
V35	1.66E+01	1.33E-01	2.83E+00	2.13E-01	2.13E+00	3.32E+00	4.23E+00	1.50E+01	7.77E-01	3.14E+00
V36	0.00E+00	1.53E+01	2.22E+00	2.23E+00	1.34E+00	3.07E-01	4.23E-01	1.16E+00	1.44E+01	2.31E+00
V37	2.29E+00	1.94E+00	4.76E-01	6.85E+00	1.02E+00	4.18E+00	7.30E+00	2.84E+00	1.48E+00	7.33E-01
V38	2.44E+00	1.97E+00	4.16E-01	4.27E-01	4.43E+00	6.76E+00	8.11E+00	5.25E+00	1.05E+00	3.86E+00
V39	2.66E+00	0.00E+00	5.41E+00	1.20E+00	2.07E+01	2.19E+00	1.81E+00	3.22E+00	1.50E+00	2.21E+01
V40	9.36E-01	3.06E+00	2.29E+00	6.57E-01	8.07E+00	4.48E+00	5.19E+00	1.68E+00	3.47E+00	7.25E+00
V41	2.01E+00	3.00E-01	2.27E+00	0.00E+00	6.23E-01	2.49E-01	6.16E-01	1.40E+00	1.39E+00	2.39E+00
V42	3.66E+00	2.24E-01	1.44E+01	1.51E+00	6.07E+00	1.69E+00	2.72E+00	2.93E+00	2.00E+00	1.46E+01
V43	6.24E+00	3.00E-01	7.95E-01	0.00E+00	1.52E+00	3.06E-01	2.13E-01	6.08E+00	0.00E+00	1.66E+00
V44	0.00E+00	2.34E+00	2.24E-01	3.42E-01	1.55E+00	1.10E+00	9.33E-01	0.00E+00	2.17E+00	2.33E+00
V45	5.33E-01	1.85E+00	5.53E+00	1.14E+00	1.31E+00	1.00E-01	5.00E-01	0.00E+00	4.81E+00	4.70E+00
V46	1.22E+01	1.31E+00	3.33E+00	2.05E+00	1.73E+00	3.06E-01	0.00E+00	1.14E+01	9.52E-01	2.97E+00
V47	4.67E+00	3.84E+00	3.96E-01	0.00E+00	1.87E+00	5.88E+00	5.50E+00	4.44E+00	3.86E+00	2.14E+00
V48	3.71E+00	3.65E+00	3.06E-01	4.20E+00	1.14E+00	1.14E+00	2.65E+00	1.40E+00	2.98E+00	3.77E+00
V49	2.46E+00	7.15E+00	4.22E-01	1.67E+00	3.28E+00	0.00E+00	0.00E+00	2.08E+00	6.80E+00	2.34E+00
V50	6.86E-01	3.42E-01	3.04E+00	3.06E-01	1.87E+00	0.00E+00	1.00E-01	7.81E-01	1.01E+00	2.65E+00
V51	1.64E+01	1.17E+00	9.85E+00	1.48E+00	0.00E+00	9.33E-01	1.78E+00	1.72E+01	6.43E+00	7.93E+00
V52	1.37E+00	1.78E+00	2.89E+00	2.12E+00	8.27E-01	8.62E-01	1.59E+00	1.12E+00	7.67E-01	2.73E+00
V53	4.46E+00	4.00E+00	0.00E+00	1.65E+00	2.55E+00	1.97E+00	3.13E+00	6.76E+00	3.13E+00	1.81E+00
V54	6.77E+00	1.82E+00	9.51E+00	2.61E+00	6.81E+00	4.02E+00	6.02E+00	8.37E+00	9.72E+00	9.58E+00
V55	3.08E+00	1.36E+00	3.42E+00	1.74E+00	8.47E+00	1.09E+00	2.31E+00	3.08E+00	3.60E+00	7.57E+00
V56	8.70E-01	1.54E+01	6.63E-01	6.97E+00	1.10E+00	0.00E+00	1.10E+00	6.45E+00	1.55E+01	2.31E+00
V57	1.13E+00	1.71E+00	0.00E+00	0.00E+00	8.97E-01	9.45E-01	1.08E+00	1.33E+00	1.40E+00	4.99E-01
V58	0.00E+00	7.70E+00	2.20E+01	3.83E+00	2.98E+00	6.91E+00	6.89E+00	1.80E+00	1.49E+01	2.35E+01
V59	3.07E-01	1.34E+00	8.92E+00	1.31E+00	4.66E+00	0.00E+00	0.00E+00	1.06E+00	0.00E+00	8.25E+00
V60	2.55E+00	7.22E-01	4.07E-01	1.16E+00	1.62E+00	9.34E+00	8.44E+00	2.85E+00	6.40E-01	1.13E+00
V61	8.31E-01	3.48E-01	0.00E+00	1.50E+00	1.40E+00	8.14E-01	6.70E-01	1.58E+00	4.00E-01	1.43E+00
V62	0.00E+00	8.36E+00	3.23E+00	7.61E+00	1.04E+01	4.57E+00	6.18E+00	3.19E+00	1.32E+01	1.16E+01
V63	1.09E+01	3.43E+00	4.99E-01	7.86E-01	2.58E+00	0.00E+00	4.00E-01	1.26E+01	3.19E+00	2.60E+00
V64	3.87E+00	1.03E+00	9.63E+00	2.50E+00	1.27E+01	1.57E+00	1.73E+00	3.00E+00	7.78E-01	1.61E+01
V65	2.80E+00	1.87E+00	7.00E+00	2.43E+00	4.33E-01	8.80E+00	8.05E+00	2.79E+00	5.42E+00	7.60E+00
V66	2.37E+00	1.06E+01	4.33E-01	0.00E+00	0.00E+00	5.85E+00	5.30E+00	8.50E+00	1.22E+01	7.00E-01
V67	8.06E-01	1.00E-01	9.80E-01	7.72E-01	7.52E-01	0.00E+00	4.07E-01	5.67E-01	6.29E-01	6.54E-01
V68	5.99E+00	1.31E+00	4.39E+00	2.75E+00	6.36E-01	1.18E+01	1.25E+01	6.99E+00	7.33E+00	3.31E+00
V69	3.20E+00	2.45E+00	1.03E+00	5.47E+00	2.00E-01	3.48E+00	3.53E+00	3.93E+00	2.94E+00	1.00E+00
V70	3.10E+00	1.53E+00	2.27E+00	8.82E-01	1.55E+00	0.00E+00	8.00E-01	2.54E+00	1.41E+00	3.10E+00
V71	1.63E-01	1.48E+00	6.37E-01	1.06E+00	1.04E+00	0.00E+00	6.00E-01	9.94E-01	1.39E+00	8.97E-01
V72	1.38E+00	0.00E+00	1.10E+01	4.32E+00	3.07E+00	1.52E+00	3.13E+00	3.63E+00	7.59E+00	9.77E+00
V73	3.79E-01	1.19E+00	3.52E+00	3.55E+00	9.46E-01	7.06E+00	6.90E+00	9.20E-01	4.45E+00	3.47E+00
V74	9.33E-01	1.08E+00	0.00E+00	4.03E+00	4.01E-01	1.33E-01	2.52E+00	1.39E+00	2.00E-01	3.55E+00
V75	5.63E+00	2.24E-01	6.01E+00	2.11E+00	7.12E-01	9.78E-01	1.18E+00	6.68E+00	4.91E+00	6.20E+00
V76	4.54E+00	1.16E+00	1.65E+00	3.95E+00	1.32E+00	1.47E+01	1.33E+01	4.64E+00	2.81E+00	5.18E+00
V77	2.57E+00	1.00E-01	1.16E+00	3.03E+00	2.48E+00	4.41E+00	4.49E+00	1.80E+00	1.48E+00	2.94E+00
V78	6.39E+00	3.10E+00	2.45E+00	2.91E+00	1.41E+01	4.73E-01	2.00E-01	9.12E+00	3.98E+00	1.39E+01
V79	5.05E+00	5.51E+00	1.34E+01	1.00E-01	1.09E+01	3.18E+00	3.42E+00	5.15E+00	6.64E+00	1.49E+01
V80	2.39E+00	8.09E-01	9.48E-01	2.29E+00	3.58E+00	1.28E+01	1.37E+01	5.18E+00	5.00E-01	1.85E+00
V81	5.16E-01	4.18E+00	9.57E-01	3.08E+00	7.86E-01	0.00E+00	2.00E-01	1.57E+00	5.75E+00	1.50E+00
