Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
V1	27	0	0	21	1	6	1	0	0	5	0	0	8	0	2	0	8
V2	0	0	0	0	13	140	78	52	18	8	0	1	14	11	0	0	0
V3	11	0	7	15	0	17	0	16	23	27	0	17	8	0	0	0	0
V4	2	1	29	21	32	2	0	14	11	5	0	0	0	4	0	0	0
V5	0	92	0	17	6	55	107	72	0	0	6	0	0	9	0	3	0
V6	207	54	0	0	16	33	59	7	5	0	4	5	0	32	12	0	4
V7	7	43	19	39	5	12	0	0	4	4	0	0	0	0	7	13	4
V8	0	4	36	16	5	0	0	1	0	2	0	0	0	0	13	0	0
V9	38	1	0	25	4	55	50	11	13	1	0	26	6	0	4	6	0
V10	0	18	96	97	19	12	12	0	3	17	7	0	17	0	4	15	5
V11	0	72	0	0	4	17	35	28	11	15	70	10	0	0	0	0	0
V12	6	12	149	100	7	19	16	18	0	0	0	0	0	0	21	24	0
V13	16	20	0	32	74	0	0	0	8	15	0	61	0	0	0	7	15
V14	18	67	71	1	8	0	0	0	4	0	84	0	0	0	8	19	0
V15	0	19	101	15	39	0	0	6	47	55	17	0	3	2	13	12	10
V16	45	107	0	11	0	13	0	17	33	51	0	0	19	6	0	0	0
V17	28	140	0	2	52	0	0	0	0	0	38	34	7	0	15	2	5
V18	29	90	93	35	0	10	21	0	0	9	0	0	0	0	14	7	0
V19	6	12	8	3	10	7	0	38	39	44	0	9	34	0	0	0	0
V20	69	90	1	4	26	1	0	28	18	29	34	0	5	84	5	0	0
V21	42	142	11	48	94	19	9	106	84	81	0	68	22	0	0	0	31
V22	33	0	5	0	3	17	54	4	2	0	0	0	1	0	0	0	2
V23	9	89	44	55	10	0	0	0	2	35	4	0	8	6	9	0	4
V24	3	1	0	0	4	135	93	74	0	0	0	0	0	15	0	1	0
V25	6	6	72	0	1	16	18	11	18	8	0	0	3	0	0	0	3
V26	6	49	0	2	18	20	14	7	0	0	26	0	0	0	0	0	0
V27	10	31	37	19	0	121	49	43	3	34	14	0	3	0	0	4	0
V28	35	12	0	0	3	26	16	15	81	43	0	0	43	0	0	0	1
V29	15	54	59	47	0	0	1	0	0	3	0	0	0	6	12	1	0
V30	54	70	90	120	5	10	26	16	0	7	0	0	5	0	21	17	10
V31	61	0	98	14	40	0	0	1	2	0	0	0	0	6	1	20	0
V32	331	143	94	74	0	0	0	0	13	0	86	0	0	0	62	0	0
V33	14	38	0	0	44	13	16	0	0	4	0	9	0	0	0	1	3
V34	22	0	338	111	11	6	18	19	0	0	0	0	0	0	0	38	0
V35	0	40	99	99	11	7	18	0	0	0	0	0	0	0	7	26	0
V36	102	12	0	0	11	0	0	6	19	12	0	0	10	19	0	0	0
V37	1	0	84	0	0	6	10	33	62	49	0	10	30	18	0	0	0
V38	12	0	8	27	54	18	36	10	3	0	0	21	0	0	0	7	0
V39	0	56	0	49	134	8	3	2	4	0	0	15	0	0	0	6	7
