Samples	ID83A	ID83B	ID83C
V1	1.15E+00	1.59E+00	1.46E+00
V2	1.09E+00	1.09E+00	0.00E+00
V3	2.25E+00	2.30E+00	1.48E+00
V4	4.07E+00	2.85E+00	2.14E+00
V5	1.23E+01	1.16E+01	2.00E+00
V6	5.50E+00	5.50E+00	0.00E+00
V7	3.71E+00	4.45E+00	2.02E+00
V8	1.17E+00	1.07E+00	1.53E+00
V9	4.22E+00	3.03E+00	2.21E+00
V10	4.31E+00	1.19E+00	3.97E+00
V11	1.86E+01	1.86E+01	0.00E+00
V12	3.57E+00	1.61E+00	3.90E+00
V13	2.08E+01	2.14E+01	2.57E+00
V14	1.45E+01	1.49E+01	2.46E+00
V15	5.99E+00	3.66E+00	4.74E+00
V16	1.28E+01	1.35E+01	1.61E+00
V17	3.22E+01	3.22E+01	8.88E-01
V18	5.81E+00	8.66E+00	3.51E+00
V19	1.67E+00	1.75E+00	9.83E-01
V20	1.24E+01	1.26E+01	1.31E+00
V21	3.30E+01	3.12E+01	3.53E+00
V22	2.16E+00	1.50E+00	8.56E-01
V23	1.03E+01	1.16E+01	2.90E+00
V24	1.62E+00	1.48E+00	4.99E-01
V25	8.23E-01	7.49E-01	1.05E+00
V26	1.00E+01	9.75E+00	6.67E-01
V27	6.14E+00	4.78E+00	2.34E+00
V28	3.39E+00	3.39E+00	0.00E+00
V29	4.99E-01	5.47E+00	5.15E+00
V30	4.56E+00	6.04E+00	3.68E+00
V31	3.97E+00	4.46E+00	3.00E+00
V32	0.00E+00	6.41E+00	6.41E+00
V33	9.85E+00	9.98E+00	6.40E-01
V34	5.56E+00	1.87E+00	4.75E+00
V35	2.21E+00	1.11E+00	2.21E+00
V36	2.96E+00	2.96E+00	0.00E+00
V37	2.24E+00	2.69E+00	2.95E+00
V38	4.59E+00	4.95E+00	2.21E+00
V39	2.87E+01	2.91E+01	6.66E+00
V40	1.04E+01	1.04E+01	9.20E-01
V41	2.64E+00	3.89E+00	2.51E+00
V42	2.27E+01	2.27E+01	2.73E+00
V43	1.07E+00	4.58E-01	9.89E-01
V44	4.29E+00	4.29E+00	0.00E+00
V45	5.57E+00	5.50E+00	7.27E-01
V46	2.77E+00	3.25E+00	2.15E+00
V47	2.22E+00	1.93E+00	2.54E+00
V48	4.22E+00	2.68E+00	4.08E+00
V49	4.46E+00	4.78E+00	8.72E-01
V50	4.72E+00	4.95E+00	6.15E-01
V51	2.49E+00	3.04E+00	3.40E+00
V52	4.22E+00	3.37E+00	1.47E+00
V53	2.50E+00	2.61E+00	1.34E+00
V54	1.10E+01	1.25E+01	4.77E+00
V55	1.13E+01	1.17E+01	2.38E+00
V56	1.96E+00	2.01E+00	8.23E-01
V57	1.36E+00	6.74E-01	7.06E-01
V58	1.75E+01	1.75E+01	0.00E+00
V59	1.51E+01	1.50E+01	1.26E+00
V60	2.17E+00	9.00E-01	1.81E+00
V61	1.30E+00	5.43E-01	1.31E+00
V62	5.62E+00	5.62E+00	0.00E+00
V63	4.01E-01	2.03E+00	2.19E+00
V64	1.94E+01	1.96E+01	3.33E+00
V65	5.31E+00	6.26E+00	1.97E+00
V66	1.10E+00	1.12E+00	1.44E+00
V67	1.52E+00	1.46E+00	8.57E-01
V68	1.10E+01	9.93E+00	5.87E+00
V69	4.42E+00	3.21E+00	2.09E+00
V70	2.91E+00	3.24E+00	1.64E+00
V71	1.35E+00	1.36E+00	1.53E-01
V72	1.94E+01	1.92E+01	1.28E+00
V73	4.58E+00	4.47E+00	5.17E-01
V74	2.14E+00	1.84E+00	8.41E-01
V75	5.96E+00	5.20E+00	2.36E+00
V76	3.48E+00	1.73E+00	2.48E+00
V77	2.15E+00	4.23E-01	2.23E+00
V78	1.79E+01	1.64E+01	5.22E+00
V79	2.24E+01	2.37E+01	3.04E+00
V80	2.26E+00	1.98E+00	1.26E+00
V81	1.95E+00	1.96E+00	5.42E-01
V82	1.79E+00	1.18E+00	1.30E+00
V83	2.10E+00	1.56E+00	2.10E+00
V84	1.49E+00	1.27E+00	1.77E+00
V85	6.03E+00	6.11E+00	1.33E-01
V86	7.56E+00	7.56E+00	0.00E+00
V87	6.78E+00	6.46E+00	8.14E-01
V88	5.20E+00	5.35E+00	1.14E+00
V89	6.89E+00	6.41E+00	1.41E+00
V90	1.00E+00	1.23E+00	1.53E+00
V91	5.61E+00	4.09E+00	3.94E+00
V92	1.89E+00	1.89E+00	0.00E+00
V93	2.71E+00	2.71E+00	0.00E+00
V94	2.49E+00	1.93E+00	2.18E+00
V95	1.24E+00	1.22E+00	1.26E+00
V96	4.71E+00	4.90E+00	9.98E-01
V97	9.89E+00	9.89E+00	0.00E+00
V98	9.98E-01	1.11E+00	1.09E+00
V99	1.23E+01	1.35E+01	2.08E+00
V100	1.31E+01	1.34E+01	2.82E+00
