MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	6.14E-04	5.22E-04	4.87E-04	2.04E-03	1.94E-03	9.21E-03	4.95E-02	1.98E-02	5.95E-03
1:Del:C:1	7.77E-04	5.93E-04	0.00E+00	3.29E-03	1.19E-04	1.30E-02	1.78E-02	5.36E-04	6.84E-03
1:Del:C:2	2.46E-04	0.00E+00	1.14E-04	6.48E-04	4.34E-04	1.44E-03	2.88E-03	5.00E-04	3.37E-03
1:Del:C:3	2.00E-04	2.76E-04	5.05E-04	4.39E-04	3.05E-04	3.34E-03	2.89E-03	1.98E-03	2.29E-03
1:Del:C:4	6.52E-09	5.64E-05	1.49E-03	1.95E-04	1.85E-04	2.94E-03	2.50E-03	3.83E-03	1.20E-03
1:Del:C:5	1.16E-04	1.74E-04	1.45E-03	5.64E-04	9.53E-04	1.52E-04	0.00E+00	3.86E-03	4.30E-03
1:Del:T:0	4.56E-04	6.20E-04	2.66E-03	1.82E-03	9.25E-04	1.22E-02	1.47E-02	2.87E-03	2.34E-02
1:Del:T:1	5.65E-05	1.60E-04	4.20E-46	8.94E-04	1.02E-03	7.50E-03	8.39E-03	1.46E-03	2.33E-03
1:Del:T:2	3.83E-12	1.31E-03	1.40E-03	7.05E-04	0.00E+00	1.25E-02	1.99E-02	5.49E-03	8.17E-03
1:Del:T:3	1.96E-03	8.03E-04	2.77E-03	0.00E+00	2.92E-03	7.99E-03	1.24E-02	3.25E-02	1.28E-02
1:Del:T:4	3.69E-04	8.98E-04	7.09E-03	0.00E+00	1.71E-03	1.01E-02	1.75E-02	2.12E-02	3.10E-03
1:Del:T:5	1.97E-08	1.68E-07	1.84E-02	2.09E-07	1.66E-07	6.49E-07	2.54E-06	9.61E-02	6.01E-02
1:Ins:C:0	9.11E-09	1.71E-08	1.50E-04	3.01E-04	2.50E-04	2.77E-08	3.53E-04	2.56E-04	5.32E-04
1:Ins:C:1	1.62E-08	2.38E-04	6.77E-04	1.69E-04	4.22E-08	9.15E-08	2.32E-08	1.05E-06	3.03E-03
1:Ins:C:2	0.00E+00	4.94E-05	4.02E-04	4.75E-04	2.52E-04	2.05E-03	1.03E-03	1.16E-08	2.03E-03
1:Ins:C:3	6.44E-05	8.63E-05	8.90E-09	1.16E-08	6.20E-05	2.08E-04	3.23E-04	2.36E-04	3.68E-08
1:Ins:C:4	1.83E-04	1.59E-07	1.05E-03	2.03E-04	0.00E+00	4.02E-08	6.42E-08	3.04E-03	1.83E-03
