MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	6.85E-04	9.43E-04	1.98E-05	2.89E-03	4.89E-03	1.85E-03
1:Del:C:1	5.73E-04	6.96E-04	0.00E+00	1.68E-03	2.08E-03	5.55E-04
1:Del:C:2	2.38E-04	0.00E+00	9.79E-05	5.72E-04	3.29E-04	4.83E-04
1:Del:C:3	2.12E-04	2.74E-04	3.01E-04	5.25E-04	1.23E-03	6.42E-04
1:Del:C:4	0.00E+00	2.42E-08	5.47E-04	6.00E-05	1.08E-03	2.37E-04
1:Del:C:5	1.40E-04	2.42E-04	7.14E-04	3.02E-04	2.08E-05	9.30E-04
1:Del:T:0	4.21E-04	6.82E-04	7.09E-04	1.38E-03	2.79E-03	8.37E-04
1:Del:T:1	2.85E-05	2.00E-04	0.00E+00	6.71E-04	1.18E-03	4.85E-04
1:Del:T:2	3.37E-04	1.36E-03	1.10E-03	1.09E-03	2.93E-03	1.87E-04
1:Del:T:3	1.08E-03	5.41E-04	1.48E-03	1.97E-04	2.73E-03	2.35E-03
1:Del:T:4	3.40E-04	7.86E-04	1.40E-03	1.79E-04	2.31E-03	1.53E-03
1:Del:T:5	1.85E-08	1.57E-04	2.39E-03	2.08E-07	1.16E-07	5.20E-04
1:Ins:C:0	2.20E-08	1.24E-04	1.24E-04	2.53E-04	2.11E-08	2.09E-04
1:Ins:C:1	9.52E-09	2.49E-04	1.89E-04	2.91E-04	6.23E-09	1.02E-08
1:Ins:C:2	2.95E-09	6.49E-05	0.00E+00	2.80E-04	2.47E-04	2.42E-04
1:Ins:C:3	5.36E-05	9.05E-05	1.09E-08	6.49E-09	1.58E-04	6.38E-05
1:Ins:C:4	1.49E-04	3.32E-08	4.03E-04	2.13E-04	1.51E-08	4.66E-09
1:Ins:C:5	2.53E-04	5.33E-04	4.41E-04	1.40E-46	3.00E-07	1.36E-05
1:Ins:T:0	7.52E-05	1.38E-04	1.72E-04	3.99E-04	6.34E-04	4.17E-04
1:Ins:T:1	5.62E-04	0.00E+00	5.34E-04	5.40E-04	8.21E-04	4.32E-04
1:Ins:T:2	8.86E-05	2.61E-04	2.60E-04	3.01E-04	2.49E-04	5.05E-04
1:Ins:T:3	7.25E-05	3.47E-04	8.52E-05	3.82E-04	2.64E-04	4.56E-06
1:Ins:T:4	4.79E-05	7.57E-04	1.95E-04	0.00E+00	7.64E-04	5.31E-04
1:Ins:T:5	2.05E-04	3.41E-03	7.67E-08	4.41E-03	1.85E-07	7.66E-09
2:Del:R:0	0.00E+00	1.82E-04	9.53E-05	4.88E-04	6.10E-04	7.04E-04
2:Del:R:1	7.37E-05	2.08E-04	4.36E-04	4.75E-04	4.20E-04	2.69E-04
2:Del:R:2	1.00E-04	1.59E-04	1.61E-04	2.48E-05	2.04E-04	0.00E+00
2:Del:R:3	2.58E-09	2.81E-08	2.34E-04	5.54E-05	3.12E-08	1.24E-04
2:Del:R:4	4.05E-08	9.91E-05	1.89E-04	1.32E-04	1.88E-04	1.84E-04
2:Del:R:5	2.21E-03	1.47E-08	2.06E-04	5.21E-08	7.74E-08	1.44E-07
3:Del:R:0	6.15E-04	9.50E-08	1.89E-04	2.08E-04	2.57E-07	6.44E-03
3:Del:R:1	7.03E-04	6.42E-04	7.66E-04	2.77E-04	4.80E-04	1.53E-03
3:Del:R:2	0.00E+00	1.87E-04	1.92E-04	2.23E-04	5.49E-04	5.06E-05
3:Del:R:3	4.71E-04	1.11E-04	1.28E-04	1.07E-04	3.48E-04	1.97E-03
3:Del:R:4	3.67E-09	2.89E-09	6.40E-09	6.50E-09	1.29E-08	1.13E-08
3:Del:R:5	6.71E-05	1.60E-08	3.45E-08	3.32E-08	7.70E-08	1.06E-07
4:Del:R:0	9.36E-04	3.63E-04	3.15E-04	6.66E-04	4.27E-04	8.56E-04
4:Del:R:1	2.73E-05	3.14E-04	2.18E-04	3.85E-04	5.84E-04	1.70E-03
4:Del:R:2	1.64E-04	0.00E+00	1.65E-04	1.30E-04	4.53E-04	0.00E+00
4:Del:R:3	3.67E-09	2.89E-09	6.40E-09	6.50E-09	1.29E-08	1.13E-08
4:Del:R:4	3.67E-09	2.89E-09	6.40E-09	6.50E-09	1.29E-08	1.13E-08
4:Del:R:5	3.67E-09	2.89E-09	6.40E-09	6.50E-09	1.29E-08	1.13E-08
5:Del:R:0	5.23E-08	5.30E-08	7.23E-04	3.39E-03	1.87E-03	1.02E-03
5:Del:R:1	6.98E-05	1.50E-04	2.30E-04	2.26E-04	1.44E-04	2.28E-08
5:Del:R:2	1.22E-08	5.22E-09	1.45E-04	1.86E-04	1.27E-04	6.27E-05
5:Del:R:3	3.67E-09	2.89E-09	6.40E-09	6.50E-09	1.29E-08	1.13E-08
5:Del:R:4	3.51E-08	2.39E-08	1.03E-04	3.66E-08	9.42E-05	8.08E-08
5:Del:R:5	1.11E-04	8.72E-05	2.39E-09	1.83E-08	1.03E-08	2.70E-08
2:Ins:R:0	0.00E+00	2.38E-04	1.50E-04	2.34E-04	3.30E-04	1.91E-04
2:Ins:R:1	1.26E-04	6.34E-05	1.06E-05	3.57E-04	4.01E-04	1.04E-04
2:Ins:R:2	6.34E-05	7.43E-05	2.07E-04	0.00E+00	1.37E-04	2.98E-04
2:Ins:R:3	1.23E-08	1.58E-07	1.14E-04	2.73E-04	3.67E-08	4.09E-05
2:Ins:R:4	4.15E-08	2.90E-04	5.35E-04	0.00E+00	1.20E-04	7.75E-09
2:Ins:R:5	1.93E-04	1.19E-03	9.11E-04	2.23E-04	3.40E-04	2.17E-04
3:Ins:R:0	1.33E-08	1.72E-08	7.64E-09	2.07E-04	1.81E-04	5.76E-08
3:Ins:R:1	2.55E-09	0.00E+00	3.38E-04	6.39E-05	3.42E-04	1.22E-04
3:Ins:R:2	5.64E-05	3.81E-08	3.92E-08	2.99E-07	9.11E-08	1.13E-07
3:Ins:R:3	8.57E-09	3.35E-07	1.15E-04	1.63E-04	8.83E-05	1.26E-04
3:Ins:R:4	5.42E-08	3.26E-08	7.78E-05	7.91E-08	5.71E-08	9.82E-08
3:Ins:R:5	1.66E-04	9.79E-05	3.38E-04	0.00E+00	4.79E-08	2.17E-08
4:Ins:R:0	1.71E-07	1.89E-08	9.86E-05	1.63E-04	5.44E-08	1.19E-07
4:Ins:R:1	5.26E-05	1.89E-04	1.37E-04	1.84E-04	6.41E-05	2.26E-04
4:Ins:R:2	4.89E-08	9.91E-05	4.82E-05	4.57E-08	8.16E-08	9.11E-08
4:Ins:R:3	5.10E-08	4.92E-05	3.65E-08	4.64E-08	8.10E-08	2.03E-07
4:Ins:R:4	5.57E-09	8.70E-05	1.15E-04	0.00E+00	8.61E-05	2.15E-07
4:Ins:R:5	1.29E-04	2.27E-04	4.40E-04	1.80E-04	2.56E-04	5.85E-04
5:Ins:R:0	5.86E-05	1.07E-08	3.49E-08	3.09E-08	1.01E-07	1.36E-07
5:Ins:R:1	1.74E-04	2.44E-04	2.49E-04	8.94E-04	5.93E-04	6.85E-04
