MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
1:Del:C:0	2.86E-03	7.74E-08	2.52E-03	0.00E+00	9.07E-03	1.23E-02	1.19E-02	5.83E-04	9.23E-03	1.50E-03	2.92E-02	2.68E-02	3.17E-02	1.14E-07	1.73E-02	4.92E-02	3.24E-02	6.46E-03	2.14E-46
1:Del:C:1	8.02E-04	1.62E-03	3.70E-04	1.04E-03	1.84E-02	2.86E-03	4.32E-03	4.55E-03	4.16E-03	1.51E-02	7.86E-03	2.14E-02	3.33E-02	8.69E-03	1.73E-02	4.77E-02	3.93E-02	1.55E-03	7.02E-03
1:Del:C:2	4.47E-09	1.77E-04	0.00E+00	6.11E-04	9.64E-04	2.02E-03	2.02E-03	8.58E-04	6.31E-04	1.94E-04	1.46E-03	2.82E-03	0.00E+00	1.01E-02	3.65E-07	1.40E-03	3.31E-04	5.82E-04	2.63E-03
1:Del:C:3	7.83E-08	2.98E-03	1.25E-04	0.00E+00	4.25E-04	8.26E-03	3.19E-07	1.38E-03	0.00E+00	4.66E-07	2.43E-03	4.69E-02	8.86E-04	2.02E-04	6.23E-06	3.03E-02	9.36E-07	4.36E-02	2.91E-02
1:Del:C:4	1.07E-03	0.00E+00	3.34E-04	1.43E-03	3.48E-03	7.65E-04	6.98E-04	1.12E-03	6.96E-04	5.95E-05	1.13E-02	1.47E-03	7.23E-03	2.45E-03	0.00E+00	1.05E-02	2.78E-07	1.13E-02	9.97E-03
1:Del:C:5	1.10E-03	1.86E-04	2.07E-03	4.45E-03	1.41E-04	7.92E-04	7.87E-04	3.86E-03	1.34E-03	1.08E-03	4.97E-07	5.10E-08	0.00E+00	2.94E-03	5.17E-03	0.00E+00	4.29E-03	8.61E-03	3.25E-03
1:Del:T:0	0.00E+00	1.15E-45	0.00E+00	2.07E-03	1.49E-02	9.85E-03	5.95E-03	3.44E-03	1.31E-02	9.50E-03	2.45E-02	5.85E-02	2.86E-02	9.49E-04	3.84E-03	2.79E-02	3.93E-03	2.46E-03	6.44E-03
1:Del:T:1	4.22E-04	4.78E-03	1.24E-03	0.00E+00	1.31E-02	5.06E-03	2.55E-03	3.43E-03	1.56E-03	2.09E-03	1.28E-02	1.41E-02	2.79E-02	6.56E-04	1.19E-02	3.71E-02	9.75E-03	2.22E-03	3.77E-08
1:Del:T:2	1.86E-05	1.05E-03	1.86E-04	2.42E-03	1.03E-02	0.00E+00	4.87E-09	3.41E-03	3.12E-03	3.93E-02	9.00E-03	3.32E-02	1.17E-02	1.29E-03	4.62E-03	2.96E-02	7.26E-03	1.42E-03	1.72E-02
1:Del:T:3	1.96E-03	4.08E-04	1.30E-03	3.01E-03	1.97E-02	2.14E-04	2.73E-03	1.75E-02	1.61E-03	7.82E-03	1.13E-02	5.12E-02	1.72E-02	7.71E-03	1.03E-02	1.50E-02	1.86E-02	1.63E-03	9.88E-03
1:Del:T:4	2.76E-03	1.42E-03	1.50E-03	6.01E-03	7.93E-03	0.00E+00	1.40E-46	6.96E-03	6.77E-04	2.47E-03	1.47E-02	1.90E-02	9.66E-03	3.90E-06	1.26E-02	1.46E-02	1.85E-02	5.92E-02	2.32E-02
1:Del:T:5	1.14E-07	2.21E-03	1.22E-07	1.71E-02	1.24E-07	1.37E-02	1.10E-06	4.96E-02	1.41E-06	6.96E-07	1.36E-07	1.26E-06	1.67E-02	1.68E-07	2.81E-03	1.38E-06	5.06E-07	6.72E-02	5.24E-02
