Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
V1	3.00E+00	3.60E+00	2.44E+00	3.14E+00	1.95E+00	3.46E+00
V2	1.42E+00	1.54E+00	2.01E+00	1.00E+00	1.71E+00	2.21E+00
V3	2.76E+00	6.00E-01	0.00E+00	2.47E+00	5.37E-01	6.57E-01
V4	2.28E+00	2.02E+00	0.00E+00	3.41E+00	3.18E+00	0.00E+00
V5	1.14E+00	2.98E+00	6.86E-01	3.38E+00	1.11E+00	2.24E-01
V6	5.37E+00	3.28E+00	1.98E+00	6.88E+00	2.85E+00	1.19E+00
V7	9.33E-01	5.62E-01	1.61E+00	1.36E+00	3.06E-01	1.67E+00
V8	1.99E+00	2.15E+00	2.89E+00	1.93E+00	3.44E+00	3.99E+00
V9	2.11E+00	2.52E+00	4.07E-01	1.94E+00	1.83E+00	0.00E+00
V10	1.70E+00	5.39E-01	1.82E+00	2.76E+00	2.09E+00	3.02E+00
V11	1.21E+00	1.38E+00	7.16E-01	1.07E+00	1.82E+00	9.45E-01
V12	6.71E-01	1.72E+00	3.02E+00	3.67E+00	3.52E+00	3.39E+00
V13	4.86E+00	3.58E+00	2.54E+00	2.70E+00	7.95E-01	1.61E+00
V14	3.77E+00	4.02E+00	8.49E-01	5.12E-01	1.68E+00	8.85E-01
V15	8.41E-01	3.05E+00	2.79E+00	2.48E+00	1.76E+00	2.70E+00
V16	2.73E+00	2.46E+00	1.07E+00	0.00E+00	0.00E+00	8.79E-01
V17	1.97E+00	1.33E-01	2.79E+00	3.84E+00	1.29E+00	5.53E+00
V18	1.19E+00	2.00E+00	6.21E+00	3.43E+00	2.94E+00	5.63E+00
V19	3.14E-01	4.34E+00	3.09E+00	5.81E-01	2.59E+00	1.12E+00
V20	2.79E+00	3.93E+00	1.25E+00	2.66E+00	1.54E+00	2.07E+00
V21	1.35E+00	1.61E+00	2.47E+00	1.79E+00	6.86E-01	0.00E+00
V22	8.88E-01	0.00E+00	1.91E+00	1.87E+00	0.00E+00	6.80E-01
V23	2.00E+00	1.83E+00	1.71E+00	3.06E-01	1.48E+00	0.00E+00
V24	3.19E+00	8.06E-01	2.20E+00	4.12E+00	2.56E+00	1.77E+00
V25	1.07E+00	4.00E-01	3.20E+00	2.65E+00	2.06E+00	3.12E+00
V26	4.82E-01	6.11E-01	3.02E+00	2.77E+00	1.26E+00	0.00E+00
V27	0.00E+00	2.02E+00	2.09E+00	0.00E+00	1.82E+00	3.82E+00
V28	9.31E-01	1.26E+00	1.23E+00	1.38E+00	0.00E+00	2.43E+00
V29	2.84E+00	3.25E+00	8.85E-01	1.79E+00	8.79E-01	2.18E+00
V30	3.52E+00	3.33E+00	1.66E+00	3.35E-01	1.71E+00	2.16E+00
V31	2.71E+00	3.02E+00	2.23E+00	3.59E-01	5.93E-01	3.22E+00
V32	2.77E+00	4.47E+00	1.87E+00	2.04E+00	8.72E-01	0.00E+00
V33	1.50E+00	1.54E+00	3.31E+00	1.82E+00	4.67E-01	1.26E+00
V34	3.71E-01	6.67E-01	1.32E+00	1.52E+00	1.46E+00	7.78E-01
V35	3.69E+00	1.34E+00	2.01E+00	5.97E-01	1.31E+00	2.53E+00
V36	1.50E+00	2.77E-01	5.39E+00	2.72E+00	1.14E+00	7.49E+00
V37	4.33E-01	5.21E-01	2.18E+00	2.62E+00	7.48E-01	2.11E+00
V38	3.57E+00	1.74E+00	2.73E+00	3.08E+00	4.33E+00	4.37E+00
V39	3.27E-01	3.14E-01	2.85E+00	8.70E-01	3.28E+00	2.92E+00
