Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
V1	139	79	23	30	67	66	8	20	0
V2	32	50	79	155	4	14	0	0	0
V3	155	2	0	0	148	4	8	0	15
V4	26	26	0	63	133	0	122	0	0
V5	4	127	0	33	91	0	0	23	0
V6	239	70	35	140	483	0	121	31	0
V7	9	3	14	0	8	47	0	2	9
V8	7	39	23	200	0	41	39	0	52
V9	47	113	1	19	18	0	9	0	0
V10	32	5	8	28	71	72	0	0	32
V11	23	33	2	66	0	1	12	0	5
V12	1	11	66	196	103	60	84	0	0
V13	360	76	36	0	73	0	0	34	55
V14	119	189	2	32	0	13	0	4	25
V15	0	90	11	27	29	61	50	37	2
V16	189	171	0	0	0	7	0	5	25
V17	63	0	37	7	17	101	3	30	38
V18	13	78	230	46	13	113	26	0	0
V19	0	235	108	73	0	2	5	0	3
V20	170	238	11	8	27	8	32	0	0
V21	12	26	99	4	45	0	10	0	5
V22	7	0	24	0	138	4	13	0	0
V23	117	33	37	8	0	0	0	0	33
V24	126	0	33	27	116	17	134	0	0
V25	24	0	156	62	79	16	21	41	9
V26	4	16	375	43	17	0	0	0	0
V27	0	199	37	51	0	30	0	0	0
V28	20	22	12	0	8	28	10	0	0
V29	176	67	0	6	7	18	0	3	0
V30	175	141	43	35	0	14	0	0	48
V31	8	97	28	0	0	33	2	12	43
V32	29	268	54	0	55	0	0	0	47
V33	13	40	81	1	26	25	0	10	1
V34	0	3	1	29	25	0	0	17	3
V35	134	17	53	21	0	35	0	16	0
V36	11	0	109	4	0	160	40	16	0
V37	1	2	39	2	4	12	10	16	0
V38	136	14	114	232	70	125	2	15	0
V39	0	1	48	87	0	23	0	10	0
V40	146	0	107	0	163	78	59	0	0
V41	0	19	12	198	36	8	0	0	14
V42	4	0	28	24	10	7	6	0	0
V43	59	67	108	94	24	83	0	40	0
V44	0	16	109	0	42	0	0	31	0
V45	84	263	20	25	49	85	0	101	0
V46	0	61	25	141	0	22	43	8	0
V47	26	247	5	33	0	7	12	0	18
V48	7	54	19	10	32	174	10	0	0
V49	97	5	172	1	27	0	32	8	0
V50	38	14	41	193	15	35	0	0	29
V51	8	161	4	0	26	6	9	0	0
V52	0	27	53	2	0	0	24	9	0
V53	4	244	8	34	146	3	0	0	0
V54	1	0	3	15	29	0	22	0	2
V55	44	41	39	78	172	44	0	8	0
V56	0	8	33	162	0	4	13	0	0
V57	29	136	74	14	4	0	0	0	12
V58	0	0	25	133	83	225	55	0	11
V59	208	31	58	104	0	101	11	9	52
V60	5	3	138	0	13	89	41	38	0
V61	341	1	38	0	4	0	0	0	18
V62	6	5	47	41	64	15	0	42	0
V63	177	18	44	34	0	252	0	60	20
V64	255	5	289	3	15	101	0	1	66
V65	131	0	28	62	10	2	0	0	0
V66	5	195	70	2	3	3	31	16	0
V67	0	5	30	64	4	2	0	0	24
V68	59	123	11	209	2	147	0	64	47
V69	16	0	30	112	0	0	0	15	28
V70	26	76	60	112	22	0	2	0	60
V71	23	0	66	0	154	97	46	0	0
V72	68	72	17	2	1	0	0	0	0
V73	46	23	1	0	23	8	8	0	0
V74	69	22	65	20	232	31	0	90	35
V75	38	1	34	0	4	0	0	1	0
V76	0	33	314	258	16	42	164	0	9
V77	3	163	3	9	0	0	20	28	0
V78	27	48	15	1	14	106	23	45	0
V79	82	13	69	0	57	0	30	0	0
V80	232	73	29	15	36	31	27	0	52
V81	129	45	46	0	15	0	12	0	0
V82	0	0	45	57	16	2	9	0	8
V83	39	61	0	12	77	28	0	26	0
V84	0	0	381	30	4	8	6	0	0
V85	3	27	115	100	33	132	38	0	0
V86	41	44	24	7	97	26	48	0	0
V87	112	91	7	38	0	227	7	102	0
V88	94	0	12	0	6	26	26	0	0
V89	61	72	27	45	38	57	19	0	31
V90	184	209	25	15	2	159	59	0	0
V91	8	5	84	53	20	75	0	0	0
V92	34	235	0	16	0	3	0	0	5
V93	54	106	0	0	41	0	0	14	0
V94	220	0	106	36	6	37	79	0	45
V95	0	26	100	62	16	17	38	0	18
V96	82	1	29	2	25	131	9	34	13
V97	153	203	99	25	7	0	0	0	35
V98	182	50	0	5	6	0	87	0	9
V99	0	152	9	0	34	7	46	4	0
V100	271	1	36	0	88	0	105	0	0
