MutationType	ID83A	ID83B
1:Del:C:0	1.22E-02	1.05E-02
1:Del:C:1	4.24E-03	3.73E-03
1:Del:C:2	1.41E-04	1.39E-04
1:Del:C:3	6.05E-04	4.27E-04
1:Del:C:4	4.61E-04	3.49E-04
1:Del:C:5	1.44E-03	1.03E-03
1:Del:T:0	4.86E-03	2.66E-03
1:Del:T:1	1.83E-03	1.31E-03
1:Del:T:2	3.47E-03	2.91E-03
1:Del:T:3	4.25E-03	3.71E-03
1:Del:T:4	3.84E-03	2.92E-03
1:Del:T:5	9.13E-03	1.14E-02
1:Ins:C:0	9.37E-05	2.14E-04
1:Ins:C:1	1.32E-04	2.44E-05
1:Ins:C:2	6.57E-05	7.67E-05
1:Ins:C:3	1.04E-04	5.33E-05
1:Ins:C:4	8.11E-05	9.94E-05
1:Ins:C:5	7.67E-04	4.53E-04
1:Ins:T:0	7.72E-04	6.22E-04
1:Ins:T:1	5.05E-04	4.21E-04
1:Ins:T:2	1.74E-04	1.75E-04
1:Ins:T:3	2.53E-03	2.02E-03
1:Ins:T:4	2.48E-04	2.32E-04
1:Ins:T:5	3.30E-02	1.89E-02
2:Del:R:0	4.16E-04	6.57E-04
2:Del:R:1	3.05E-04	4.18E-04
2:Del:R:2	2.81E-04	4.88E-03
2:Del:R:3	8.64E-03	6.04E-03
2:Del:R:4	8.42E-06	1.81E-05
2:Del:R:5	3.16E-05	5.29E-08
3:Del:R:0	5.13E-04	5.18E-04
3:Del:R:1	1.63E-04	2.43E-04
3:Del:R:2	1.08E-04	4.90E-05
3:Del:R:3	6.52E-05	4.72E-05
3:Del:R:4	6.10E-09	7.04E-09
3:Del:R:5	6.10E-09	7.04E-09
4:Del:R:0	3.27E-04	3.00E-04
4:Del:R:1	1.74E-04	1.83E-04
4:Del:R:2	1.00E-04	7.28E-05
4:Del:R:3	6.10E-09	7.04E-09
4:Del:R:4	1.38E-05	5.08E-08
4:Del:R:5	6.10E-09	7.04E-09
5:Del:R:0	8.15E-03	6.93E-03
5:Del:R:1	1.13E-04	1.71E-04
5:Del:R:2	5.80E-05	6.61E-05
5:Del:R:3	1.46E-05	2.40E-05
5:Del:R:4	6.10E-09	7.04E-09
5:Del:R:5	7.12E-04	3.71E-02
2:Ins:R:0	1.15E-04	6.29E-05
2:Ins:R:1	2.29E-04	1.35E-04
2:Ins:R:2	1.12E-04	6.98E-05
2:Ins:R:3	3.65E-04	2.62E-04
2:Ins:R:4	1.44E-04	1.50E-04
2:Ins:R:5	7.74E-04	1.94E-03
3:Ins:R:0	4.73E-05	3.51E-05
3:Ins:R:1	4.61E-05	5.67E-05
3:Ins:R:2	6.10E-09	7.04E-09
3:Ins:R:3	3.81E-05	1.26E-05
3:Ins:R:4	3.88E-05	2.66E-05
3:Ins:R:5	5.89E-05	4.26E-05
4:Ins:R:0	4.62E-05	1.19E-05
4:Ins:R:1	1.23E-04	1.07E-04
4:Ins:R:2	3.25E-04	2.45E-04
4:Ins:R:3	9.71E-09	2.67E-05
4:Ins:R:4	8.03E-05	3.90E-05
4:Ins:R:5	1.37E-04	8.92E-05
5:Ins:R:0	1.78E-02	1.31E-02
5:Ins:R:1	3.55E-04	3.41E-04
5:Ins:R:2	2.94E-05	1.82E-05
5:Ins:R:3	5.51E-03	3.45E-03
5:Ins:R:4	6.10E-09	7.04E-09
5:Ins:R:5	1.50E-05	1.82E-05
2:Del:M:1	3.85E-04	6.95E-04
3:Del:M:1	4.72E-04	4.19E-04
3:Del:M:2	2.50E-04	1.95E-04
4:Del:M:1	1.81E-04	2.09E-04
4:Del:M:2	1.65E-04	1.42E-04
4:Del:M:3	1.56E-04	1.51E-04
5:Del:M:1	9.22E-03	7.65E-03
5:Del:M:2	3.79E-03	3.17E-03
5:Del:M:3	1.51E-03	1.25E-03
5:Del:M:4	7.67E-04	5.42E-04
5:Del:M:5	3.39E-04	2.89E-04
