Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
V1	0	213	11	8	12	0	0	0
V2	520	18	0	26	319	17	65	0
V3	21	53	31	51	0	19	20	39
V4	17	1	0	2	0	0	0	0
V5	38	9	4	41	0	0	35	5
V6	43	5	16	9	117	10	99	0
V7	65	4	231	0	0	16	78	0
V8	10	155	37	36	143	30	0	33
V9	235	1	0	53	0	123	82	2
V10	0	15	0	100	40	116	56	4
V11	88	8	32	0	4	0	32	0
V12	1	37	0	11	19	0	0	0
V13	53	20	131	14	12	0	32	14
V14	3	41	9	85	14	2	0	14
V15	55	12	7	2	52	0	0	4
V16	19	23	0	16	0	263	0	0
V17	1	65	23	52	2	3	0	26
V18	0	3	18	165	16	0	0	0
V19	1	0	1	1	4	0	0	0
V20	25	114	50	2	2	8	0	0
V21	44	107	0	106	10	37	0	7
V22	2	22	11	0	1	20	4	30
V23	196	25	206	0	2	9	8	11
V24	9	11	0	74	18	72	2	3
V25	99	14	22	3	1	3	16	0
V26	20	0	223	25	0	37	4	11
V27	209	0	0	33	0	9	64	0
V28	18	10	1	12	27	15	5	7
V29	0	35	0	24	7	71	5	15
V30	13	2	5	65	7	25	5	1
V31	5	111	0	3	0	81	0	1
V32	264	8	0	0	0	0	84	0
V33	7	8	2	24	2	16	35	0
V34	8	37	0	69	28	0	0	0
V35	0	1	0	5	35	22	3	0
V36	11	78	8	116	0	6	0	0
V37	83	63	39	0	1	15	0	53
V38	157	4	0	0	5	13	99	0
V39	12	79	65	14	11	10	18	4
V40	2	56	0	0	0	34	0	0
V41	57	1	89	0	2	110	0	0
V42	167	34	0	0	31	42	25	0
V43	32	26	9	0	29	1	0	0
V44	0	0	22	129	0	1	47	5
V45	36	40	0	38	0	10	17	1
V46	96	5	112	0	6	9	47	0
V47	211	34	9	7	0	11	80	0
V48	413	1	10	0	1	121	26	0
V49	85	196	2	54	203	3	31	8
V50	67	56	40	0	0	23	35	0
V51	7	19	2	38	11	15	45	39
V52	0	19	73	18	41	22	0	23
V53	58	23	137	4	3	0	0	0
V54	235	176	16	2	9	6	55	18
V55	7	42	22	14	16	1	20	0
V56	30	2	0	20	94	15	0	0
V57	0	19	10	12	42	75	15	13
V58	130	288	81	0	1	5	44	0
V59	59	152	39	0	1	95	1	9
V60	27	5	0	15	32	10	6	0
V61	4	90	12	344	0	5	0	15
V62	0	9	7	11	38	19	0	15
V63	0	22	73	166	138	66	34	31
V64	92	5	149	0	11	20	32	0
V65	72	1	3	5	15	19	34	0
V66	25	8	0	3	15	17	18	0
V67	0	43	9	169	118	25	8	44
V68	49	43	8	0	12	0	0	7
V69	52	13	0	0	3	58	49	0
V70	63	95	58	7	0	39	18	0
V71	20	4	89	12	71	39	0	9
V72	0	2	13	6	19	1	1	1
V73	190	1	2	9	0	158	11	0
V74	7	0	8	9	25	6	23	0
V75	104	0	14	24	55	4	16	6
V76	49	114	28	0	22	50	0	33
V77	61	14	5	0	0	127	2	7
V78	43	0	22	6	25	7	28	22
V79	70	4	0	3	12	2	39	0
V80	35	18	71	165	20	0	42	0
V81	4	104	0	18	70	23	36	0
V82	300	74	25	0	31	8	44	15
V83	7	10	0	0	0	26	0	0
V84	0	38	84	4	67	12	1	0
V85	2	0	14	11	21	0	0	13
V86	51	10	24	6	110	11	50	0
V87	9	3	0	88	104	15	22	0
V88	2	281	227	0	0	23	0	38
V89	14	122	39	0	0	6	0	23
V90	0	5	9	70	221	43	0	0
V91	150	60	66	64	0	50	0	16
V92	62	58	89	39	132	3	0	0
V93	5	80	97	217	251	16	9	0
V94	21	111	0	25	2	11	7	3
V95	1	0	180	6	145	7	18	24
V96	5	15	15	374	0	114	3	0
V97	22	87	139	0	21	1	0	19
V98	16	35	28	61	2	4	0	0
V99	28	19	141	62	29	2	0	0
V100	51	0	0	2	45	1	28	0
