Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.9,0.88,NO,N/A,54.08%,69.91%,134.11%,52.26%,107.22,0.4982,1.3177,0.193,0.609,0.788,0.316
3,0.99,0.98,NO,N/A,42.93%,58.4%,129.7%,44.69%,89.9,0.3907,1.2897,0.128,0.534,0.859,0.447
4,0.75,0.53,NO,N/A,32.13%,48.54%,100.36%,31.62%,75.66,0.3116,0.7204,0.078,0.346,0.913,0.62
5,0.96,0.88,NO,N/A,20.77%,29.72%,95.53%,18.94%,83.72,0.1971,0.6615,0.039,0.419,0.957,0.52
6*,1.0,1.0,YES,Most Stab Sigs,7.59%,19.29%,80.09%,10.84%,49.4,0.1174,0.5284,0.01,0.104,0.989,0.893
7,0.76,-0.68,NO,N/A,7.36%,18.82%,78.09%,10.27%,48.13,0.1169,0.5136,0.009,0.094,0.99,0.904
8,0.58,-0.69,NO,N/A,7.38%,18.71%,77.11%,9.97%,48.23,0.1171,0.4979,0.009,0.099,0.99,0.898
9,0.44,-0.77,NO,N/A,7.58%,19.6%,75.31%,9.84%,47.07,0.119,0.4863,0.009,0.092,0.991,0.905
10,0.37,-0.68,NO,N/A,7.56%,19.4%,74.63%,10.0%,47.1,0.1187,0.469,0.008,0.098,0.991,0.898
11,0.29,-0.71,NO,N/A,7.25%,18.55%,73.54%,9.65%,47.0,0.1158,0.4815,0.008,0.094,0.991,0.903
12,0.23,-0.72,NO,N/A,6.83%,18.68%,77.3%,9.6%,49.17,0.1152,0.511,0.008,0.102,0.991,0.895
13,0.2,-0.66,NO,N/A,7.32%,18.77%,79.29%,9.48%,47.73,0.116,0.5489,0.007,0.082,0.992,0.92
14,0.15,-0.75,NO,N/A,7.22%,18.19%,73.14%,9.12%,45.63,0.1175,0.4986,0.007,0.078,0.992,0.922
15,0.13,-0.71,NO,N/A,6.48%,16.95%,72.76%,9.21%,46.27,0.1113,0.4742,0.006,0.085,0.993,0.914
16,0.09,-0.78,NO,N/A,6.29%,16.39%,67.83%,8.54%,44.23,0.1083,0.4461,0.006,0.076,0.993,0.922
17,0.1,-0.67,NO,N/A,7.33%,18.41%,74.2%,8.86%,43.17,0.1128,0.495,0.006,0.06,0.994,0.937
18,0.08,-0.77,NO,N/A,7.48%,18.73%,65.93%,9.17%,41.53,0.1155,0.4531,0.006,0.062,0.993,0.938
19,0.15,-0.63,NO,N/A,6.71%,16.85%,67.33%,8.14%,42.1,0.1096,0.4461,0.005,0.065,0.994,0.935
20,0.1,-0.72,NO,N/A,7.44%,18.38%,63.71%,8.46%,39.47,0.1157,0.4227,0.005,0.055,0.994,0.942
