MutationType	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100
1:Del:C:0	4	19	21	1	16	9	3	17	18	37	1	3	6	31	2	6	19	56	1	1	38	1	1	26	2	10	15	4	9	23	1	0	12	21	3	42	0	1	7	0	0	1	1	46	13	0	5	0	24	1	15	6	2	4	6	9	6	0	0	7	112	6	62	0	2	1	66	0	1	2	8	3	3	5	10	1	0	5	2	49	8	3	0	3	5	8	29	2	0	31	22	16	80	9	6	121	0	19	23	4
1:Del:C:1	3	14	8	0	4	3	1	7	5	13	0	5	1	13	1	0	9	17	0	0	13	0	0	11	0	2	3	4	1	15	0	0	1	9	1	10	0	0	1	0	0	1	2	20	6	0	0	0	9	0	7	5	0	1	3	2	0	0	0	2	33	5	24	2	2	2	16	2	0	1	1	1	3	0	4	1	0	1	2	27	2	1	0	1	1	2	11	2	0	12	11	10	20	3	9	35	1	6	4	0
1:Del:C:2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	2	0	0	0	0	0	0	1
1:Del:C:3	0	0	2	0	0	1	0	2	1	2	0	0	0	3	0	0	0	2	0	0	3	1	0	2	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	3	0	3	1	0	0	0	0	1	2	0	1	5	1	5	0	1	0	5	0	0	0	2	0	1	1	1	0	0	0	0	1	1	1	0	0	2	1	0	0	0	0	0	1	3	1	1	4	2	2	0	0
1:Del:C:4	0	4	1	0	0	0	0	0	2	1	0	0	2	4	0	7	0	0	0	1	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	1	1	0	0	1	0	1	1	1	0	0	0	0	0	1	0	3	0	2	1	0	0	1	0	1	0	0	0	1	0	2	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	3	1	0	7	0	1	0	0
1:Del:C:5	0	2	1	0	0	1	7	6	2	2	2	1	6	1	1	2	1	0	0	0	1	2	10	2	0	12	1	0	0	1	2	0	0	0	0	0	8	2	3	0	6	1	1	1	1	5	2	1	2	1	1	7	7	4	0	0	1	7	4	0	2	0	4	8	0	0	6	0	1	2	5	0	0	0	1	1	1	3	0	2	1	4	0	2	1	1	0	9	0	3	5	3	4	2	6	5	1	1	5	0
1:Del:T:0	0	64	14	1	14	23	17	7	38	22	12	1	12	9	5	2	6	12	0	1	13	3	16	9	11	7	33	5	5	10	1	45	12	7	4	9	9	30	8	0	2	17	1	24	9	12	32	34	23	12	17	4	4	26	7	5	5	17	5	6	30	4	29	13	13	7	27	3	11	9	5	2	18	5	16	7	5	11	13	26	11	32	0	4	3	15	13	1	3	8	14	12	28	6	10	33	3	7	7	8
1:Del:T:1	0	5	0	0	0	1	1	1	2	6	0	1	0	3	0	0	0	11	0	0	5	0	0	1	0	3	2	1	2	4	0	0	0	2	0	4	1	0	0	0	0	2	0	9	1	1	0	0	5	0	6	3	0	1	1	2	1	0	0	2	14	0	6	0	0	0	4	0	0	1	2	0	1	1	2	1	0	0	1	8	0	0	0	0	1	1	7	3	0	7	3	2	10	0	2	22	0	4	4	1
1:Del:T:2	0	3	4	0	5	2	1	3	7	11	0	2	2	5	0	7	7	13	0	1	8	0	0	8	0	2	1	0	3	3	0	1	4	8	1	18	0	0	1	0	0	0	0	7	1	1	0	1	8	0	1	2	0	0	1	3	1	0	0	0	35	0	14	1	2	2	19	0	1	0	3	0	1	3	7	1	0	1	1	21	2	0	1	1	2	1	10	0	0	9	6	5	19	2	1	31	0	5	6	1
1:Del:T:3	0	5	6	1	4	2	0	11	11	12	0	1	6	10	3	3	8	22	0	0	8	0	1	7	0	3	3	3	5	11	3	0	2	13	0	10	1	0	0	1	1	2	1	15	7	1	3	1	8	0	7	7	1	2	2	5	1	1	2	1	40	1	19	2	1	2	20	0	3	3	1	0	6	0	2	3	4	0	0	24	5	0	0	2	0	1	15	2	1	10	9	6	34	4	5	53	2	11	6	0
