Samples	ID1	ID2	ID8	ID9	ID83A	ID83C
V1	244	0	0	0	0	0
V2	0	0	375	0	590	0
V3	68	22	0	65	35	44
V4	0	0	0	0	20	0
V5	12	0	0	55	65	0
V6	0	0	187	0	112	0
V7	0	0	0	0	116	278
V8	178	34	182	0	0	50
V9	0	138	0	60	298	0
V10	15	127	58	106	25	0
V11	0	0	0	0	123	41
V12	42	0	26	0	0	0
V13	27	0	0	0	83	166
V14	56	0	0	112	0	0
V15	13	0	59	0	60	0
V16	0	321	0	0	0	0
V17	78	0	0	62	0	32
V18	0	0	0	180	0	22
V19	0	0	5	0	1	1
V20	121	0	0	0	27	53
V21	114	40	0	109	48	0
V22	38	29	0	0	0	23
V23	28	0	0	0	212	217
V24	0	96	0	93	0	0
V25	15	0	0	0	118	25
V26	0	43	0	0	25	252
V27	0	0	0	0	315	0
V28	11	17	33	12	22	0
V29	44	82	0	31	0	0
V30	0	30	0	76	17	0
V31	114	87	0	0	0	0
V32	0	0	0	0	356	0
V33	10	20	0	36	28	0
V34	39	0	32	71	0	0
V35	0	24	42	0	0	0
V36	89	0	0	130	0	0
V37	83	17	0	0	98	56
V38	0	0	0	0	278	0
V39	101	0	0	0	26	86
V40	56	36	0	0	0	0
V41	0	113	0	0	58	88
V42	34	43	37	0	185	0
V43	25	0	30	0	33	9
V44	0	0	0	151	23	30
V45	42	11	0	41	48	0
V46	0	0	0	0	139	136
V47	43	0	0	0	309	0
V48	0	128	0	0	444	0
V49	200	0	230	48	104	0
V50	60	26	0	0	89	46
V51	32	19	31	60	34	0
V52	26	25	56	0	0	89
V53	24	0	0	0	61	140
V54	209	0	0	0	308	0
V55	43	0	22	15	17	25
V56	0	16	112	0	33	0
V57	25	97	64	0	0	0
V58	302	0	0	0	159	88
V59	154	99	0	0	62	41
V60	4	10	38	13	30	0
V61	100	0	0	370	0	0
V62	11	20	45	12	0	11
V63	25	71	169	176	0	89
V64	0	23	0	0	118	168
V65	0	22	27	0	100	0
V66	9	20	22	0	35	0
V67	54	27	149	186	0	0
V68	56	0	0	0	63	0
V69	15	72	0	0	88	0
V70	100	42	0	0	75	63
V71	0	42	83	0	22	97
V72	0	0	27	0	0	16
V73	0	167	0	0	204	0
V74	0	6	33	11	18	10
V75	0	0	82	0	141	0
V76	139	59	0	0	59	39
V77	16	135	0	0	65	0
V78	0	0	45	0	73	35
V79	0	0	26	0	104	0
V80	20	0	0	186	61	84
V81	114	26	93	0	22	0
V82	95	0	0	0	402	0
V83	10	26	0	0	7	0
V84	37	12	72	0	0	85
V85	0	0	28	14	0	19
V86	0	0	146	0	84	32
V87	0	14	121	86	20	0
V88	316	0	0	0	0	255
V89	153	0	0	0	0	51
V90	0	43	246	59	0	0
V91	64	53	0	61	158	70
V92	60	0	156	0	69	98
V93	76	0	284	211	0	104
V94	116	12	0	26	26	0
V95	0	0	177	0	0	204
V96	0	129	0	397	0	0
V97	102	0	0	0	26	161
V98	37	0	0	62	17	30
V99	18	0	31	59	29	144
V100	0	0	58	0	69	0
