MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	1.40E-46	6.82E-04	1.13E-02	8.92E-04	1.87E-03	5.55E-03	4.89E-02	4.37E-02	2.04E-04	1.37E-02
1:Del:C:1	4.39E-08	6.59E-04	6.18E-03	4.50E-06	1.41E-03	3.13E-03	1.85E-02	2.95E-02	2.55E-02	7.91E-03
1:Del:C:2	1.14E-05	3.03E-04	2.50E-04	1.85E-08	1.61E-08	6.79E-04	2.97E-03	1.46E-03	5.18E-04	1.82E-04
1:Del:C:3	2.95E-04	3.05E-08	4.47E-03	8.06E-04	6.96E-04	5.95E-04	8.15E-03	1.19E-02	2.04E-03	2.29E-03
1:Del:C:4	1.43E-04	0.00E+00	2.08E-03	8.64E-04	2.93E-04	1.67E-04	1.23E-02	9.03E-03	1.85E-03	2.36E-03
1:Del:C:5	1.26E-04	3.84E-04	5.15E-04	1.52E-03	6.05E-04	3.47E-04	9.83E-04	3.38E-03	8.55E-04	2.19E-03
1:Del:T:0	2.80E-46	6.50E-04	7.90E-03	2.22E-03	7.27E-04	4.96E-03	2.24E-02	3.15E-02	1.87E-02	7.87E-03
1:Del:T:1	2.08E-02	4.37E-04	6.63E-03	8.46E-04	0.00E+00	1.53E-03	1.46E-02	1.75E-02	1.06E-01	2.29E-03
1:Del:T:2	1.92E-02	2.50E-03	4.85E-03	8.37E-46	1.40E-46	5.53E-03	2.14E-46	1.81E-02	2.67E-02	1.13E-02
1:Del:T:3	5.27E-04	5.51E-04	6.86E-03	2.64E-03	2.46E-04	2.81E-03	1.28E-02	2.27E-02	1.21E-02	3.61E-03
1:Del:T:4	0.00E+00	1.76E-03	9.72E-03	4.84E-03	9.42E-04	4.20E-04	1.51E-02	3.09E-02	1.79E-02	8.35E-03
1:Del:T:5	5.09E-03	6.37E-08	0.00E+00	7.33E-03	1.06E-07	3.67E-07	2.24E-07	6.52E-27	8.03E-02	1.17E-01
1:Ins:C:0	0.00E+00	8.62E-09	3.09E-09	6.30E-05	4.51E-05	5.03E-04	1.20E-03	1.17E-03	7.25E-04	1.85E-05
1:Ins:C:1	1.88E-08	1.01E-04	1.56E-04	4.66E-05	1.15E-07	5.30E-04	5.09E-04	8.75E-08	1.85E-04	6.04E-05
1:Ins:C:2	1.14E-04	2.26E-07	6.61E-05	1.42E-08	1.61E-04	9.04E-05	9.51E-04	1.11E-03	8.36E-04	9.51E-04
1:Ins:C:3	6.42E-08	9.06E-05	1.66E-04	9.29E-05	2.72E-08	2.96E-08	4.51E-04	1.96E-04	4.14E-04	3.04E-04
1:Ins:C:4	0.00E+00	5.47E-04	2.41E-04	2.42E-04	0.00E+00	2.30E-08	2.40E-03	2.97E-03	3.38E-08	9.22E-04
1:Ins:C:5	0.00E+00	2.46E-03	1.34E-04	1.82E-03	0.00E+00	2.56E-04	4.86E-03	1.11E-07	2.38E-03	5.74E-03
1:Ins:T:0	1.98E-04	5.95E-04	2.26E-03	4.93E-05	2.08E-04	5.13E-04	4.66E-03	1.06E-02	6.83E-03	2.35E-03
1:Ins:T:1	1.57E-05	6.14E-04	1.17E-03	4.55E-04	1.66E-04	3.33E-07	2.26E-03	3.25E-03	2.34E-03	1.48E-03
1:Ins:T:2	3.11E-09	5.72E-07	4.38E-04	1.58E-04	2.23E-08	2.16E-04	1.64E-03	1.99E-03	1.02E-03	2.00E-03
1:Ins:T:3	0.00E+00	5.89E-04	3.35E-04	4.06E-04	2.21E-04	5.76E-04	4.38E-03	1.12E-03	0.00E+00	5.08E-04
1:Ins:T:4	1.91E-08	2.04E-03	2.77E-04	3.50E-04	2.47E-04	5.34E-04	2.86E-02	6.30E-03	2.35E-03	1.39E-03
1:Ins:T:5	1.24E-07	5.09E-03	4.50E-07	5.86E-08	1.19E-07	9.87E-03	9.06E-03	1.06E-03	3.59E-03	1.08E-01
2:Del:R:0	2.48E-08	3.26E-04	2.22E-03	4.69E-05	9.08E-05	2.18E-03	2.29E-03	1.14E-02	8.54E-04	9.49E-04
2:Del:R:1	1.11E-06	1.53E-04	9.45E-04	2.18E-03	2.13E-04	1.68E-03	4.53E-03	5.17E-03	7.88E-03	4.74E-03
2:Del:R:2	2.58E-04	0.00E+00	3.38E-04	4.77E-04	1.20E-03	2.57E-04	1.43E-03	8.28E-04	2.87E-03	6.94E-03
2:Del:R:3	7.45E-09	7.53E-05	5.42E-08	1.85E-04	7.72E-05	5.80E-05	9.74E-08	1.83E-03	6.66E-04	7.50E-04
2:Del:R:4	1.46E-08	1.57E-08	0.00E+00	1.88E-04	1.46E-04	2.01E-04	2.62E-04	4.05E-08	6.32E-08	3.77E-04
2:Del:R:5	7.32E-08	4.17E-08	9.83E-08	1.38E-08	5.77E-07	4.79E-04	1.60E-04	8.06E-08	1.62E-07	1.07E-07
3:Del:R:0	1.72E-04	1.78E-08	7.84E-04	1.46E-04	4.87E-05	2.89E-03	2.01E-03	2.58E-03	9.73E-04	1.40E-03
3:Del:R:1	0.00E+00	8.88E-04	8.34E-04	1.21E-03	3.78E-05	3.25E-04	8.63E-03	1.59E-03	1.78E-03	1.39E-03
3:Del:R:2	3.38E-05	7.69E-08	1.64E-04	1.04E-03	3.25E-05	1.11E-07	2.72E-03	4.59E-03	3.08E-03	1.54E-03
3:Del:R:3	2.29E-08	6.54E-05	1.89E-04	9.41E-05	5.07E-05	1.46E-04	4.49E-04	7.22E-04	4.89E-04	3.79E-04
3:Del:R:4	3.25E-08	2.38E-08	1.89E-08	2.95E-08	3.22E-08	2.44E-08	7.44E-08	8.14E-08	1.85E-07	6.74E-08
3:Del:R:5	3.25E-08	2.38E-08	1.89E-08	2.95E-08	3.22E-08	2.44E-08	7.44E-08	8.14E-08	1.85E-07	6.74E-08
4:Del:R:0	1.75E-04	2.98E-05	7.29E-04	2.80E-04	5.14E-04	1.17E-03	3.52E-03	1.12E-02	6.99E-03	8.54E-05
4:Del:R:1	2.28E-04	2.48E-04	6.34E-04	3.51E-04	2.82E-04	6.61E-04	2.25E-03	3.63E-03	2.77E-03	1.30E-03
4:Del:R:2	8.57E-08	1.73E-08	2.79E-04	1.80E-04	0.00E+00	1.69E-06	2.30E-03	6.54E-04	4.48E-04	3.20E-05
4:Del:R:3	3.25E-08	2.38E-08	1.89E-08	2.95E-08	3.22E-08	2.44E-08	7.44E-08	8.14E-08	1.85E-07	6.74E-08
4:Del:R:4	3.25E-08	2.38E-08	1.89E-08	2.95E-08	3.22E-08	2.44E-08	7.44E-08	8.14E-08	1.85E-07	6.74E-08
4:Del:R:5	1.07E-08	1.55E-04	3.56E-09	2.23E-05	1.60E-04	2.88E-08	5.67E-09	7.22E-08	4.70E-04	1.42E-04
5:Del:R:0	5.25E-07	8.60E-04	5.09E-05	0.00E+00	1.40E-46	7.88E-03	3.40E-02	1.60E-02	3.05E-02	4.27E-03
5:Del:R:1	1.05E-04	1.67E-04	2.06E-08	9.50E-04	0.00E+00	7.34E-04	1.25E-04	2.50E-04	3.39E-03	2.33E-03
5:Del:R:2	3.90E-05	5.08E-08	1.87E-04	2.09E-08	1.33E-08	3.65E-07	6.39E-08	8.95E-04	7.53E-04	4.41E-04
5:Del:R:3	5.70E-08	6.22E-08	3.44E-08	8.28E-05	2.73E-05	6.35E-08	2.35E-07	8.42E-08	1.38E-04	5.26E-05
5:Del:R:4	5.70E-08	5.05E-08	3.20E-08	7.28E-05	4.52E-08	5.45E-08	2.66E-04	8.98E-08	1.81E-07	4.97E-05
5:Del:R:5	4.55E-08	6.25E-05	4.31E-08	5.00E-08	4.44E-08	5.26E-08	2.56E-04	8.90E-08	1.96E-07	1.91E-07
2:Ins:R:0	1.18E-08	2.74E-04	4.85E-04	5.21E-05	2.96E-05	4.75E-04	7.43E-04	5.82E-04	8.49E-04	5.76E-05
2:Ins:R:1	0.00E+00	9.16E-05	3.14E-04	2.12E-06	2.52E-04	3.86E-05	2.26E-03	5.17E-03	2.62E-03	2.87E-04
2:Ins:R:2	5.09E-05	4.40E-05	1.24E-04	1.55E-04	8.70E-05	5.63E-04	7.92E-04	2.15E-04	1.10E-03	5.69E-04
2:Ins:R:3	9.50E-06	4.79E-08	1.98E-04	1.05E-04	0.00E+00	4.81E-04	8.31E-04	3.72E-04	3.01E-04	3.19E-04
2:Ins:R:4	5.74E-09	3.18E-04	6.65E-05	2.67E-04	2.51E-04	3.52E-05	5.85E-03	4.42E-04	6.56E-05	7.89E-04
2:Ins:R:5	4.47E-04	1.63E-03	7.03E-04	2.62E-03	1.32E-03	6.35E-04	7.66E-04	1.16E-03	8.68E-04	4.34E-03
3:Ins:R:0	4.66E-05	4.29E-08	1.15E-07	2.93E-08	3.55E-08	2.32E-04	8.03E-05	1.84E-06	6.80E-04	2.59E-04
3:Ins:R:1	1.72E-08	1.96E-04	3.13E-04	4.10E-04	5.73E-05	4.51E-04	1.84E-03	1.44E-03	9.24E-05	5.25E-04
3:Ins:R:2	4.16E-08	1.20E-07	4.72E-05	2.15E-08	9.76E-08	4.81E-08	5.31E-04	2.96E-04	1.86E-04	1.22E-07
3:Ins:R:3	3.25E-08	2.38E-08	1.89E-08	2.95E-08	3.22E-08	2.44E-08	7.44E-08	8.14E-08	1.85E-07	6.74E-08
3:Ins:R:4	5.89E-08	8.43E-08	3.56E-06	9.58E-08	2.26E-02	7.23E-08	2.52E-03	2.25E-02	5.26E-02	9.06E-02
3:Ins:R:5	3.71E-05	1.35E-04	1.79E-04	2.88E-08	5.40E-05	7.30E-05	3.89E-04	5.94E-04	7.96E-09	2.47E-04
4:Ins:R:0	3.54E-08	4.78E-08	1.15E-04	1.85E-08	5.76E-05	4.53E-04	1.09E-03	7.36E-04	6.59E-04	6.71E-08
4:Ins:R:1	3.06E-05	4.85E-04	5.32E-05	4.09E-04	2.65E-04	1.13E-03	7.41E-04	3.16E-03	3.82E-04	6.56E-04
4:Ins:R:2	4.14E-08	3.89E-08	8.48E-05	5.30E-08	3.92E-08	4.76E-08	1.37E-04	2.91E-07	3.64E-04	2.23E-04
4:Ins:R:3	5.14E-08	4.89E-08	5.10E-08	8.64E-08	5.74E-05	5.05E-08	1.42E-04	2.66E-04	3.95E-04	5.59E-04
4:Ins:R:4	5.13E-08	5.55E-08	1.10E-04	4.34E-08	3.96E-08	1.42E-04	9.20E-05	9.49E-08	1.30E-04	1.36E-07
4:Ins:R:5	4.59E-05	1.86E-04	1.60E-04	5.76E-04	4.35E-05	1.57E-04	1.09E-03	1.23E-03	1.21E-03	1.12E-03
5:Ins:R:0	2.05E-05	5.07E-08	3.23E-05	1.15E-08	1.91E-08	2.68E-04	7.04E-05	6.63E-04	1.05E-07	4.47E-05
5:Ins:R:1	2.28E-04	5.22E-04	0.00E+00	1.34E-03	2.34E-02	3.80E-03	2.14E-03	1.91E-02	9.43E-02	2.10E-03
5:Ins:R:2	3.25E-08	2.38E-08	1.89E-08	2.95E-08	3.22E-08	2.44E-08	7.44E-08	8.14E-08	1.85E-07	6.74E-08
5:Ins:R:3	6.06E-05	4.46E-08	6.31E-05	3.68E-05	2.10E-07	4.77E-08	8.21E-08	2.26E-04	2.04E-07	1.87E-04
5:Ins:R:4	5.32E-08	5.91E-05	4.24E-05	3.32E-08	4.38E-08	5.66E-08	2.05E-04	1.87E-07	1.48E-07	8.50E-05
5:Ins:R:5	2.78E-08	1.17E-04	2.75E-08	4.46E-05	3.68E-08	1.66E-04	3.67E-04	1.22E-07	1.85E-07	7.88E-05
2:Del:M:1	0.00E+00	0.00E+00	7.35E-04	3.64E-04	2.02E-04	2.45E-03	8.18E-03	1.36E-03	7.28E-04	3.67E-04
3:Del:M:1	3.00E-08	0.00E+00	9.79E-04	2.88E-04	1.93E-04	1.44E-03	2.80E-03	3.72E-03	1.44E-03	9.04E-04
3:Del:M:2	1.70E-04	8.36E-04	2.55E-04	4.36E-04	3.41E-04	8.76E-04	7.08E-03	8.58E-04	1.09E-03	1.68E-03
4:Del:M:1	3.12E-08	2.24E-04	2.88E-04	3.11E-05	4.51E-05	1.58E-03	3.08E-03	1.37E-03	0.00E+00	6.84E-04
4:Del:M:2	9.73E-05	7.93E-09	3.75E-04	3.07E-04	2.35E-07	2.31E-08	1.33E-03	3.95E-03	1.46E-03	3.49E-04
4:Del:M:3	9.56E-05	4.67E-04	4.47E-04	2.80E-04	1.21E-04	1.23E-04	3.06E-03	8.27E-04	8.11E-05	5.00E-04
5:Del:M:1	4.58E-04	2.80E-04	2.60E-03	1.45E-03	9.22E-04	7.31E-03	4.01E-02	2.21E-02	3.43E-02	2.70E-03
