Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
V1	7	37	33	0	50	1	12	41	10	0	1	6	11	0	26	48	0	1	0	0
V2	0	7	0	0	80	25	6	32	27	0	0	21	30	9	18	0	0	17	18	0
V3	3	10	16	2	0	29	2	7	0	6	14	0	1	3	0	0	0	9	9	0
V4	1	166	53	11	48	0	48	6	37	8	22	0	42	20	27	0	0	0	0	0
V5	42	127	208	18	0	55	35	1	0	3	0	0	1	0	0	9	3	11	0	0
V6	2	43	18	44	2	10	10	0	0	18	0	17	0	0	0	0	0	4	0	0
V7	0	0	0	46	7	32	3	6	0	2	0	29	0	0	1	0	0	0	0	0
V8	52	13	30	119	0	19	2	4	2	16	0	0	0	0	2	0	0	0	0	0
V9	23	56	10	5	21	0	23	0	38	5	62	0	12	0	7	0	0	0	0	0
V10	3	15	2	15	2	35	10	4	0	1	0	26	0	0	6	1	0	18	0	0
V11	42	19	148	49	0	0	4	0	4	11	0	0	9	0	0	60	3	0	0	0
V12	68	40	18	0	36	0	15	7	10	1	27	0	3	14	9	0	8	0	0	17
V13	84	9	4	0	0	0	3	0	1	2	1	0	2	0	0	0	24	0	0	0
V14	0	7	11	12	0	9	0	3	0	11	0	1	3	0	2	6	0	0	0	0
V15	69	2	159	0	0	0	3	0	28	0	2	0	2	0	2	0	4	0	0	2
V16	48	111	0	0	44	0	36	4	11	3	0	0	0	5	17	0	0	4	17	0
V17	12	27	141	5	95	5	6	0	0	7	15	0	26	9	16	0	0	0	14	8
V18	30	4	2	132	7	37	0	42	0	16	0	25	0	11	3	8	0	0	0	0
V19	87	2	0	27	22	73	1	34	3	2	0	17	0	0	0	0	11	19	0	0
V20	15	1	48	82	22	2	0	0	5	16	10	0	20	0	4	0	0	0	6	0
V21	119	10	10	12	17	131	2	151	5	6	4	32	18	15	6	30	17	0	0	0
V22	38	5	16	18	0	14	2	21	0	4	0	30	0	0	9	35	0	0	0	0
V23	4	43	146	0	15	0	13	19	5	4	6	59	0	10	0	10	0	39	6	0
V24	31	1	0	48	28	77	4	27	1	5	0	6	0	0	3	7	0	0	0	0
V25	0	75	129	120	0	10	21	1	12	36	15	0	0	0	5	0	0	8	0	0
V26	31	33	0	62	97	0	19	0	35	7	57	0	52	62	14	0	0	0	0	0
V27	26	133	1	31	16	38	35	75	0	21	0	0	0	0	0	0	2	21	0	0
V28	25	2	0	33	37	0	0	0	5	23	0	0	31	27	0	0	0	0	0	0
V29	60	122	5	101	0	0	32	4	0	44	0	0	0	0	0	0	0	0	0	0
V30	39	0	114	0	11	0	3	5	31	14	0	0	3	33	6	0	0	2	7	5
V31	0	183	4	0	72	9	73	10	22	0	22	11	19	0	40	0	0	4	0	0
V32	3	44	144	8	1	0	5	0	4	0	0	0	0	0	0	35	0	0	2	7
V33	0	13	0	13	50	22	6	16	29	0	19	4	34	2	27	0	0	0	0	0
V34	19	151	7	75	15	34	53	12	0	3	0	0	0	0	0	50	0	0	0	0
V35	2	22	2	0	5	3	8	7	11	0	0	0	0	0	0	0	2	0	0	0
V36	6	4	27	11	5	0	3	3	9	19	8	0	7	51	6	0	0	0	0	0
V37	154	15	6	45	70	0	0	0	14	13	12	0	21	17	5	0	7	0	0	0
V38	56	8	56	0	15	67	4	38	0	0	49	49	13	0	0	14	16	0	0	0
V39	14	31	21	0	2	2	22	14	0	0	5	0	1	0	4	0	0	0	5	0
V40	7	17	19	40	8	0	10	0	12	5	0	11	2	20	4	0	0	6	17	0
V41	13	16	393	0	0	62	6	36	0	7	24	9	35	0	0	109	11	34	0	6
V42	0	27	71	28	26	0	10	0	18	10	3	0	0	3	11	0	0	0	0	0
V43	41	18	35	12	58	0	10	0	34	5	4	0	0	9	22	0	10	0	0	0
V44	35	3	39	150	0	53	0	0	0	49	0	68	0	45	7	38	19	0	0	0
V45	84	17	1	35	92	0	26	1	25	10	36	6	30	10	39	0	17	0	0	0
V46	69	6	27	8	7	0	0	4	8	4	7	0	0	5	0	0	30	0	2	5
V47	75	16	20	0	89	0	14	0	28	8	6	0	38	8	14	0	0	0	0	5
V48	26	75	9	29	17	27	13	50	3	5	3	5	0	0	6	0	0	0	0	0
V49	4	0	0	1	0	20	1	0	0	1	0	0	0	7	0	0	0	0	0	0
V50	323	9	1	222	3	0	2	0	0	53	0	0	0	0	0	0	61	0	0	0
V51	1	70	81	26	13	0	25	0	11	15	2	0	0	0	0	16	0	0	0	0
V52	2	197	35	15	5	3	49	2	0	18	0	0	0	14	4	0	0	8	0	0
V53	147	18	6	146	46	0	6	0	43	48	98	0	36	71	30	0	0	0	0	0
V54	52	54	0	0	15	0	26	0	11	0	0	25	4	0	20	0	13	8	0	0
V55	0	0	0	72	5	33	10	15	0	14	26	41	0	0	3	0	0	2	0	0
V56	10	4	2	11	35	2	7	0	15	14	0	0	0	11	7	0	0	0	0	0
V57	54	84	16	0	1	0	14	29	1	2	13	0	0	8	0	0	3	0	0	15
V58	5	215	39	75	6	0	51	5	6	38	2	0	0	0	0	0	0	0	0	0
V59	149	41	7	0	97	8	24	21	15	0	0	0	38	4	51	0	0	3	0	0
