Samples	ID83A	ID83B	ID83C	ID83D
V1	145	0	42	97
V2	279	0	0	11
V3	50	3	19	39
V4	156	0	266	67
V5	2	14	179	318
V6	0	31	106	31
V7	40	61	23	2
V8	0	162	55	42
V9	157	6	86	13
V10	51	25	39	23
V11	0	60	16	273
V12	114	97	39	23
V13	0	126	0	4
V14	0	11	23	31
V15	0	69	0	204
V16	102	35	163	0
V17	185	0	15	186
V18	5	219	76	17
V19	89	194	0	15
V20	32	81	35	83
V21	238	279	0	68
V22	34	87	0	71
V23	70	0	45	264
V24	110	107	8	13
V25	0	42	180	210
V26	326	65	78	0
V27	83	45	259	12
V28	86	75	22	0
V29	0	138	230	0
V30	48	49	0	176
V31	192	0	277	0
V32	0	0	40	213
V33	214	0	21	0
V34	25	37	300	57
V35	23	0	36	3
V36	50	31	24	54
V37	123	249	2	5
V38	170	108	0	107
V39	25	10	53	33
V40	33	43	62	40
V41	43	0	0	718
V42	50	0	49	108
V43	134	58	17	49
V44	0	293	80	133
V45	261	149	19	0
V46	13	134	0	35
V47	205	87	2	27
V48	73	48	134	13
V49	16	17	0	1
V50	0	656	18	0
V51	5	0	122	133
V52	0	0	311	41
V53	233	378	76	8
V54	63	85	76	4
V55	79	94	43	5
V56	82	21	12	3
V57	32	74	113	21
V58	0	1	397	44
V59	234	190	24	10
V60	0	95	1	17
V61	0	129	49	269
V62	50	0	45	0
V63	0	183	146	301
V64	0	110	84	7
V65	0	334	0	26
V66	6	45	132	104
V67	0	33	77	1
V68	85	123	0	0
V69	0	4	51	54
V70	281	0	68	0
V71	209	90	0	39
V72	0	416	53	0
V73	171	87	47	91
V74	0	94	30	2
V75	34	8	0	126
V76	253	280	0	81
V77	180	104	0	8
V78	82	28	0	2
V79	230	82	0	51
V80	218	0	42	35
V81	19	37	1	10
V82	4	1	153	0
V83	28	110	74	0
V84	0	158	27	107
V85	289	0	36	0
V86	0	0	131	7
V87	35	103	0	12
V88	177	119	19	17
V89	97	70	0	7
V90	53	0	167	112
V91	172	103	54	30
V92	58	40	0	102
V93	252	0	93	12
V94	33	40	15	53
V95	0	0	313	32
V96	32	136	65	0
V97	100	0	91	13
V98	5	0	164	107
V99	69	16	14	21
V100	234	0	9	106
