Samples	ID83A	ID83B	ID83C	ID83D
V1	1.12E+01	1.09E+01	1.29E+01	5.53E+00
V2	1.54E+01	1.83E+01	1.22E+01	1.05E+01
V3	5.96E+00	5.37E+00	4.14E+00	7.30E+00
V4	2.65E+01	1.31E+01	3.09E+01	1.91E+01
V5	9.66E+00	7.37E+00	1.42E+01	1.40E+01
V6	4.15E+00	7.53E+00	8.14E+00	7.68E+00
V7	9.65E+00	8.37E+00	1.16E+01	9.73E+00
V8	4.46E+00	2.04E+01	1.95E+01	1.42E+01
V9	2.20E+01	1.54E+01	1.65E+01	4.34E+00
V10	1.17E+01	8.59E+00	5.06E+00	8.49E+00
V11	1.46E+00	1.06E+01	8.05E+00	6.18E+00
V12	1.62E+01	1.68E+01	1.19E+01	8.95E+00
V13	1.07E+01	1.47E+01	1.88E+00	1.11E+01
V14	2.72E+00	3.22E+00	4.78E+00	2.29E+00
V15	8.44E+00	9.67E+00	2.54E+00	6.78E+00
V16	1.63E+01	1.13E+01	2.06E+01	1.24E+01
V17	1.92E+01	1.44E+01	1.53E+01	4.51E+00
V18	1.62E+01	1.71E+01	2.90E+01	1.99E+01
V19	2.48E+01	2.09E+01	1.41E+01	1.78E+01
V20	6.94E+00	1.51E+01	1.61E+01	9.92E+00
V21	5.48E+01	5.17E+01	2.97E+01	4.15E+01
V22	1.02E+01	7.83E+00	6.36E+00	7.31E+00
V23	1.30E+01	1.05E+01	6.77E+00	1.41E+01
V24	1.79E+01	1.18E+01	1.50E+01	1.47E+01
V25	2.54E+00	2.22E+01	2.03E+01	1.59E+01
V26	3.84E+01	2.64E+01	2.58E+01	8.28E+00
V27	1.99E+01	1.65E+01	7.20E+00	2.21E+01
V28	1.25E+01	1.10E+01	1.21E+01	7.74E+00
V29	9.32E-01	2.35E+01	2.00E+01	2.13E+01
V30	6.92E+00	5.82E+00	5.98E+00	5.41E+00
V31	2.77E+01	1.17E+01	3.69E+01	1.75E+01
V32	1.26E+00	1.17E+00	6.19E+00	5.69E+00
V33	1.49E+01	1.20E+01	1.50E+01	6.95E+00
V34	6.87E+00	8.60E+00	1.52E+01	2.03E+01
V35	2.41E+00	2.17E+00	3.05E+00	2.98E+00
V36	4.44E+00	6.59E+00	7.74E+00	4.30E+00
V37	2.43E+01	2.56E+01	1.33E+01	1.56E+01
V38	2.73E+01	2.80E+01	9.71E+00	1.83E+01
V39	2.85E+00	3.76E+00	4.85E+00	6.57E+00
V40	3.68E+00	6.68E+00	7.96E+00	6.21E+00
V41	1.76E+01	1.26E+01	5.72E+00	1.69E+01
V42	7.63E+00	6.53E+00	5.77E+00	5.72E+00
V43	1.80E+01	1.36E+01	1.02E+01	6.78E+00
V44	1.69E+01	2.74E+01	4.04E+01	2.50E+01
