MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
1:Del:C:0	4.07E-04	9.69E-04	2.42E-02	0.00E+00	1.09E-07	2.87E-03	4.09E-02	1.27E-02	5.58E-02	8.45E-03	2.43E-02
1:Del:C:1	2.76E-31	8.86E-04	1.52E-02	9.15E-04	2.44E-04	2.52E-03	1.95E-02	1.58E-02	2.31E-02	1.19E-03	8.69E-03
1:Del:C:2	2.48E-04	4.31E-07	9.21E-04	5.29E-05	5.24E-06	5.21E-04	1.03E-03	2.86E-03	7.06E-04	4.02E-03	0.00E+00
1:Del:C:3	2.28E-04	1.01E-04	1.70E-03	4.31E-04	9.83E-05	7.26E-04	2.06E-03	6.88E-03	1.03E-02	1.96E-03	1.25E-02
1:Del:C:4	3.51E-04	5.41E-07	3.62E-03	0.00E+00	4.99E-08	9.58E-04	8.75E-03	2.67E-03	6.76E-03	1.48E-07	9.27E-03
1:Del:C:5	2.46E-03	3.63E-04	2.21E-08	8.50E-04	0.00E+00	1.86E-05	0.00E+00	2.90E-03	8.75E-03	9.07E-03	4.15E-03
1:Del:T:0	1.75E-03	2.65E-04	8.73E-03	7.18E-04	1.70E-04	4.31E-03	1.59E-02	1.36E-02	1.50E-02	7.05E-03	1.36E-02
1:Del:T:1	0.00E+00	7.53E-04	5.92E-03	9.43E-04	1.29E-04	3.72E-04	8.24E-03	3.14E-03	1.33E-02	2.26E-03	1.17E-02
1:Del:T:2	1.43E-03	4.60E-08	8.74E-03	7.28E-04	3.18E-04	4.60E-04	2.55E-02	3.69E-04	2.62E-02	1.99E-02	1.16E-02
1:Del:T:3	3.75E-03	6.99E-06	1.08E-02	2.16E-04	8.43E-04	7.09E-05	3.75E-02	2.16E-02	1.02E-02	1.10E-02	1.34E-02
1:Del:T:4	3.66E-03	2.70E-04	1.70E-02	1.65E-03	0.00E+00	3.13E-04	2.68E-02	1.26E-02	2.14E-02	8.90E-03	8.37E-03
1:Del:T:5	6.37E-03	3.10E-46	1.14E-02	1.87E-46	4.67E-04	1.16E-07	1.81E-03	4.04E-02	2.16E-06	9.50E-02	8.88E-02
1:Ins:C:0	1.10E-04	1.54E-08	1.56E-07	7.01E-08	7.20E-05	4.62E-04	1.92E-04	1.42E-03	1.60E-03	2.37E-03	4.38E-04
1:Ins:C:1	1.70E-04	6.11E-08	1.38E-04	3.28E-05	1.06E-08	4.29E-04	5.86E-04	5.63E-04	2.30E-06	3.43E-03	2.16E-03
1:Ins:C:2	5.52E-05	4.94E-08	3.73E-05	6.66E-08	5.83E-09	3.33E-04	2.35E-04	9.16E-04	6.64E-04	8.28E-05	4.49E-04
1:Ins:C:3	1.64E-08	3.66E-05	1.62E-09	1.99E-04	5.13E-05	9.96E-05	2.07E-08	1.53E-04	1.37E-07	9.33E-09	7.34E-08
1:Ins:C:4	7.04E-04	3.35E-04	1.36E-04	4.11E-04	2.88E-05	0.00E+00	2.35E-05	6.35E-04	1.48E-04	4.53E-03	3.16E-03
1:Ins:C:5	2.38E-03	1.28E-02	1.07E-03	3.90E-03	2.83E-03	1.04E-03	2.31E-03	4.09E-02	6.64E-02	2.53E-02	3.02E-02
1:Ins:T:0	8.17E-08	1.29E-07	2.80E-03	4.51E-04	1.19E-07	3.05E-04	4.92E-03	8.35E-03	1.32E-02	1.24E-02	1.92E-03
1:Ins:T:1	1.40E-46	1.08E-03	2.16E-03	6.01E-05	1.43E-04	2.64E-03	4.47E-03	2.84E-03	4.70E-03	1.24E-03	2.13E-03
1:Ins:T:2	1.75E-04	7.01E-09	1.25E-03	1.52E-04	1.26E-04	4.17E-04	1.41E-03	8.34E-04	2.71E-03	2.98E-03	9.05E-04
1:Ins:T:3	2.79E-04	0.00E+00	9.52E-04	4.66E-04	3.41E-04	4.56E-04	8.99E-04	2.08E-03	8.91E-04	8.06E-03	1.76E-03
1:Ins:T:4	2.97E-04	3.37E-04	1.64E-03	2.02E-03	0.00E+00	0.00E+00	1.41E-03	4.87E-03	2.39E-02	1.00E-02	2.43E-03
1:Ins:T:5	1.02E-07	6.25E-08	2.43E-02	7.91E-03	3.51E-05	2.16E-03	1.26E-02	5.83E-03	1.80E-03	3.91E-03	8.52E-02
2:Del:R:0	2.84E-04	0.00E+00	2.71E-03	6.37E-05	8.53E-05	1.79E-03	2.13E-03	1.12E-03	3.26E-03	1.11E-03	4.51E-03
2:Del:R:1	3.53E-04	2.37E-04	2.70E-03	1.52E-04	1.67E-04	2.23E-03	1.88E-03	2.54E-03	1.48E-02	6.08E-03	2.24E-02
2:Del:R:2	4.37E-04	2.21E-04	1.52E-03	1.02E-04	3.02E-04	0.00E+00	9.77E-04	4.67E-04	1.88E-03	1.87E-03	1.39E-03
