Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
V1	0.00E+00	1.21E+00	7.60E+00	4.32E+00	0.00E+00	7.63E+00	7.61E+00	7.01E+00	9.15E+00	6.58E+00	0.00E+00	5.29E+00	0.00E+00	8.54E+00	0.00E+00	9.00E-01
V2	4.11E+00	2.17E+00	1.27E+00	0.00E+00	3.10E+00	8.80E+00	0.00E+00	7.49E+00	9.36E+00	7.69E+00	3.96E+00	5.00E-01	3.14E+00	1.17E+00	2.72E+00	1.67E+00
V3	2.66E+00	8.06E-01	2.56E+00	3.33E+00	3.06E-01	9.56E+00	1.82E+00	1.20E+01	7.56E+00	9.43E+00	2.60E+00	3.30E+00	0.00E+00	1.88E+00	3.00E-01	1.77E+00
V4	3.36E+00	1.09E+00	5.75E+00	1.33E+00	7.33E-01	4.63E+00	1.68E+00	6.27E+00	2.79E+00	5.70E+00	2.70E+00	4.18E+00	8.23E-01	5.42E+00	0.00E+00	1.00E+00
V5	2.57E+00	3.90E+00	2.39E+00	0.00E+00	6.37E+00	2.55E+00	4.58E-01	1.51E+00	1.10E+00	2.27E+00	2.34E+00	1.39E+00	6.38E+00	4.34E+00	2.12E+00	5.48E+00
V6	1.64E+00	9.51E+00	2.77E-01	4.75E+00	0.00E+00	1.00E+00	4.11E+00	1.82E+00	9.98E-01	1.23E+00	1.12E+00	3.30E+00	0.00E+00	0.00E+00	5.12E-01	8.56E+00
V7	1.10E+01	3.81E+00	1.05E+01	1.25E+01	1.60E+00	6.05E-01	1.44E+01	5.00E-01	0.00E+00	2.18E+00	3.72E+00	1.15E+01	1.45E+00	9.99E+00	1.01E+01	3.08E+00
V8	0.00E+00	6.16E-01	1.02E+00	0.00E+00	5.64E+00	1.08E+01	5.93E-01	7.06E+00	8.54E+00	4.97E+00	0.00E+00	3.15E+00	4.63E+00	3.28E+00	9.00E-01	1.77E+00
V9	6.68E+00	2.94E+00	1.25E+00	1.42E+01	0.00E+00	1.77E+01	1.25E+01	1.30E+01	1.72E+01	9.14E+00	7.12E+00	7.96E+00	5.00E-01	1.10E+00	2.09E+00	3.55E+00
V10	8.62E-01	7.01E+00	7.86E-01	2.21E-01	4.22E-01	8.17E-01	4.07E-01	6.00E-01	5.81E-01	4.00E-01	9.91E-01	6.46E-01	6.40E-01	1.04E+00	1.37E+00	7.20E+00
V11	4.99E-01	1.19E+00	3.65E-01	2.00E+00	4.35E+00	1.32E+00	1.46E+00	9.00E-01	0.00E+00	2.26E+00	1.33E-01	1.55E+00	5.06E+00	5.00E-01	4.00E-01	0.00E+00
V12	1.02E+01	3.89E-01	1.27E+00	2.13E-01	9.75E-01	1.00E-01	2.67E-01	6.29E-01	1.10E+00	6.16E-01	1.21E+01	3.42E-01	4.33E-01	0.00E+00	2.79E+00	2.00E-01
V13	3.75E+00	2.09E+00	1.07E+01	5.08E+00	0.00E+00	1.30E+01	5.67E+00	1.53E+01	8.47E+00	1.17E+01	3.67E+00	6.26E+00	5.26E-01	1.19E+01	1.50E+00	2.83E+00
V14	1.42E+01	1.36E+01	8.23E-01	5.08E+00	4.42E+00	6.37E+00	4.85E+00	6.89E+00	4.30E+00	5.45E+00	5.25E+00	1.10E+01	2.52E+00	3.42E-01	1.60E+01	1.45E+01
V15	6.99E+00	1.92E+01	2.08E+00	3.77E+00	2.56E+00	9.79E+00	5.64E+00	5.12E+00	9.28E+00	5.89E+00	7.35E+00	7.56E+00	2.72E+00	2.00E-01	2.18E+00	2.13E+01
V16	0.00E+00	7.55E+00	7.22E-01	2.32E+00	2.88E+00	2.31E+00	1.69E+00	1.45E+00	1.19E+00	8.70E-01	0.00E+00	1.70E+00	2.70E+00	1.28E+00	1.20E+00	7.68E+00
V17	0.00E+00	9.92E+00	1.52E+01	9.48E+00	3.43E+00	1.35E+00	8.92E+00	1.12E+00	5.00E-01	1.77E+00	4.00E-01	5.95E+00	3.22E+00	1.47E+01	3.00E-01	1.21E+01
V18	8.60E-01	3.70E+00	9.04E-01	1.04E+01	0.00E+00	7.02E+00	8.90E+00	7.39E+00	1.14E+00	7.04E+00	1.00E-01	5.97E+00	0.00E+00	1.35E+00	0.00E+00	4.14E+00
V19	6.02E+00	1.68E+00	8.76E+00	6.15E+00	0.00E+00	3.00E-01	7.69E+00	2.99E+00	3.40E+00	0.00E+00	5.80E+00	2.69E+00	3.42E-01	8.71E+00	7.92E+00	1.14E+00
V20	4.33E-01	2.11E+00	2.68E+00	8.39E+00	4.55E+00	7.49E+00	6.26E+00	9.16E+00	6.62E+00	3.68E+00	2.00E-01	7.35E+00	4.23E+00	4.76E+00	8.46E-01	1.97E+00
V21	2.70E+00	1.32E+00	4.71E+00	2.94E+01	2.62E+00	3.06E-01	2.71E+01	0.00E+00	4.99E-01	0.00E+00	3.20E+00	1.76E+01	2.50E+00	4.10E+00	1.40E+00	0.00E+00
V22	4.33E-01	1.44E+00	3.40E+00	1.86E+00	7.67E-01	1.96E+00	1.50E+00	2.18E+00	0.00E+00	1.00E-01	0.00E+00	5.00E-01	6.05E-01	1.88E+00	0.00E+00	3.42E-01
V23	1.95E+01	1.70E+00	1.03E+00	5.70E+00	1.52E+01	2.87E+00	7.30E+00	8.04E+00	3.86E+00	4.08E+00	2.37E+01	5.14E+00	1.22E+01	1.07E+01	1.40E+01	8.81E+00
V24	4.23E+00	3.00E+00	0.00E+00	1.30E+00	7.06E+00	1.00E-01	7.90E-01	9.71E-01	6.40E-01	1.65E+00	4.48E+00	2.69E+00	6.18E+00	1.10E+00	4.73E+00	3.29E+00
V25	2.87E+01	1.94E+00	5.87E+00	1.74E+00	6.47E+00	2.91E+00	3.45E+00	4.37E+00	1.88E+00	3.69E+00	2.66E+01	6.33E+00	6.35E+00	6.98E+00	1.77E+01	2.41E+00
V26	5.54E-01	5.91E+00	9.48E+00	2.30E+00	4.56E+00	7.77E+00	2.30E+00	5.00E+00	2.89E+00	5.13E+00	1.00E-01	2.52E+00	4.80E+00	1.04E+01	1.17E+00	5.64E+00
V27	1.00E+00	1.63E+00	0.00E+00	1.84E+01	1.06E+01	9.94E+00	1.82E+01	1.13E+01	5.48E+00	1.18E+01	1.37E+00	1.17E+01	1.36E+01	6.07E+00	2.85E+00	3.24E+00
V28	7.03E+00	8.59E+00	5.44E+00	4.42E-01	7.67E-01	5.12E-01	6.16E-01	3.06E-01	0.00E+00	1.00E-01	6.44E+00	3.53E+00	3.06E-01	5.09E+00	5.24E+00	9.92E+00
V29	1.85E+00	2.99E+00	3.73E-01	1.34E+01	1.53E+01	3.91E+00	1.36E+01	3.42E+00	1.87E+00	2.17E+00	7.06E-01	1.01E+01	1.59E+01	5.76E+00	2.56E+00	6.38E+00
V30	1.20E+01	2.13E-01	2.01E+00	4.82E-01	7.57E-01	1.88E+01	6.63E-01	1.72E+01	1.35E+01	1.24E+01	1.32E+01	1.22E+00	1.49E+00	2.44E+00	1.08E+01	3.00E-01
V31	2.66E+00	3.25E+00	8.92E+00	3.22E+00	4.00E-01	5.00E-01	2.01E+00	3.65E+00	2.31E+00	3.00E-01	3.79E+00	1.34E+00	2.21E-01	9.82E+00	6.00E-01	2.75E+00
V32	1.61E+01	9.40E-01	2.88E+00	1.39E+00	1.15E+01	1.70E+00	2.80E+00	1.23E+00	8.67E-01	2.26E+00	1.90E+01	5.67E+00	1.18E+01	8.29E+00	7.83E+00	1.37E+00
V33	7.84E+00	4.12E+00	1.11E+01	2.15E+00	8.27E+00	6.26E+00	2.98E+00	6.77E+00	2.59E+00	9.30E+00	5.81E+00	8.05E+00	7.03E+00	1.12E+01	9.69E+00	5.41E+00
V34	8.30E+00	2.47E+00	1.13E+00	7.49E-01	1.48E+00	1.19E+00	9.43E-01	1.55E+00	6.11E-01	8.00E-01	5.53E+00	1.51E+00	8.44E-01	1.12E+00	9.78E+00	1.99E+00
V35	5.80E+00	4.99E+00	6.83E-01	2.30E+00	2.15E+00	1.42E+01	5.12E+00	1.17E+01	9.97E+00	1.63E+01	4.12E+00	4.69E+00	3.97E+00	2.30E+00	7.93E+00	1.09E+01
V36	2.09E+00	4.16E-01	4.39E+00	8.09E-01	3.62E+00	1.00E-01	7.61E-01	0.00E+00	2.00E-01	0.00E+00	1.49E+00	2.14E+00	2.89E+00	4.20E+00	2.49E+00	1.00E-01
V37	1.82E+00	3.47E+00	5.00E-01	1.00E-01	5.16E-01	3.07E+00	1.10E+00	5.60E+00	5.82E+00	4.54E+00	1.79E+00	1.29E+00	0.00E+00	0.00E+00	4.00E-01	4.98E+00
V38	1.49E+01	1.06E+00	3.14E+00	1.10E+01	4.23E-01	3.06E-01	1.10E+01	1.23E+00	1.26E+00	6.00E-01	1.26E+01	5.41E+00	3.07E-01	3.26E+00	1.50E+01	1.41E+00
V39	1.61E+01	5.76E+00	0.00E+00	3.80E+00	6.38E+00	4.41E+00	4.39E+00	2.77E+00	3.95E+00	3.03E+00	1.25E+01	2.47E+00	4.68E+00	5.62E+00	9.89E+00	6.78E+00
V40	2.42E+00	1.74E+00	7.81E-01	0.00E+00	1.86E+00	3.67E+01	3.70E+00	3.89E+01	3.65E+01	3.20E+01	2.21E+00	4.00E-01	1.26E+00	4.00E-01	2.26E+00	5.94E+00
V41	3.00E+00	8.94E-01	1.99E+01	1.10E+01	6.75E+00	1.16E+00	1.10E+01	2.67E-01	0.00E+00	2.34E+00	3.20E+00	9.44E+00	5.33E+00	1.99E+01	1.10E+00	1.44E+00
V42	7.12E-01	2.97E+00	3.98E+01	9.98E-01	3.01E+00	0.00E+00	1.31E+00	0.00E+00	1.00E-01	0.00E+00	3.00E-01	2.28E+00	2.37E+00	4.16E+01	2.00E-01	2.92E+00
V43	1.09E+00	5.03E+00	8.13E+00	4.14E+00	3.42E-01	1.98E+01	5.80E+00	1.84E+01	1.81E+01	1.26E+01	2.00E+00	1.20E+01	0.00E+00	1.11E+01	1.32E+00	4.09E+00
V44	1.32E+01	4.53E+00	2.21E-01	1.94E+00	1.33E+01	9.45E+00	1.61E+00	1.06E+01	1.10E+01	6.10E+00	1.20E+01	1.18E+01	9.41E+00	5.68E+00	1.16E+01	5.40E+00
V45	1.23E+01	1.44E+00	1.04E+00	6.25E+00	4.90E+00	2.21E+01	7.05E+00	2.51E+01	2.46E+01	1.89E+01	6.50E+00	2.09E+01	3.51E+00	1.04E+00	1.86E+00	5.40E+00
V46	6.90E-01	1.65E+00	6.68E+00	5.70E+00	1.08E+00	2.02E+01	9.14E+00	2.97E+01	2.30E+01	2.18E+01	0.00E+00	7.66E+00	1.04E+00	6.77E+00	8.00E-01	2.48E+00
V47	1.93E+00	1.33E+00	1.27E+00	4.09E+00	1.11E+00	4.47E+00	3.81E+00	2.10E+00	6.49E+00	4.68E+00	2.18E+00	2.29E+00	2.21E+00	1.00E-01	2.96E+00	7.67E-01
V48	4.81E+00	9.48E-01	1.08E+01	5.27E+00	6.67E-01	2.32E+01	5.70E+00	1.87E+01	1.77E+01	1.67E+01	5.59E+00	6.83E+00	4.27E-01	1.09E+01	5.08E+00	0.00E+00
V49	0.00E+00	7.75E+00	1.40E+00	1.82E+00	0.00E+00	1.76E+00	2.67E+00	2.06E+00	1.91E+00	4.73E-01	0.00E+00	1.23E+00	0.00E+00	1.50E+00	0.00E+00	8.14E+00
V50	5.23E+00	2.32E+00	1.46E+00	5.37E-01	1.88E+01	3.95E+00	6.19E-01	1.88E+00	1.55E+00	3.28E+00	1.77E+00	1.43E+01	1.65E+01	4.22E+00	6.38E+00	2.87E+00
V51	1.90E+01	1.21E+01	7.86E-01	7.00E-01	6.58E+00	1.65E+00	1.13E+00	0.00E+00	3.07E+00	2.34E+00	2.09E+01	2.86E+00	7.26E+00	4.30E+00	3.51E+00	1.38E+01
V52	2.69E-01	5.42E+00	2.34E+01	1.65E+00	2.05E+01	5.02E+00	4.71E+00	2.03E+00	3.28E+00	5.41E+00	2.13E-01	1.67E+01	1.69E+01	2.32E+01	0.00E+00	5.12E+00
V53	4.31E+00	1.37E+01	1.76E+01	8.79E+00	3.37E+00	9.24E+00	1.14E+01	1.05E+01	5.79E+00	5.95E+00	6.03E+00	1.41E+01	4.48E+00	2.66E+01	4.08E+00	1.36E+01
V54	6.53E-01	1.00E-01	4.35E+00	3.42E-01	7.89E+00	1.29E+00	1.29E+00	1.62E+00	1.21E+00	6.80E-01	1.23E+00	5.79E+00	6.11E+00	4.60E+00	3.67E-01	6.40E-01
V55	6.96E+00	4.07E-01	0.00E+00	0.00E+00	4.04E+00	1.65E+00	2.00E-01	1.07E+00	1.65E+00	1.75E+00	7.36E+00	3.55E+00	2.83E+00	1.79E+00	4.96E+00	0.00E+00
V56	2.93E+00	2.22E+00	7.03E-01	1.56E+01	5.63E+00	2.12E+00	1.42E+01	2.33E+00	1.43E+00	2.89E+00	2.37E+00	9.37E+00	5.31E+00	8.00E-01	2.13E-01	1.68E+00
V57	1.10E+00	9.66E-01	4.96E+00	7.02E-01	1.33E+00	7.06E+00	4.00E-01	9.83E-01	5.34E+00	4.96E+00	5.00E-01	6.00E-01	1.41E+00	6.41E+00	2.13E-01	0.00E+00
V58	3.23E+01	1.16E+01	1.37E+00	9.56E+00	2.61E+01	6.66E+00	1.04E+01	8.94E+00	8.16E+00	4.67E+00	2.48E+01	9.84E+00	2.15E+01	4.85E+00	1.80E+01	1.15E+01
V59	4.84E+00	4.07E-01	4.39E+00	2.28E+00	2.00E-01	0.00E+00	1.59E+00	0.00E+00	0.00E+00	0.00E+00	5.47E+00	3.07E+00	1.00E-01	4.18E+00	1.82E+00	1.00E-01
V60	5.43E+00	5.09E+00	1.63E-01	4.74E+00	3.89E+00	8.36E+00	5.01E+00	7.11E+00	7.92E+00	5.66E+00	6.74E+00	5.53E+00	3.19E+00	2.09E+00	4.03E+00	4.88E+00
V61	7.93E+00	1.20E+00	6.74E-01	1.72E+00	1.00E+00	2.00E-01	1.60E+00	2.13E-01	5.97E-01	0.00E+00	7.26E+00	4.05E+00	6.67E-01	0.00E+00	7.79E+00	1.59E+00
V62	1.09E+01	2.21E-01	9.80E-01	4.71E+00	2.74E+00	5.47E+00	5.43E+00	7.79E+00	3.38E+00	6.42E+00	1.05E+01	3.93E+00	1.63E+00	1.41E+00	5.19E+00	5.93E-01
V63	1.83E+00	8.97E-01	8.57E-01	4.75E+00	5.54E+00	1.16E+00	3.25E+00	1.58E+00	4.00E-01	1.86E+00	2.00E-01	3.40E+00	4.29E+00	0.00E+00	1.00E+00	1.15E+00
V64	2.22E+01	3.75E+00	5.67E-01	4.65E+00	1.19E+01	3.00E-01	4.18E+00	9.94E-01	6.40E-01	1.46E+00	2.67E+01	7.97E+00	1.13E+01	7.95E-01	3.95E+00	4.36E+00
V65	4.33E-01	0.00E+00	1.77E+00	5.39E-01	7.31E-01	5.78E-01	0.00E+00	3.42E-01	0.00E+00	2.00E-01	0.00E+00	5.00E-01	9.94E-01	1.37E+00	3.00E-01	0.00E+00
V66	3.62E+00	6.29E+00	6.96E-01	1.21E+00	5.08E+00	1.63E+00	3.44E+00	4.05E+00	2.38E+00	4.30E+00	3.81E+00	3.80E+00	3.64E+00	3.28E+00	3.04E+00	5.35E+00
V67	2.18E+00	0.00E+00	0.00E+00	3.34E+00	2.90E+00	0.00E+00	1.65E+00	0.00E+00	1.00E-01	0.00E+00	2.43E+00	2.82E+00	1.87E+00	0.00E+00	0.00E+00	1.19E+00
V68	2.66E+01	2.93E+00	7.06E-01	1.00E-01	5.80E+00	2.97E+01	2.18E+00	2.45E+01	2.73E+01	2.38E+01	2.95E+01	4.24E+00	1.90E+00	4.73E-01	1.77E+01	6.80E+00
V69	0.00E+00	2.60E+01	1.67E+00	7.00E-01	6.92E+00	1.54E+00	2.20E+00	1.50E+00	3.47E+00	1.70E+00	0.00E+00	4.93E+00	5.08E+00	2.10E+00	1.45E+00	2.64E+01
V70	1.21E+01	2.19E+00	5.63E-01	6.83E+00	1.22E+01	9.65E+00	7.05E+00	1.32E+01	1.10E+01	9.70E+00	1.33E+01	5.84E+00	1.22E+01	7.92E-01	4.22E+00	3.44E+00
V71	2.11E+00	9.36E-01	1.34E+00	6.11E+00	1.73E+01	1.27E+01	1.09E+01	1.45E+01	8.34E+00	7.81E+00	3.00E-01	1.22E+01	1.38E+01	3.23E+00	2.77E+00	6.34E+00
V72	1.26E+01	8.27E-01	0.00E+00	9.53E+00	6.00E+00	6.83E-01	7.09E+00	1.63E+00	1.37E+00	2.07E+00	1.25E+01	6.05E+00	3.80E+00	4.60E+00	2.51E+00	3.08E+00
V73	0.00E+00	0.00E+00	0.00E+00	1.07E+01	0.00E+00	2.81E+00	1.06E+01	3.32E+00	0.00E+00	2.00E+00	0.00E+00	6.70E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
V74	3.45E+00	1.92E+01	1.98E+00	2.58E+00	4.94E+00	6.32E-01	2.28E+00	7.67E-01	0.00E+00	1.27E+00	4.95E+00	5.07E+00	5.56E+00	0.00E+00	3.10E+00	1.95E+01
V75	1.99E+00	1.02E+00	3.08E+00	0.00E+00	1.00E-01	2.16E+00	6.00E-01	2.65E+00	1.31E+00	2.84E+00	3.36E+00	0.00E+00	0.00E+00	2.12E+00	1.29E+00	8.00E-01
V76	0.00E+00	4.06E+00	9.33E-01	7.24E+00	1.24E+00	5.33E+00	6.90E+00	4.63E+00	6.34E+00	5.43E+00	0.00E+00	8.46E+00	1.12E+00	6.63E-01	4.27E-01	1.66E+00
V77	2.46E+00	1.41E+00	2.19E+00	1.63E+01	2.48E+01	1.27E+01	1.35E+01	9.59E+00	1.04E+01	1.14E+01	2.56E+00	1.76E+01	1.57E+01	1.36E+00	5.14E+00	2.90E+00
V78	3.59E-01	2.76E+00	0.00E+00	6.57E+00	2.69E+00	2.67E+00	5.17E+00	2.60E+00	2.85E+00	2.93E+00	5.00E-01	7.37E-01	2.16E+00	1.50E+00	1.35E+00	2.44E+00
V79	1.81E+00	2.21E-01	1.44E+00	6.84E+00	0.00E+00	1.08E+00	6.61E+00	4.00E-01	0.00E+00	4.00E-01	1.86E+00	5.04E+00	6.00E-01	1.86E+00	1.52E+00	3.06E-01
V80	7.15E-01	1.33E+00	1.24E+00	6.38E+00	4.00E-01	1.47E+01	5.00E+00	1.72E+01	1.60E+01	1.51E+01	8.70E-01	7.07E+00	0.00E+00	2.00E-01	1.26E+00	3.08E+00
V81	3.15E+00	7.93E+00	0.00E+00	0.00E+00	1.71E+01	3.08E+00	8.44E-01	5.39E+00	3.67E+00	4.51E+00	3.73E+00	5.59E+00	1.54E+01	2.07E+00	2.37E+00	7.96E+00
V82	8.46E+00	2.67E-01	6.00E-01	9.31E-01	0.00E+00	6.33E-01	1.51E+00	1.55E+00	1.87E+00	6.18E-01	1.02E+01	9.78E-01	0.00E+00	2.00E-01	5.58E+00	9.43E-01
V83	4.74E+00	9.49E+00	1.64E+00	5.44E+00	9.36E-01	1.01E+01	6.92E+00	1.06E+01	3.73E+00	3.80E+00	3.35E+00	7.34E+00	0.00E+00	2.60E+00	7.88E+00	8.08E+00
V84	8.93E+00	3.93E+00	5.28E+00	0.00E+00	3.30E+00	6.40E-01	3.42E-01	1.74E+00	5.58E-01	1.33E+00	9.60E+00	9.00E-01	2.36E+00	6.91E+00	9.40E+00	4.84E+00
V85	2.61E+01	1.19E+01	2.27E+00	5.85E+00	1.09E+00	1.43E+01	5.88E+00	1.06E+01	1.94E+01	1.38E+01	1.64E+01	3.13E+01	9.34E-01	3.23E+00	1.35E+01	1.33E+01
V86	9.92E+00	1.63E-01	3.06E+01	7.67E-01	1.91E+00	1.20E+00	1.32E+00	2.17E+00	8.95E-01	3.07E+00	8.69E+00	2.96E+00	2.06E+00	3.16E+01	3.88E+00	0.00E+00
V87	4.23E+00	6.50E-01	1.06E+00	2.53E+00	8.57E-01	5.59E-01	2.77E+00	0.00E+00	7.03E-01	2.00E-01	2.61E+00	2.84E+00	9.45E-01	0.00E+00	1.81E+00	1.10E+00
V88	5.75E+00	3.79E+00	5.62E-01	2.67E+00	3.40E+00	3.42E-01	3.04E+00	6.33E-01	1.60E+00	0.00E+00	6.52E+00	4.09E+00	2.20E+00	0.00E+00	1.99E+00	3.15E+00
V89	1.17E+01	4.22E+00	1.15E+00	0.00E+00	0.00E+00	3.16E+01	2.60E+00	2.91E+01	3.00E+01	2.11E+01	1.22E+01	9.00E-01	9.00E-01	0.00E+00	7.08E+00	4.87E+00
V90	8.50E+00	2.15E+00	3.93E+00	3.21E+00	8.90E+00	2.31E+01	2.86E+00	1.44E+01	2.15E+01	1.40E+01	9.13E+00	9.03E+00	7.26E+00	6.33E+00	1.65E+00	2.32E+00
V91	7.03E+00	5.07E+00	1.99E+00	5.95E+00	1.23E+00	1.74E+00	4.81E+00	1.49E+00	2.08E+00	1.97E+00	6.72E+00	8.50E+00	9.33E-01	1.88E+00	9.06E+00	5.51E+00
V92	1.34E+01	1.26E+00	1.44E+00	1.77E+00	4.27E+00	4.09E+00	2.94E+00	3.45E+00	1.20E+00	1.77E+00	1.46E+01	3.28E+00	5.39E+00	1.29E+00	2.50E+00	2.61E+00
V93	8.44E+00	9.37E+00	0.00E+00	1.88E+00	4.23E+00	0.00E+00	1.40E+00	0.00E+00	1.37E+00	5.54E-01	8.57E+00	1.12E+01	3.41E+00	1.00E+00	7.00E+00	8.65E+00
V94	1.93E+01	8.91E+00	4.92E+00	2.91E+00	1.73E+01	9.67E+00	3.60E+00	1.10E+01	1.04E+01	9.93E+00	2.27E+01	1.31E+01	1.57E+01	5.02E+00	1.93E+00	1.02E+01
V95	1.59E+01	2.47E+01	1.17E+01	3.51E+00	9.17E-01	3.09E+00	2.51E+00	3.94E+00	3.92E+00	0.00E+00	1.80E+01	4.79E+00	1.01E+00	1.15E+01	5.27E+00	2.59E+01
V96	1.02E+00	2.69E-01	6.96E+00	6.06E+00	1.89E+00	6.44E+00	4.87E+00	6.52E+00	6.38E+00	4.29E+00	5.00E-01	2.80E+00	9.55E-01	6.93E+00	5.97E-01	1.20E+00
V97	7.39E+00	1.14E+00	6.19E-01	2.71E+00	1.64E+01	8.49E-01	3.12E+00	1.40E+00	1.24E+00	2.80E+00	8.12E+00	1.19E+01	1.62E+01	7.00E-01	5.80E+00	0.00E+00
V98	3.02E+01	4.00E-01	2.37E+00	3.46E+00	6.20E+00	9.69E+00	5.11E+00	1.48E+01	1.25E+01	8.65E+00	2.34E+01	1.22E+01	3.43E+00	2.66E+00	2.13E+01	6.26E+00
V99	5.28E+00	0.00E+00	1.20E+00	1.23E+01	3.00E-01	4.27E-01	9.07E+00	1.00E-01	4.58E-01	0.00E+00	6.18E+00	7.95E+00	9.48E-01	7.00E-01	1.98E+00	0.00E+00
V100	5.19E+00	0.00E+00	0.00E+00	6.57E-01	2.13E-01	1.71E+00	7.86E-01	2.52E+00	0.00E+00	1.71E+00	3.83E+00	0.00E+00	2.00E-01	0.00E+00	2.82E+00	0.00E+00
