Samples	ID83A	ID83B	ID83C
V1	64	15	163
V2	99	85	16
V3	63	81	56
V4	0	65	90
V5	97	42	66
V6	132	7	1
V7	114	123	103
V8	67	46	70
V9	370	99	35
V10	66	6	1
V11	82	5	2
V12	0	96	15
V13	59	72	265
V14	259	146	0
V15	290	102	39
V16	139	0	0
V17	230	0	153
V18	161	18	18
V19	21	106	91
V20	161	11	62
V21	295	4	64
V22	0	0	177
V23	117	376	7
V24	146	45	0
V25	0	363	123
V26	133	14	148
V27	545	11	29
V28	51	68	53
V29	369	15	13
V30	9	272	55
V31	75	21	125
V32	16	245	84
V33	65	134	155
V34	16	130	7
V35	269	102	6
V36	0	25	65
V37	77	31	2
V38	111	216	40
V39	126	165	0
V40	171	205	105
V41	11	25	392
V42	0	0	362
V43	226	51	170
V44	145	270	0
V45	223	371	47
V46	122	65	255
V47	92	27	45
V48	50	229	229
V49	95	0	20
V50	113	130	11
V51	140	238	0
V52	42	10	490
V53	297	51	364
V54	0	7	158
V55	2	97	0
V56	295	20	20
V57	11	35	77
V58	364	500	12
V59	0	62	41
V60	203	79	1
V61	44	88	2
V62	66	148	59
V63	77	20	30
V64	67	358	0
V65	0	2	28
V66	100	59	0
V67	44	21	1
V68	3	831	41
V69	468	0	0
V70	222	242	16
V71	281	134	67
V72	146	172	6
V73	154	0	12
V74	261	31	44
V75	0	27	51
V76	223	4	7
V77	465	54	143
V78	222	0	3
V79	80	4	18
V80	191	50	87
V81	266	66	0
V82	0	203	0
V83	178	76	17
V84	0	93	141
V85	207	479	30
V86	0	99	295
V87	16	44	21
V88	68	58	1
V89	123	264	47
V90	138	200	184
V91	124	65	19
V92	21	216	15
V93	120	105	0
V94	202	276	64
V95	189	192	161
V96	66	13	140
V97	162	116	11
V98	21	539	35
V99	113	47	17
V100	0	69	0
