Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
V1	0.00E+00	1.64E+00	1.40E+00	1.42E+01	2.29E+00	1.24E+01	0.00E+00	0.00E+00	5.57E+00
V2	4.53E+00	0.00E+00	2.27E+00	1.24E+01	1.07E+00	1.04E+01	3.57E+00	5.00E+00	5.96E+00
V3	1.71E+00	1.86E+00	7.92E-01	1.49E+01	1.42E+00	1.40E+01	3.35E-01	9.00E-01	8.55E+00
V4	4.03E+00	1.10E+00	1.06E+00	7.74E+00	1.67E+00	7.72E+00	7.95E-01	4.24E+00	1.96E+00
V5	2.77E+00	2.00E-01	2.33E+00	3.63E+00	2.15E+00	3.25E+00	8.07E+00	3.03E+00	8.87E+00
V6	1.54E+00	1.95E+00	1.58E+00	1.79E+00	2.77E-01	1.92E+00	0.00E+00	1.70E+00	8.54E-01
V7	1.16E+01	8.79E+00	1.30E+00	1.49E+00	2.89E+00	8.00E-01	1.95E+00	1.32E+01	1.09E+01
V8	0.00E+00	4.58E-01	6.32E-01	1.22E+01	1.20E+00	1.13E+01	6.32E+00	8.00E-01	6.02E+00
V9	7.76E+00	4.19E+00	1.32E+00	2.33E+01	1.17E+00	2.11E+01	7.67E-01	8.44E+00	1.91E+00
V10	1.27E+00	3.35E-01	1.23E+00	1.02E+00	7.02E-01	5.58E-01	7.57E-01	7.18E-01	1.31E+00
V11	4.33E-01	1.62E+00	1.03E+00	1.23E+00	3.65E-01	8.46E-01	5.17E+00	6.18E-01	5.21E+00
V12	1.09E+01	2.21E-01	4.73E-01	3.67E-01	1.29E+00	1.11E+00	1.13E+00	1.16E+01	1.73E+00
V13	5.01E+00	3.38E+00	1.14E+00	1.63E+01	3.46E+00	1.60E+01	1.00E-01	5.09E+00	5.93E+00
V14	1.20E+01	3.30E+00	1.02E+01	7.47E+00	9.07E-01	5.74E+00	3.32E+00	1.72E+01	6.34E+00
V15	7.82E+00	2.74E+00	5.51E+00	9.86E+00	2.05E+00	8.50E+00	5.32E+00	9.60E+00	5.49E+00
V16	0.00E+00	2.23E+00	5.44E+00	2.60E+00	6.53E-01	1.58E+00	3.39E+00	7.00E+00	4.84E+00
V17	0.00E+00	2.20E+00	3.02E+00	0.00E+00	3.12E+00	1.35E+00	4.36E+00	2.40E+00	3.99E+00
