Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V1	117	0.99	29.226	24.979%	6.752	13.985%	0.18131	0.99
V2	256	0.993	46.402	18.126%	15.388	11.819%	0.08087	0.993
V3	515	0.996	63.656	12.36%	15.927	8.493%	0.04622	0.996
V4	185	0.987	47.314	25.575%	10.771	17.175%	0.24684	0.986
V5	134	0.99	30.809	22.992%	6.646	14.544%	0.13262	0.989
V6	51	0.825	32.737	64.19%	9.869	66.386%	0.49919	0.802
V7	427	0.999	43.602	10.211%	8.89	3.77%	0.03972	0.999
V8	317	0.978	82.274	25.954%	18.195	21.51%	0.08535	0.974
V9	245	0.996	52.685	21.504%	11.354	9.476%	0.11934	0.995
V10	549	0.988	109.381	19.924%	24.951	17.282%	0.05917	0.987
V11	104	0.996	21.943	21.099%	4.358	9.39%	0.14462	0.996
V12	496	0.997	85.351	17.208%	29.665	11.193%	0.15531	0.997
V13	225	0.99	49.043	21.797%	18.662	14.359%	0.0935	0.99
V14	730	0.996	100.43	13.758%	20.004	9.514%	0.04674	0.995
V15	171	0.996	30.432	17.796%	7.517	8.765%	0.12286	0.996
V16	153	0.998	21.247	13.887%	4.869	6.118%	0.07742	0.998
V17	288	0.998	33.793	11.734%	7.404	5.791%	0.05228	0.998
V18	464	0.997	61.904	13.341%	16.762	8.014%	0.04518	0.997
V19	186	0.998	35.778	19.235%	7.68	7.585%	0.10941	0.998
V20	647	0.998	81.592	12.611%	16.615	6.658%	0.03955	0.998
V21	215	0.993	42.478	19.757%	8.777	12.357%	0.09841	0.992
V22	582	0.995	85.269	14.651%	20.344	10.482%	0.05638	0.994
V23	435	0.983	106.535	24.491%	28.163	19.649%	0.0726	0.981
V24	113	0.982	37.108	32.839%	8.358	20.632%	0.16856	0.98
V25	216	0.987	54.049	25.023%	11.448	16.415%	0.1171	0.985
V26	582	0.999	55.366	9.513%	9.771	4.484%	0.04561	0.999
V27	517	0.986	98.084	18.972%	26.887	16.706%	0.04948	0.984
V28	587	0.996	80.802	13.765%	19.83	9.404%	0.09161	0.995
V29	115	0.95	40.425	35.152%	10.257	32.55%	0.19358	0.941
V30	414	0.998	41.454	10.013%	10.359	5.577%	0.04628	0.998
V31	220	0.999	28.052	12.751%	6.18	5.855%	0.06792	0.998
V32	568	0.994	93.911	16.534%	20.916	10.894%	0.05319	0.994
V33	126	0.993	29.644	23.527%	5.871	14.214%	0.17215	0.993
V34	139	0.996	21.083	15.168%	6.604	9.171%	0.1196	0.996
V35	325	0.998	50.466	15.528%	14.475	7.886%	0.04928	0.998
V36	435	0.998	59.809	13.749%	11.956	7.045%	0.05339	0.998
V37	79	0.981	20.647	26.135%	4.913	19.497%	0.1348	0.978
V38	392	0.999	40.585	10.353%	9.194	4.922%	0.05225	0.999
V39	419	0.992	81.479	19.446%	16.299	13.098%	0.07542	0.992
V40	478	0.999	40.502	8.473%	7.418	3.21%	0.04587	0.999
V41	293	0.993	54.42	18.573%	10.982	11.915%	0.06891	0.992
V42	285	0.999	37.956	13.318%	7.885	6.778%	0.0788	0.998
V43	126	0.993	34.764	27.59%	6.685	12.908%	0.18122	0.992
V44	398	0.997	58.629	14.731%	12.234	7.735%	0.0595	0.997
V45	167	0.995	29.963	17.942%	5.87	9.514%	0.09335	0.995
V46	50	0.988	18.004	36.008%	3.953	15.457%	0.38981	0.988
V47	243	0.991	51.217	21.077%	11.919	14.176%	0.09748	0.991
V48	321	0.995	60.563	18.867%	11.184	10.481%	0.10222	0.994
V49	477	0.997	59.697	12.515%	11.574	8.183%	0.03791	0.997
V50	373	0.996	68.287	18.308%	13.962	8.696%	0.09707	0.996
V51	445	0.997	66.211	14.879%	13.349	8.805%	0.05401	0.997
V52	558	0.999	68.482	12.273%	14.294	5.018%	0.04748	0.999
V53	544	0.986	116.303	21.379%	33.375	17.295%	0.05542	0.984
V54	312	0.991	63.83	20.458%	11.957	13.315%	0.10555	0.99
V55	169	0.999	24.892	14.729%	5.809	6.459%	0.07785	0.999
V56	98	0.989	25.338	25.855%	5.489	14.66%	0.29712	0.988
V57	481	0.998	55.342	11.506%	11.05	6.988%	0.04922	0.997
V58	286	0.997	44.452	15.543%	8.954	8.414%	0.15448	0.997
V59	385	0.998	49.865	12.952%	11.869	6.612%	0.06164	0.998
V60	517	0.996	81.852	15.832%	30.515	9.085%	0.20355	0.996
V61	158	0.998	29.796	18.858%	7.664	7.708%	0.19079	0.998
V62	338	0.996	49.55	14.66%	10.275	9.008%	0.06306	0.995
V63	344	0.996	52.551	15.276%	9.616	9.179%	0.07557	0.995
V64	77	0.99	23.384	30.369%	5.038	14.324%	0.27739	0.989
V65	341	0.998	42.728	12.53%	11.182	7.4%	0.05857	0.997
V66	342	0.998	42.469	12.418%	8.537	6.659%	0.05485	0.998
