Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V1	404	0.998	102.389	25.344%	37.121	14.461%	0.34261	0.998
V2	1245	0.943	716.326	57.536%	314.937	42.703%	1000.0	0.942
V3	181	0.994	31.17	17.221%	9.186	11.16%	0.08137	0.994
V4	339	0.966	117.673	34.712%	33.324	26.152%	0.1536	0.962
V5	169	0.969	66.099	39.112%	19.549	29.428%	0.2464	0.968
V6	456	0.981	105.167	23.063%	26.172	19.4%	0.14197	0.978
V7	118	0.961	54.744	46.393%	14.087	27.82%	0.57316	0.959
V8	417	0.977	135.532	32.502%	28.414	24.224%	0.1438	0.974
V9	140	0.997	35.384	25.274%	12.098	10.307%	2.68866	0.997
V10	178	0.976	62.413	35.063%	14.423	24.912%	0.16237	0.974
V11	325	0.994	70.015	21.543%	14.049	11.05%	0.12888	0.994
V12	114	0.993	37.066	32.514%	11.699	13.668%	0.22078	0.993
V13	521	0.979	142.229	27.299%	39.16	22.552%	0.11434	0.977
V14	501	0.972	153.873	30.713%	41.785	23.317%	0.36539	0.97
V15	364	0.98	108.806	29.892%	26.184	20.912%	0.13054	0.978
V16	292	0.997	67.871	23.243%	15.928	8.864%	0.34543	0.997
V17	379	0.909	195.625	51.616%	113.846	47.187%	0.39854	0.906
V18	274	0.961	102.245	37.316%	25.76	27.954%	0.16066	0.956
V19	200	0.993	51.628	25.814%	12.385	13.619%	0.14694	0.993
V20	317	0.998	50.53	15.94%	14.847	5.675%	0.09872	0.998
V21	340	0.993	74.915	22.034%	15.843	11.504%	0.13954	0.993
V22	251	0.966	80.422	32.041%	21.173	25.838%	0.17559	0.962
V23	1293	0.997	212.171	16.409%	66.601	8.73%	0.25347	0.997
V24	395	0.953	272.329	68.944%	107.203	51.888%	1000.0	0.953
V25	460	0.987	113.922	24.766%	33.566	18.423%	0.08304	0.986
V26	228	0.914	122.262	53.624%	36.869	43.069%	0.33793	0.907
V27	313	0.985	134.471	42.962%	38.443	27.772%	0.39919	0.985
V28	298	0.987	103.01	34.567%	28.261	21.253%	0.23755	0.986
V29	358	0.977	108.217	30.228%	23.7	21.417%	0.13138	0.973
V30	627	0.993	162.285	25.883%	41.161	14.505%	0.17588	0.993
V31	368	0.991	156.211	42.449%	54.191	24.225%	0.92444	0.991
V32	301	0.992	74.627	24.793%	15.715	13.257%	0.09906	0.991
V33	496	0.96	143.979	29.028%	48.637	29.044%	0.09421	0.955
V34	67	0.994	14.346	21.412%	4.54	10.931%	0.13871	0.994
V35	566	0.991	129.887	22.948%	33.524	13.453%	0.12004	0.991
V36	632	0.977	194.017	30.699%	57.132	22.894%	0.26663	0.975
V37	192	0.992	52.534	27.361%	13.213	14.602%	0.12969	0.992
V38	497	0.996	132.428	26.645%	33.545	11.968%	0.49015	0.996
V39	332	0.965	142.104	42.802%	48.361	30.983%	0.43076	0.964
V40	23	0.935	12.599	54.778%	3.364	36.488%	0.97683	0.93
V41	99	0.943	44.716	45.168%	12.179	34.544%	0.31613	0.938
V42	192	0.982	55.046	28.67%	12.816	19.242%	0.12541	0.98
V43	380	0.998	65.997	17.368%	18.144	9.479%	0.1615	0.998
V44	350	0.96	143.148	40.899%	36.833	36.331%	0.42114	0.957
V45	240	0.998	58.113	24.214%	15.182	8.136%	0.31726	0.998
V46	207	0.988	67.592	32.653%	18.13	20.409%	0.28191	0.987
V47	723	0.963	287.767	39.802%	99.261	31.532%	0.48457	0.961
V48	489	0.979	132.004	26.995%	35.981	21.28%	0.14908	0.977
V49	646	0.979	220.19	34.085%	63.185	26.005%	0.39254	0.978
V50	155	0.965	55.921	36.078%	13.637	26.105%	0.40977	0.961
V51	205	0.998	32.135	15.676%	7.111	6.591%	0.17176	0.998
V52	1248	0.955	491.617	39.392%	155.239	29.805%	0.22969	0.951
V53	560	0.983	153.601	27.429%	37.726	18.716%	0.16299	0.981
V54	151	0.998	21.011	13.915%	5.841	7.043%	0.13909	0.997
V55	563	0.996	103.149	18.321%	23.616	10.232%	0.1369	0.996
V56	579	0.995	140.021	24.183%	30.638	12.56%	0.1299	0.995
V57	287	0.959	102.103	35.576%	34.742	29.94%	0.16809	0.956
V58	366	0.96	142.02	38.803%	35.415	28.128%	0.47906	0.955
V59	327	0.982	150.164	45.922%	46.289	31.93%	0.5814	0.983
V60	192	0.964	72.605	37.815%	21.504	26.47%	0.49441	0.962
V61	586	0.974	182.696	31.177%	44.962	22.887%	0.35718	0.971
V62	217	0.989	113.035	52.09%	43.245	36.739%	1.09315	0.99
V63	501	0.892	401.869	80.213%	157.786	63.547%	1000.0	0.889
V64	569	0.994	165.964	29.168%	41.707	15.456%	0.35797	0.994
V65	218	0.948	85.903	39.405%	28.075	32.086%	0.17571	0.944
V66	409	0.991	89.106	21.786%	20.72	13.936%	0.10877	0.99
V67	356	0.99	86.15	24.199%	19.196	14.588%	0.18962	0.989
V68	263	0.974	89.246	33.934%	22.561	25.994%	0.20486	0.972
V69	445	0.986	168.937	37.963%	44.047	21.666%	0.20695	0.986
V70	212	0.974	62.878	29.659%	17.297	22.963%	0.15645	0.971
V71	187	0.92	113.715	60.81%	33.396	54.055%	0.4713	0.915
V72	189	0.986	62.314	32.97%	16.845	16.751%	0.18646	0.985
V73	264	0.948	100.869	38.208%	24.794	32.904%	0.22163	0.939
V74	191	0.922	102.915	53.882%	53.78	39.616%	0.6932	0.921
V75	937	0.968	401.611	42.861%	108.723	30.008%	0.48515	0.967
V76	383	0.995	92.427	24.132%	23.259	13.338%	0.2721	0.995
V77	804	0.973	229.844	28.588%	64.645	24.184%	0.31272	0.97
V78	337	0.987	70.043	20.784%	27.927	15.99%	0.14787	0.987
V79	348	0.976	106.364	30.564%	30.042	22.105%	0.14396	0.974
V80	410	0.914	240.521	58.664%	67.869	58.974%	0.30125	0.908
V81	299	0.973	92.108	30.805%	29.298	23.552%	0.39581	0.971
V82	240	0.981	114.061	47.525%	30.371	28.942%	0.58867	0.981
V83	404	0.968	174.388	43.165%	57.258	31.049%	0.41352	0.967
V84	239	0.987	65.146	27.258%	16.796	16.367%	0.29084	0.986
V85	140	0.962	63.298	45.213%	17.215	31.483%	0.28131	0.96
V86	330	0.918	136.63	41.403%	41.341	40.449%	0.18187	0.906
V87	197	0.967	81.968	41.608%	28.81	30.861%	0.56525	0.966
V88	185	0.962	50.123	27.094%	18.294	27.178%	0.12962	0.959
V89	365	0.983	82.301	22.548%	34.923	18.99%	0.08257	0.982
V90	44	0.955	17.101	38.866%	6.512	31.187%	0.38697	0.953
V91	678	0.981	174.62	25.755%	44.982	22.285%	0.11051	0.979
V92	175	0.981	49.718	28.41%	11.514	19.843%	0.13232	0.979
V93	169	0.965	60.011	35.509%	15.08	31.355%	0.14909	0.961
V94	152	0.992	33.476	22.024%	6.236	13.461%	0.13802	0.991
V95	160	0.979	64.778	40.486%	17.356	25.14%	0.64482	0.979
V96	999	0.996	174.571	17.475%	39.269	9.577%	0.05436	0.996
V97	168	0.991	53.397	31.784%	12.357	16.647%	0.31324	0.991
V98	182	0.99	48.804	26.815%	13.886	17.448%	0.34646	0.99
V99	409	0.983	135.789	33.2%	44.05	25.956%	0.49523	0.983
V100	98	0.972	32.935	33.607%	10.87	24.692%	0.39117	0.97
