MutationType	ID1	ID2	ID8	ID9	ID83E	ID83F
1:Del:C:0	0.00015989	0.00482412	0.03982756	0.33493988	0.00013852	0.27405585
1:Del:C:1	0.00077352	0.00002210	0.02391594	0.09999423	0.00064032	0.00306541
1:Del:C:2	0.00000000	0.00000311	0.00333055	0.00269066	0.00230767	0.34547444
1:Del:C:3	0.00190761	0.00247208	0.00540315	0.01062542	0.00146861	0.00037104
1:Del:C:4	0.00070599	0.00385698	0.00127571	0.01249690	0.00213044	0.27760828
1:Del:C:5	0.00337011	0.01461542	0.00093373	0.00004480	0.00070833	0.00011726
1:Del:T:0	0.00131160	0.00790597	0.03424369	0.10510537	0.00479367	0.00392946
1:Del:T:1	0.00000000	0.00000000	0.01045208	0.04429364	0.00014812	0.00238731
1:Del:T:2	0.00093645	0.00703642	0.00899203	0.08586196	0.00132798	0.00143461
1:Del:T:3	0.00229585	0.02023474	0.00982504	0.11325066	0.00298290	0.00000000
1:Del:T:4	0.00429142	0.04711993	0.00127378	0.09441274	0.00319747	0.00089396
1:Del:T:5	0.00000000	0.81469723	0.01062034	0.00092983	0.00000245	0.00000031
1:Ins:C:0	0.00000000	0.00000000	0.00276427	0.00000000	0.00000055	0.00000000
1:Ins:C:1	0.00000000	0.00022703	0.00216912	0.00000193	0.00000001	0.00035617
1:Ins:C:2	0.00000000	0.00002620	0.00152700	0.00035262	0.00000009	0.00008349
1:Ins:C:3	0.00084599	0.00043005	0.00011652	0.00000000	0.00000003	0.00000011
1:Ins:C:4	0.00178553	0.00291185	0.00055418	0.00000216	0.00125278	0.00000004
1:Ins:C:5	0.02429654	0.00901754	0.00048949	0.00007370	0.00001597	0.00043497
1:Ins:T:0	0.00228382	0.00132856	0.00450798	0.01261448	0.00035525	0.00169094
1:Ins:T:1	0.00004030	0.00000000	0.00486870	0.01038527	0.00182694	0.00001217
1:Ins:T:2	0.00019286	0.00064703	0.00142964	0.00231466	0.00014346	0.01613586
1:Ins:T:3	0.00424327	0.00108288	0.00108729	0.00160089	0.00078984	0.00011918
1:Ins:T:4	0.01664913	0.00348746	0.00082262	0.00158536	0.00256916	0.00002535
1:Ins:T:5	0.89090647	0.00313258	0.02016125	0.00577248	0.00027079	0.00082040
2:Del:R:0	0.00068605	0.00016381	0.00876922	0.01317475	0.00177277	0.00000000
2:Del:R:1	0.00121997	0.00356888	0.01030715	0.00319854	0.00074785	0.00147812
2:Del:R:2	0.00047275	0.00184957	0.00053203	0.00118970	0.00034302	0.00021725
2:Del:R:3	0.00042672	0.00073904	0.00002710	0.00009590	0.00000000	0.00023259
2:Del:R:4	0.00005460	0.00088193	0.00027403	0.00000000	0.00000000	0.00000002
2:Del:R:5	0.00000000	0.00000000	0.00083308	0.00000000	0.00059248	0.05558600
3:Del:R:0	0.00012804	0.00001250	0.01096410	0.00285810	0.00045551	0.00045586
3:Del:R:1	0.00501109	0.00500326	0.00134887	0.00430191	0.00120957	0.00000000
3:Del:R:2	0.00076938	0.00228989	0.00037657	0.00127572	0.00058373	0.00006310
3:Del:R:3	0.00037126	0.00040259	0.00025351	0.00030211	0.00000006	0.00000006
3:Del:R:4	0.00000000	0.00000000	0.00000268	0.00000000	0.00000031	0.00000032
3:Del:R:5	0.00000000	0.00000000	0.00009100	0.00000000	0.00000009	0.00000017
4:Del:R:0	0.00009970	0.00001210	0.00669131	0.00143277	0.00069306	0.00075802
4:Del:R:1	0.00090050	0.00211579	0.00162295	0.00459422	0.00009236	0.00151900
4:Del:R:2	0.00000323	0.00054329	0.00027262	0.00089602	0.00000001	0.00000004
4:Del:R:3	0.00000000	0.00000727	0.00002880	0.00002380	0.00000090	0.00000017
4:Del:R:4	0.00000000	0.00000000	0.00009730	0.00000000	0.05195299	0.00000016
4:Del:R:5	0.00002890	0.00021041	0.00000634	0.00001370	0.00000031	0.00000032
5:Del:R:0	0.00000835	0.00003850	0.23797886	0.00077205	0.00000007	0.00008458
5:Del:R:1	0.00019068	0.00297751	0.00057226	0.00047955	0.00072874	0.00000001
5:Del:R:2	0.00012636	0.00039753	0.00051684	0.00026497	0.00000000	0.00044945
5:Del:R:3	0.00001890	0.00015815	0.00000816	0.00000612	0.88755228	0.00000019
5:Del:R:4	0.00000311	0.00008470	0.00011290	0.00000725	0.00000011	0.00002119
5:Del:R:5	0.00003130	0.00002120	0.00004430	0.00002990	0.00000017	0.00000013
