Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V1	137	0.992	31.816	23.223%	5.774	13.509%	0.16865	0.991
V2	293	0.998	55.518	18.948%	11.524	7.844%	0.1101	0.998
V3	230	0.998	42.975	18.685%	9.315	7.947%	0.10667	0.998
V4	264	0.996	70.26	26.614%	26.969	14.296%	0.14781	0.996
V5	575	1.0	51.595	8.973%	10.995	3.113%	0.04058	1.0
V6	238	0.997	32.426	13.624%	7.461	7.204%	0.08754	0.997
V7	393	0.998	56.287	14.322%	12.324	6.005%	0.07302	0.998
V8	128	0.98	37.665	29.426%	9.37	20.255%	0.21334	0.978
V9	339	0.994	66.309	19.56%	14.202	11.776%	0.08753	0.994
V10	302	0.998	48.952	16.209%	10.425	7.447%	0.08316	0.998
V11	536	1.0	42.501	7.929%	7.51	1.959%	0.04912	1.0
V12	528	0.999	50.782	9.618%	10.633	4.094%	0.05706	0.999
V13	476	0.997	94.893	19.936%	23.12	11.069%	0.07283	0.998
V14	434	0.998	54.017	12.446%	9.641	6.398%	0.06302	0.998
V15	605	1.0	61.605	10.183%	11.175	4.277%	0.05383	1.0
V16	549	0.999	71.012	12.935%	18.526	6.102%	0.06695	0.999
V17	432	0.997	79.472	18.396%	15.306	9.148%	0.07975	0.997
V18	425	0.998	43.536	10.244%	9.986	6.161%	0.05834	0.998
V19	53	0.963	19.473	36.742%	4.404	26.952%	0.27621	0.958
V20	229	0.997	52.166	22.78%	10.31	11.475%	0.1202	0.997
V21	315	1.0	24.394	7.744%	4.389	1.97%	0.05252	1.0
V22	32	0.991	8.53	26.656%	2.189	14.31%	0.37474	0.99
V23	139	0.994	29.909	21.517%	8.415	11.258%	0.13978	0.994
V24	126	0.979	42.93	34.071%	8.657	21.456%	0.19268	0.977
V25	302	0.999	27.148	8.989%	6.021	3.82%	0.06803	0.999
V26	173	0.998	43.893	25.372%	10.505	11.138%	0.15296	0.998
V27	283	0.971	86.358	30.515%	20.633	24.917%	0.13068	0.966
V28	317	1.0	34.641	10.928%	6.939	3.156%	0.07095	1.0
V29	190	0.993	45.577	23.988%	7.976	12.246%	0.14582	0.992
V30	114	0.988	30.908	27.112%	6.316	15.355%	0.2078	0.987
