Mutation	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100
1:Del:C:0	42	29	48	23	8	5	4	45	64	2	3	1	61	32	41	5	4	30	4	27	1	8	25	1	14	29	44	1	16	69	8	10	31	4	42	0	22	2	11	155	5	0	74	45	114	97	15	76	4	13	4	20	37	3	5	7	21	36	0	29	0	26	5	2	2	13	0	130	5	52	63	3	9	1	9	26	60	10	0	72	17	3	33	7	78	10	1	1	125	94	4	16	0	34	17	24	6	50	1	7
1:Del:C:1	18	9	14	7	3	1	0	13	17	2	1	0	16	7	12	2	1	5	1	14	0	3	9	0	6	9	15	0	6	21	1	3	5	0	15	1	0	1	7	44	2	0	28	11	37	34	3	27	4	4	3	13	17	3	1	5	9	13	0	6	1	7	2	1	1	0	0	38	3	17	18	2	3	1	2	6	23	2	3	20	4	1	13	0	23	3	1	1	24	33	1	3	1	15	6	12	2	16	1	1
1:Del:C:2	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	2	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	2	0	0
1:Del:C:3	2	2	2	0	0	1	1	0	2	0	0	0	3	1	2	0	0	1	0	0	0	0	5	0	4	0	2	0	2	1	0	1	2	0	3	0	0	0	0	5	0	0	3	1	6	4	2	5	0	1	3	3	0	0	1	0	0	2	0	0	0	1	0	0	0	3	0	6	2	4	1	0	0	1	0	1	6	0	1	1	1	0	0	1	2	1	0	0	4	2	0	0	1	1	2	1	1	2	0	2
1:Del:C:4	4	0	3	3	1	0	0	2	2	0	0	0	2	1	0	0	0	1	0	1	0	0	4	0	2	1	2	0	1	3	1	1	1	0	7	0	3	0	2	6	0	0	3	0	5	6	0	1	1	0	0	0	1	0	0	0	0	1	0	2	0	6	1	0	0	1	0	3	0	0	4	0	1	0	0	1	3	0	0	5	2	1	1	0	2	0	0	0	2	4	0	1	0	2	0	2	0	3	0	1
1:Del:C:5	0	1	0	0	0	0	1	0	1	0	0	1	0	3	3	0	1	0	3	0	1	0	4	3	9	1	1	0	1	0	0	7	1	2	2	0	0	6	1	0	0	0	0	1	1	0	0	1	0	1	2	0	3	0	0	0	0	7	1	1	2	0	0	0	0	1	0	5	1	3	0	2	1	0	0	1	1	1	1	1	1	3	4	1	1	0	1	0	2	2	5	1	4	1	2	0	2	6	1	0
1:Del:T:0	6	10	12	8	0	2	3	12	18	0	4	1	16	9	15	2	2	8	5	9	0	0	8	2	12	10	22	1	5	26	2	5	10	1	23	0	6	2	14	52	1	1	20	14	33	26	5	31	1	8	7	12	8	3	3	3	9	21	0	12	1	8	4	5	0	5	2	48	4	17	26	5	1	2	3	7	22	4	0	25	11	2	8	4	23	3	1	2	24	32	3	5	2	20	6	5	7	20	1	3
1:Del:T:1	9	2	3	4	2	1	0	4	5	0	0	0	10	2	7	0	3	3	1	4	0	0	6	0	2	4	4	1	4	7	3	2	3	0	9	0	2	0	1	21	0	0	17	5	15	13	1	8	1	0	0	6	4	2	0	1	2	6	0	2	0	3	0	0	0	3	0	16	5	9	9	1	4	2	2	0	7	1	2	11	4	0	4	3	14	0	0	0	9	10	0	3	1	5	2	2	0	9	0	0
1:Del:T:2	5	11	17	3	1	1	0	4	18	0	0	2	21	9	5	0	2	5	8	11	0	2	19	3	7	3	13	0	4	12	5	3	4	2	7	0	6	2	2	44	1	0	21	11	31	24	3	22	4	1	0	5	12	3	1	1	2	10	0	8	1	11	3	3	0	4	0	26	4	14	19	2	3	1	3	10	11	3	0	15	3	2	7	1	21	2	0	2	21	15	2	3	0	8	8	2	0	26	0	1
1:Del:T:3	10	10	9	4	3	1	3	6	26	0	2	3	15	9	12	1	2	8	4	12	0	1	13	1	6	8	16	2	4	33	5	2	4	3	25	0	3	5	6	46	2	2	24	12	37	32	7	30	2	5	5	3	13	2	3	6	4	17	1	13	0	6	0	3	0	4	0	57	2	15	22	4	2	0	2	9	16	1	0	26	4	8	12	3	39	7	0	1	34	25	7	4	2	15	13	9	2	24	2	0
