Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V1	213	0.979	50.482	23.7%	12.332	20.409%	0.10386	0.975
V2	342	0.999	30.934	9.045%	9.23	5.301%	0.04966	0.999
V3	148	0.988	44.028	29.749%	8.33	15.793%	0.16002	0.987
V4	206	0.995	34.585	16.789%	7.931	9.767%	0.07788	0.995
V5	138	0.975	44.499	32.246%	8.772	22.238%	0.17305	0.971
V6	186	0.995	34.083	18.324%	10.064	11.048%	0.08734	0.995
V7	141	0.997	27.289	19.354%	5.43	8.617%	0.12355	0.996
V8	177	0.991	38.288	21.632%	7.721	13.488%	0.1176	0.99
V9	123	0.992	30.233	24.58%	6.469	12.461%	0.1536	0.992
V10	111	0.998	24.841	22.379%	4.892	7.6%	0.13939	0.998
V11	191	0.981	43.388	22.716%	10.411	19.588%	0.09876	0.977
V12	492	1.0	48.928	9.945%	13.21	4.094%	0.03796	1.0
V13	315	0.99	64.873	20.595%	13.846	14.363%	0.08036	0.988
V14	245	0.986	44.541	18.18%	12.266	16.487%	0.0768	0.984
V15	165	0.981	46.764	28.342%	9.292	19.464%	0.17411	0.978
V16	235	0.996	44.8	19.064%	9.816	8.874%	0.11019	0.996
V17	794	1.0	56.761	7.149%	16.542	3.358%	0.02174	1.0
V18	202	0.997	27.97	13.847%	6.654	7.927%	0.06982	0.997
V19	223	0.996	35.882	16.091%	7.048	8.982%	0.06758	0.996
V20	187	0.998	30.163	16.13%	5.933	6.548%	0.07872	0.998
V21	245	0.988	62.001	25.307%	12.787	16.288%	0.12701	0.986
V22	176	0.991	38.543	21.899%	10.561	13.551%	0.09568	0.991
V23	303	0.999	41.641	13.743%	7.618	3.909%	0.07681	0.999
V24	172	0.997	34.334	19.962%	7.372	8.421%	0.12379	0.997
V25	142	0.987	43.188	30.414%	8.831	17.286%	0.17381	0.986
V26	385	0.995	59.013	15.328%	12.857	10.068%	0.0577	0.995
V27	226	0.99	49.539	21.92%	11.752	13.927%	0.10016	0.989
V28	95	0.992	29.913	31.487%	7.423	13.559%	0.21403	0.991
V29	727	0.999	82.841	11.395%	14.365	5.579%	0.03706	0.998
V30	584	0.997	76.302	13.065%	14.932	7.3%	0.0507	0.997
V31	165	0.994	37.382	22.656%	6.942	10.566%	0.14996	0.994
V32	153	0.995	33.012	21.576%	6.903	11.993%	0.10661	0.995
V33	241	0.998	37.709	15.647%	7.053	7.002%	0.10635	0.997
V34	266	0.99	53.205	20.002%	11.159	14.039%	0.0809	0.989
V35	228	0.993	42.291	18.549%	9.051	11.93%	0.08858	0.992
V36	250	0.996	41.509	16.604%	8.672	8.544%	0.09274	0.996
V37	188	0.988	38.085	20.258%	8.033	15.274%	0.11917	0.986
V38	175	0.995	45.128	25.787%	11.181	10.026%	0.17495	0.995
V39	119	0.989	30.315	25.475%	7.109	15.078%	0.17255	0.988
V40	353	0.998	52.045	14.744%	10.91	6.851%	0.08184	0.998
V41	127	0.997	20.68	16.283%	4.815	8.858%	0.1278	0.997
V42	294	0.996	45.119	15.347%	12.869	8.388%	0.08143	0.996
V43	86	0.935	34.491	40.106%	9.236	35.682%	0.25097	0.925
V44	92	0.988	23.514	25.559%	4.467	15.933%	0.16243	0.986
V45	244	0.998	34.207	14.019%	6.461	6.609%	0.09483	0.998
V46	203	0.998	25.548	12.585%	5.895	6.727%	0.05939	0.998
V47	322	0.996	54.378	16.888%	13.354	9.47%	0.06226	0.995
V48	364	0.995	50.84	13.967%	15.641	9.524%	0.05032	0.995
V49	185	0.994	41.851	22.622%	7.801	12.985%	0.09187	0.993
V50	209	0.983	46.89	22.435%	10.332	18.359%	0.10734	0.98
V51	431	0.999	51.542	11.959%	9.508	4.884%	0.06076	0.999
V52	196	0.995	40.3	20.561%	9.544	9.983%	0.11307	0.995
V53	240	0.996	40.059	16.691%	8.371	9.616%	0.07177	0.995
V54	91	0.997	15.32	16.835%	3.856	8.182%	0.09512	0.997
V55	243	0.998	30.521	12.56%	6.484	6.235%	0.06251	0.998
V56	271	0.996	46.946	17.323%	11.42	8.601%	0.08271	0.996
V57	537	0.995	82.945	15.446%	16.602	10.639%	0.05638	0.994
V58	195	0.998	29.89	15.328%	6.062	6.412%	0.09072	0.998
V59	171	0.997	28.817	16.852%	5.424	7.078%	0.10672	0.997
V60	474	0.998	66.621	14.055%	15.097	6.945%	0.05909	0.998
V61	244	0.996	41.586	17.043%	7.695	9.157%	0.08313	0.996
V62	189	1.0	17.734	9.383%	3.868	2.474%	0.07582	1.0
V63	417	0.995	71.607	17.172%	14.399	10.28%	0.0737	0.994
V64	163	0.989	36.834	22.598%	9.254	14.741%	0.12807	0.988
V65	34	0.993	11.485	33.779%	3.05	12.958%	0.35322	0.993
V66	781	0.999	76.597	9.808%	14.96	5.427%	0.03531	0.998
V67	164	0.975	53.805	32.808%	12.078	22.207%	0.17442	0.972
V68	294	0.995	55.981	19.041%	10.899	10.441%	0.09692	0.994
V69	122	0.997	24.597	20.161%	6.65	8.097%	0.13364	0.997
V70	493	0.999	67.982	13.789%	16.059	6.043%	0.04561	0.999
V71	236	0.998	38.586	16.35%	7.197	6.767%	0.09576	0.998
