Mutation	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100
1:Del:C:0	5	9	4	12	1	11	4	2	5	51	10	16	0	9	0	17	0	17	14	8	45	18	1	1	1	108	5	26	27	3	17	22	66	97	15	12	16	1	23	39	3	8	1	49	1	2	0	12	6	5	20	55	29	11	16	2	14	8	8	34	3	7	2	2	0	4	10	3	18	2	95	3	9	36	16	12	46	14	20	34	1	1	44	3	5	6	0	59	2	1	5	100	0	23	15	0	11	3	4	3
1:Del:C:1	2	4	3	0	0	5	1	1	2	25	6	3	2	7	0	3	0	5	1	6	4	6	3	2	0	11	2	9	4	0	6	12	24	27	1	7	5	0	8	14	0	2	0	9	0	1	1	2	0	5	3	8	13	3	7	0	3	2	2	8	0	3	1	1	0	0	5	0	4	0	6	0	5	43	1	1	9	4	8	7	0	0	7	2	1	1	1	25	0	0	3	9	0	16	8	3	2	2	3	0
1:Del:C:2	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	2	0
1:Del:C:3	0	2	0	2	0	1	0	3	0	1	1	2	2	1	0	2	0	2	2	0	0	1	0	0	0	0	1	4	2	0	2	0	5	0	1	4	2	7	0	2	1	0	0	3	1	0	0	1	5	0	2	1	6	2	1	1	2	0	0	0	0	0	0	1	0	1	0	0	2	0	2	0	1	1	0	0	2	0	2	6	0	1	1	0	1	0	1	1	0	0	0	3	0	1	0	0	0	0	1	0
1:Del:C:4	0	2	1	0	0	1	1	1	0	2	2	3	0	1	0	0	0	1	0	0	2	1	0	0	0	3	1	1	3	0	2	1	1	3	1	2	0	2	3	0	0	0	0	2	1	2	1	5	1	3	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	2	0	0	3	1	2	1	2	0	4	0	0	2	1	0	1	1	2	0	1	0	1	0	1	0	0	0	0	0	1
1:Del:C:5	0	2	0	0	1	0	4	0	0	1	0	2	1	0	0	1	0	0	1	1	0	3	0	0	0	2	1	1	2	0	0	1	4	0	1	1	0	3	1	0	0	0	0	2	0	1	0	0	0	6	0	0	2	0	2	0	2	0	1	1	0	2	0	1	0	0	1	0	0	1	0	0	2	2	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	2	2	5	1	0	0	3	0	0
1:Del:T:0	3	1	5	6	0	5	1	19	3	9	2	9	4	2	1	13	1	15	3	2	14	2	0	0	0	14	2	17	22	1	5	17	15	24	1	21	10	2	7	19	1	6	2	19	3	2	1	10	1	4	3	12	22	8	2	1	10	4	3	14	1	2	0	3	3	1	4	2	16	1	10	3	5	32	5	6	19	3	15	14	0	1	4	1	1	1	1	25	1	2	3	43	0	17	4	2	3	5	5	3
1:Del:T:1	3	1	4	1	0	2	0	1	0	7	1	1	0	2	1	2	0	3	0	1	5	4	2	0	0	10	1	6	6	0	2	3	11	10	3	8	1	0	0	2	0	1	0	11	2	1	0	0	3	1	0	0	3	1	5	2	3	0	0	0	1	2	0	0	0	0	0	0	6	0	8	1	0	9	1	4	3	1	4	3	0	1	12	1	1	0	0	7	1	0	0	7	1	4	1	1	0	0	1	1
1:Del:T:2	0	7	0	3	0	3	1	3	2	10	8	9	0	2	2	6	2	9	0	3	11	4	2	0	2	8	0	16	3	1	4	5	23	15	5	10	5	1	11	7	0	0	0	14	0	2	1	2	0	4	3	11	11	4	4	1	3	8	3	4	0	2	2	1	0	0	0	1	18	0	22	2	1	8	8	2	8	1	2	13	0	0	6	1	1	1	1	40	0	1	2	20	4	3	3	4	1	0	1	0
1:Del:T:3	2	14	20	27	31	3	6	4	0	18	1	31	58	25	31	21	5	3	5	9	82	44	1	0	29	12	4	18	17	9	5	11	44	24	8	13	30	15	10	15	1	4	1	39	4	6	25	19	9	3	11	36	33	14	13	3	8	8	1	34	2	7	2	4	7	2	3	0	13	22	6	1	2	4	8	4	18	24	10	7	6	6	25	2	4	2	3	18	12	26	11	108	1	6	7	2	1	2	5	3
1:Del:T:4	5	17	5	6	1	2	5	2	4	4	2	21	1	1	1	8	1	6	4	4	5	10	2	1	0	33	2	22	23	1	6	10	14	16	8	10	0	6	9	23	4	2	0	15	6	4	1	13	7	10	9	12	14	5	13	10	10	9	2	3	1	4	2	3	3	2	5	2	11	2	12	0	5	7	4	1	9	1	5	8	0	3	10	2	2	0	1	17	3	2	1	43	2	6	2	0	0	6	1	5
1:Del:T:5	11	285	18	12	18	14	153	30	7	17	1	177	12	10	2	32	3	17	54	90	0	74	2	4	4	81	10	142	58	0	115	0	101	2	21	34	6	152	49	5	82	0	7	7	25	95	54	44	52	99	74	27	118	21	123	67	82	5	13	28	10	63	0	29	1	4	16	0	77	7	14	0	91	13	13	18	10	4	0	54	0	35	11	14	110	17	0	16	7	56	16	15	1	114	28	17	11	61	14	50
1:Ins:C:0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:Ins:C:1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:Ins:C:2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:Ins:C:3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1:Ins:C:4	0	1	0	0	0	0	0	0	0	0	0	2	3	0	0	1	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0
1:Ins:C:5	0	1	1	0	0	1	3	2	0	1	0	6	3	2	0	3	1	0	8	0	1	2	0	0	0	1	0	7	4	0	1	1	1	0	0	0	5	7	3	3	0	0	1	0	5	3	3	3	1	2	0	1	2	0	0	2	1	4	3	0	0	0	0	0	9	0	4	1	0	8	1	0	2	0	4	0	2	0	2	5	0	0	0	1	0	1	2	3	0	0	1	0	4	1	0	0	0	3	0	0
1:Ins:T:0	0	3	0	0	0	4	0	0	1	2	1	3	0	2	0	1	0	0	0	1	1	0	0	0	1	3	0	4	2	0	1	1	1	3	1	4	3	1	3	2	0	0	0	5	1	2	0	2	0	1	0	2	2	3	0	0	2	0	1	0	0	1	1	0	1	0	1	0	0	1	5	0	1	0	1	1	1	0	0	4	0	0	0	0	0	1	0	2	0	0	0	1	1	1	1	0	0	0	1	0
1:Ins:T:1	0	1	2	0	0	2	1	0	0	1	1	0	5	7	3	2	0	1	0	1	6	6	1	0	0	5	0	0	1	0	0	4	2	4	2	3	2	1	3	1	1	2	0	4	2	0	4	1	0	0	0	4	5	0	1	2	2	0	0	2	0	2	0	1	0	0	0	1	1	1	4	0	0	7	1	1	1	3	0	2	1	0	2	0	0	0	0	2	0	1	3	6	0	0	0	0	1	0	2	1
1:Ins:T:2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	2	1
1:Ins:T:3	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	1	0	2	1	0	0	1	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	2	3	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
1:Ins:T:4	4	1	0	0	0	2	1	0	0	0	0	5	6	0	0	1	1	0	2	1	0	0	0	1	0	1	0	4	0	0	0	1	0	0	1	1	1	1	0	4	0	1	1	1	2	5	2	0	0	1	2	0	1	0	1	0	1	0	4	0	0	2	0	1	1	0	5	2	0	2	1	0	0	2	1	1	1	0	0	1	0	0	0	0	1	1	0	2	1	1	0	2	1	4	0	0	0	0	0	1
1:Ins:T:5	30	13	11	0	0	29	14	58	15	17	45	165	185	44	13	116	26	10	160	7	6	28	14	27	36	1	10	275	20	2	0	29	11	22	16	8	69	366	105	243	5	0	49	9	203	185	122	2	4	8	12	2	21	7	6	31	102	23	21	0	4	31	9	3	148	17	166	33	5	85	21	0	4	9	60	23	22	5	74	206	40	4	4	27	26	3	33	44	62	0	1	12	162	2	13	1	1	31	11	17
2:Del:R:0	0	2	1	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	1	1	2	0	1	0	1	2	1	2	2	0	2	4	2	1	0	0	2	1	1	2	0	2	0	7	1	1	0	1	1	0	3	1	2	1	0	0	3	1	2	0	0	3	1	1	0	0	0	1	0	0	1	0	1	18	1	0	4	2	0	1	0	0	1	0	2	0	0	4	0	0	1	3	0	4	0	1	0	0	0	0
2:Del:R:1	7	40	68	25	43	21	13	10	2	2	0	9	197	55	98	30	6	2	1	9	320	21	0	12	61	1	32	9	21	62	2	26	35	15	21	6	142	31	47	45	33	2	5	2	0	15	126	76	41	0	22	98	13	8	2	15	16	1	2	11	4	5	2	3	34	34	2	2	3	30	6	1	12	10	2	2	27	159	6	26	27	25	12	0	4	1	3	8	30	48	26	122	1	6	38	2	0	3	8	2
2:Del:R:2	0	2	0	0	0	1	0	0	0	0	0	3	1	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
2:Del:R:3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:Del:R:4	3	12	0	0	10	3	7	2	1	1	4	2	0	1	1	0	2	1	4	2	16	5	7	2	0	1	4	0	0	3	0	0	2	0	0	6	7	8	0	3	0	0	3	0	6	6	0	1	0	0	4	6	4	0	24	1	0	0	8	1	0	8	2	0	3	0	0	3	1	0	1	6	0	3	2	11	1	1	0	0	0	2	3	1	4	4	0	5	2	2	0	1	4	1	3	0	4	0	0	5
2:Del:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
3:Del:R:0	0	0	0	0	0	1	1	3	0	1	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	3	1	0	0	1	9	0	0	2	0	0	0	1	0	0	0	0	0	0	1	4	3	1	0	0	1	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	1	2	3	0	0	0	0
3:Del:R:1	1	18	26	7	17	2	2	3	2	2	0	8	60	25	22	12	1	1	1	10	60	14	0	5	15	0	6	0	3	16	0	4	2	17	3	4	21	8	2	40	1	0	3	3	0	5	31	9	11	0	5	22	3	5	3	8	7	0	0	4	1	4	2	0	11	3	1	2	0	19	1	0	2	2	1	0	7	25	6	11	5	7	4	3	2	1	3	5	17	14	15	24	1	2	3	0	0	1	1	0
3:Del:R:2	2	10	0	8	5	3	5	0	10	2	1	4	0	0	0	0	4	1	3	5	5	2	5	0	2	5	4	3	1	1	1	1	1	0	0	2	5	9	0	2	1	0	0	0	7	6	0	1	0	0	3	2	3	0	18	3	0	0	4	0	0	4	1	0	4	0	1	0	2	0	3	1	2	5	1	9	2	1	0	0	0	0	0	1	7	0	2	5	3	3	0	2	3	2	2	0	0	0	1	9
3:Del:R:3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3:Del:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Del:R:0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	5	3	0	0	0	0	0	0	3	0	0	0	0	0	2	0	1	3	1	0	1	0	1	0	1	0	1	0	0	0	1	3	0	3	0	0	0	2	4	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	2	0	2	1	1	0
4:Del:R:1	0	2	0	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	2	1	2	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	2	1	0	0	0	1	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1
4:Del:R:2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
4:Del:R:3	23	131	33	30	115	12	147	7	144	11	41	39	4	3	6	27	16	20	84	224	107	49	196	51	26	56	143	0	3	17	1	4	5	4	1	19	14	220	0	17	11	37	14	0	68	148	2	5	2	2	93	16	22	3	291	6	1	2	123	1	0	68	65	1	288	0	0	81	32	13	26	125	13	42	9	141	26	39	3	6	0	8	2	41	57	20	3	72	39	3	5	10	46	23	43	1	42	0	9	146
4:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Del:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:0	7	7	2	0	0	9	8	37	1	10	13	1	5	44	2	1	4	62	2	8	32	6	0	12	1	0	8	0	0	11	5	4	13	3	0	77	44	0	8	4	2	2	7	43	5	0	2	2	23	14	7	4	38	28	0	2	14	11	9	1	0	14	1	21	2	9	21	3	44	5	31	3	30	177	0	20	3	16	7	16	7	1	2	3	10	0	5	9	2	3	6	10	1	6	17	10	8	7	32	1
5:Del:R:1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
5:Del:R:2	0	6	23	8	12	4	2	0	0	0	0	4	30	10	6	10	0	0	0	0	28	14	0	2	6	0	3	0	2	17	0	0	2	4	2	1	19	3	5	32	1	0	0	1	0	0	15	4	10	1	3	5	1	4	1	4	3	0	0	2	0	1	1	2	7	5	0	1	0	4	3	0	1	0	0	0	6	15	2	3	2	9	3	0	0	0	2	3	3	8	9	30	0	0	0	0	0	1	0	0
5:Del:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:Ins:R:0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
