Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V1	385	0.992	93.247	24.22%	27.792	17.275%	0.21773	0.992
V2	377	0.992	104.336	27.675%	26.11	15.877%	0.22773	0.992
V3	604	0.998	71.876	11.9%	14.1	7.1%	0.04489	0.997
V4	344	0.996	77.207	22.444%	17.747	10.144%	0.21304	0.996
V5	623	0.99	174.468	28.004%	43.533	18.231%	0.39282	0.989
V6	99	0.996	24.77	25.02%	4.781	10.104%	0.17033	0.996
V7	428	0.993	116.755	27.279%	27.841	12.867%	0.27582	0.993
V8	235	0.983	58.573	24.925%	12.464	19.834%	0.10181	0.98
V9	144	0.988	40.656	28.233%	12.007	16.428%	0.36764	0.988
V10	301	0.98	89.417	29.707%	20.865	23.188%	0.17458	0.977
V11	562	0.996	106.51	18.952%	20.306	9.372%	0.06824	0.996
V12	397	0.995	74.65	18.804%	19.41	11.6%	0.14769	0.995
V13	252	0.993	59.853	23.751%	12.404	13.486%	0.11957	0.992
V14	171	0.98	42.169	24.66%	11.887	20.113%	0.12523	0.977
V15	343	0.986	78.315	22.832%	20.409	17.35%	0.08716	0.984
V16	208	0.994	48.741	23.433%	12.278	14.021%	0.33721	0.994
V17	287	0.965	120.094	41.845%	29.538	34.751%	0.31583	0.963
V18	34	0.981	10.88	32.0%	4.096	19.571%	0.40659	0.98
V19	328	0.992	63.008	19.21%	13.142	12.786%	0.16263	0.991
V20	971	0.996	222.436	22.908%	59.639	13.285%	0.39455	0.996
V21	194	0.994	35.958	18.535%	8.862	11.179%	0.12987	0.993
V22	213	0.98	62.088	29.149%	14.692	19.951%	0.27829	0.978
V23	518	0.993	145.24	28.039%	43.743	16.303%	0.20266	0.993
V24	543	0.997	118.51	21.825%	40.661	12.14%	0.2892	0.997
V25	119	0.989	30.524	25.65%	5.628	14.962%	0.15462	0.988
V26	174	0.982	47.784	27.462%	11.123	21.32%	0.19202	0.98
V27	199	0.981	59.679	29.989%	12.667	21.004%	0.23793	0.978
V28	328	0.994	77.372	23.589%	18.154	13.795%	0.14503	0.994
V29	153	0.981	42.829	27.993%	8.965	19.747%	0.12401	0.978
V30	169	0.982	104.407	61.779%	40.934	45.01%	1.70051	0.983
V31	42	0.981	11.982	28.529%	3.926	19.679%	0.43377	0.98
V32	212	0.996	53.157	25.074%	10.368	11.873%	0.15664	0.996
V33	184	0.984	57.853	31.442%	11.74	18.357%	0.20437	0.982
V34	170	0.991	89.082	52.401%	40.365	35.067%	3.66463	0.992
V35	146	0.995	28.07	19.226%	7.726	10.561%	0.15462	0.995
V36	258	0.991	93.311	36.167%	26.493	21.009%	0.52193	0.991
V37	289	0.994	69.424	24.022%	13.809	12.538%	0.179	0.994
V38	661	0.998	118.323	17.901%	25.312	9.042%	0.06538	0.998
V39	260	0.987	70.678	27.184%	14.314	17.417%	0.18862	0.985
V40	468	0.99	111.215	23.764%	27.726	17.203%	0.12179	0.989
V41	347	0.997	57.402	16.542%	10.896	8.485%	0.08331	0.997
V42	92	0.984	29.517	32.084%	6.271	18.256%	0.26019	0.982
V43	382	0.991	106.34	27.838%	27.432	17.934%	0.23959	0.991
V44	165	0.977	50.653	30.699%	11.2	21.671%	0.17859	0.973
V45	498	0.996	70.43	14.143%	16.21	9.522%	0.04566	0.995
V46	358	0.991	75.676	21.139%	14.873	13.332%	0.08926	0.99
V47	295	0.988	71.012	24.072%	16.148	16.621%	0.14342	0.986
V48	57	0.978	21.801	38.247%	4.737	22.66%	0.24995	0.976
V49	107	0.991	30.753	28.741%	9.3	18.956%	0.26622	0.991
V50	355	0.997	69.103	19.466%	12.435	10.032%	0.07712	0.996
V51	305	0.992	63.213	20.726%	13.196	13.164%	0.12094	0.991
V52	205	0.977	70.523	34.401%	15.556	24.951%	0.29418	0.975
V53	496	0.985	209.587	42.255%	74.513	32.618%	1.09125	0.985
V54	419	0.994	69.738	16.644%	13.42	11.382%	0.0689	0.993
V55	93	0.987	27.717	29.803%	6.155	16.479%	0.25453	0.986
V56	309	0.981	149.712	48.45%	49.422	38.059%	1.21509	0.982
V57	235	0.994	44.412	18.899%	8.839	10.922%	0.09786	0.993
V58	198	0.99	50.981	25.748%	12.044	14.52%	0.30204	0.989
V59	270	0.999	36.599	13.555%	7.28	5.297%	0.08718	0.999
V60	475	0.998	71.677	15.09%	16.918	8.697%	0.08324	0.998
V61	324	0.994	47.533	14.671%	10.774	11.11%	0.05696	0.993
V62	273	0.994	52.959	19.399%	9.902	11.374%	0.11045	0.993
V63	106	0.996	34.308	32.366%	8.767	15.116%	0.51049	0.996
V64	165	0.996	37.559	22.763%	9.686	11.068%	0.25746	0.996
V65	430	0.997	56.684	13.182%	14.363	8.348%	0.07763	0.996
V66	187	0.971	56.65	30.294%	12.349	23.841%	0.15193	0.966
V67	352	0.986	74.081	21.046%	15.82	16.726%	0.13598	0.984
V68	513	0.996	69.239	13.497%	23.164	9.337%	0.35521	0.996
V69	84	0.97	29.856	35.543%	5.645	25.296%	0.21205	0.965
V70	326	0.995	63.531	19.488%	16.158	11.339%	0.32929	0.995
V71	228	0.98	61.163	26.826%	14.978	19.937%	0.12064	0.978
